cod_atc2,Frequency.8,codes,spanish description,english description,comment
M02,178,650,PRODUCTOS TOPICOS PARA DOLOR ARTICULAR Y MUSCULAR,,
02B,160,516,GASA  ESTERIL,,
D05,156,622,ANTIPSORIASICOS,,
C04,152,612,VASODILATADORES PERIFERICOS,,
P01,150,662,ANTIPROTOZOARIOS,,
9CP,140,574,COMPLETAS POLIMERICAS,,
V01,132,674,ALERGENOS,,
D11,123,628,OTROS PREPARADOS DERMATOLOGICOS,,
B02,91,606,ANTIHEMORRAGICOS,,
A01,90,589,PREPARADOS ESTOMATOLOGICOS,,
V03,69,675,TODOS LOS DEMAS PRODUCTOS TERAPEUTICOS,,
V07,69,678,TODOS LOS DEMAS PRODUCTOS NO TERAPEUTICOS,,
22A,68,542,INHALADOR,,
B05,67,608,SUSTITUTOS DE LA SANGRE Y SOLUC. PARA PERFUSION,,
24B,65,548,MEDIA LARGA  A-F,,
12A,57,531,RODILLERA,,
23A,56,543,BOLSAS DE RECOGIDA DE ORINA,,
A05,54,593,TERAPIA BILIAR Y HEPATICA,,
24A,53,547,MEDIAS CORTAS,,
D03,53,620,PRODUCTOS PARA TRATAMIENTO DE HERIDAS Y ULCERAS,,
S03,53,673,PREPARADOS OFTALMOLOGICOS Y OTOLOGICOS,,
D10,49,627,PREPARADOS ANTI-ACNE,,
24F,48,552,PANTYS,,
L01,46,645,ANTINEOPLASICOS,,
13A,44,532,TOBILLERA,,
F00,43,629,FORMULAS MAGISTRALES,,
H05,35,638,HOMEOSTASIA DEL CALCIO,,
04B,34,520,ESPARADRAPO HIPOALERGICO,,
9ME,31,579,MODULOS ESPESANTES,,
25A,30,554,BOLSAS COLOSTOMÍA,,
26H,30,562,APOSITOS OSTOMIA,,
J04,30,641,ANTIMICOBACTERIANOS,,
06F,28,528,SONDA VESICAL,,
G02,28,631,OTROS GINECOLOGICOS,,
J07,28,644,VACUNAS,,
9ES,27,575,ESPECIALES,,
P02,25,663,ANTIHELMINTICOS,,
H04,24,637,HORMONAS DEL PANCREAS,,
L03,24,647,INMUNOESTIMULANTES,,
A16,22,604,OTROS PREPARADOS APARATO DIGESTIVO Y METABOLISMO,,
9X0,21,585,ALIMENTOS PERSONAS SANAS,,
A09,18,597,"DIGESTIVOS, INCLUIDOS ENZIMAS",,
25B,17,555,PRODUCTO DE ILESTOMÍA,,
25C,16,556,PRODUCTOS DE UROSTOMIA,,
D02,15,619,EMOLIENTES Y PROTECTORES DERMATOLOGICOS,,
P03,15,664,"ECTOPARASITICIDAS, INCLUIDOS ESCABICIDAS",,
D08,14,625,ANTISEPTICOS Y DESINFECTANTES,,
23B,12,544,COLECTORES,,
9ML,1,581,MODULOS LIPÍDICOS,,
44A,1,567,EMPAPADOR,,
01C,1,513,ALGODON EN ZIG-ZAG,,
9MH,1,580,MODULOS HIDROCARBONADOS,,
D04,1,621,"ANTIPRURIGINOSOS, INCLUIDOS ANTIHISTAMINICOS",,
26F,1,561,GELIFICADOR BOLSAS ILEOSTOMIA,,
9GS,1,576,FORMULAS EXENTAS DE LIPIDOS,,
D09,1,626,EMPLASTES MEDICAMENTOSOS,,
15A,1,534,CODERA,,
04A,1,519,ESPARADRAPO NORMAL,,
05A,1,521,CANULA TRAQUEOTOMIA,,
9ZZ,1,588,SUPLEMENTOS ALIMENTICIOS,,
J06,1,643,SUEROS INMUNOLOGICOS E INMUNOGLOBULINAS,,
24C,1,549,MEDIA LARGA (A-G),,
45A,1,686,COMPRESA TOCOLOGICA,,
9GM,1,690,FORMULA CON CONTENIDO GRASO EN FORMA DE TRIGLICERIDOS DE CADENA MEDIA,,
16B,1,536,MUÑEQUERA METACARPIANA,,
26J,1,564,SISTEMAS COLOSTOMIA,,
03E,1,684,PROTECTOR PIEL CUBIERTA CON VENDAJE Y ESCAYOLA,,
03B,1,518,VENDA ELASTICA,,
B06,1,682,OTROS PREPARADOS HEMATOLOGICOS,,
23D,1,687,SIST INC ORINA OCLUSIVO HOMBRE,,
06B,1,526,SONDA RECTAL,,
9MP,1,583,MODULOS PROTEICOS,,
41A,1,681,JERINGA,,
V06,1,677,NUTRITIVOS GENERALES                                                       ,,
48A,1,568,PARCHES TERMICOS,,
9AS,1,571,EXENTAS DE PROTEINAS,,
Y20,1,680,VISADO CON 40% APORTACION SOBRE P.V.P.,,
9AM,1,570,AA ESENCIALES Y NO ESENCIALES,,
01B,1,691,ALGODON EN RAMA,,
M09,1,654,OTROS MEDICAMENTOS PARA EL SIST.MUSCULO-ESQUELETIC,,
26D,1,560,PINZAS DE OSTOMIA,,
9CE,1,572,COMPLETAS ELEMENTALES,,
14A,1,533,MUSLERA,,
A13,1,601,TONICOS,,
24E,1,551,MEDIA LARGA E.T.CINT COMP,,
05F,1,523,CANULA TRAQUEOTOMIA - LARING,,
V08,1,679,MEDIOS DE CONTRASTE,,
9LA,1,578,ALERGIA E INTOLERANCIA A PROTEÍNAS DE LECHE DE VACA,,
20A,1,540,SUSPENSORIO,,
08A,1,529,DUCHA VAGINAL,,
R02,1,666,PREPARADOS PARA LA GARGANTA,,
19A,1,539,BRAGUERO INGUINAL,,
9MV,1,584,MODULOS DE VITAMINA Y MINERALES,,
05D,1,522,OTRAS CANULAS,,
Y10,1,692,VISADO CON 75 PESETAS APORTACION FIJA,,
24D,1,550,MEDIA LARGA SUJ CADERA,,
16A,1,535,MUÑEQUERA DEPORTISTA,,
9MM,1,582,MODULOS HIDROCARBONADOS Y LIPIDICOS,,
A08,1,596,"PRODUCTOS ANTIOBESIDAD, EXCLUIDOS DIETETICOS",,
26C,1,559,FILTROS DE OSTOMIA,,
9CO,1,573,COMPLETAS PEPTIDICAS,,
26A,1,558,CINTURON Y SOPORTE DE OSTOMIA,,
9AE,1,569,"AA ESENCIALES, EXENTOS",,
05H,1,525,APOSITOS ADHESIVOS FILTRO,,
H01,1,634,HORMONAS HIPOFISARIAS E HIPOTALAMICOS Y ANALOGOS,,
24G,1,553,CALCETIN,,
06D,1,527,SONDA GASTRICA,,
02A,1,515,GASA NO ESTERIL,,
05G,1,524,FILTROS,,
9X2,1,587,ALIMENTOS ELABORADOS A BASE DE PLANTAS,,
0,1,511,NO EXISTE SUBGRUPO TERAPÉUTICO DE NIVEL 2,,
25H,1,557,OSTOMIA,,
9HL,1,577,LACTOSA,,
21A,1,541,IRRIGADOR COMPLETO,,
47A,1,685,CONTENEDORES RESIDUOS CITOSTÁTICOS,,
03A,1,517,VENDA DE GASA,,
17A,1,538,FAJA LUMBAR,,
11A,1,530,PARCHES OCULARES,,
01A,1,512,ALGODON ARROLLADO,,
A15,1,603,ESTIMULANTES DEL APETITO,,
R07,1,670,OTROS PRODUCTOS APARATO RESPIRATORIO,,
V09,1,688,RADIOFARMACOS PARA DIAGNOSTICO,,
V10,1,683,RADIOFARMACOS TERAPEUTICOS,,
9X1,1,586,ALIMENTOS PARA SITUACIONES PARTICULARES,,
23E,1,546,OBTURADOR ANAL,,
26I,1,563,IRRIGACION COLOSTOMIA,,
A14,1,602,ANABOLIZANTES,,
16C,1,537,MUÑEQUERA FERULA,,
26E,1,689,FUNDA OSTOMIA,,
26K,1,565,OTROS SISTEMAS ACCESORIOS DE OSTOMIA,,
