cod_presfarma,Frequency.1,codes,spanish description,english description,comment
7613,1,11444,"DEXTROMETORFAN + DOXILAMINA + PARACETAMOL + EFEDRINA 75/37,5/3000/40 MG EN 5 ML / 1 JARABE DE 120 ML (NO FINANCIABLE)",,
9986,1,14194,ANTIGENO HEPATITIS (A+B) ADULTOS (720 U ELISA+20MCG) / 1JERINGA PRECARGADA DE 1 ML (NO FINANCIABLE),,
9934,1,11307,ETANOL 96º+ CLORURO BENZALCONIO  / 1 FRASCO DE 250 ML (NO FINANCIABLE),,
6688,1,21978,GEL HIDRATANTE VAGINAL  / 1 GEL VAGINAL DE 30 G (NO FINANCIABLE),,
6170,1,11819,METFORMINA + PIOGLITAZONA (850/15)MG / 56 COMPRIMIDOS,,
7699,1,10913,IBUPROFENO 400 MG / 10 COMPRIMIDOS RECUBIERTOS (NO FINANCIABLE),,
8771,1,10927,OXIBUTININA 5 MG / 60 COMPRIMIDOS LIBERACION RETARDADA (NO FINANCIABLE),,
1813,1,1199,"DALTEPARINA 15000 UI EN 0,6 ML / 5 JERINGA DE 0,6 ML",,
2612,1,3698,GLUCAGON 1 MG EN 1 ML / 1 VIAL DE 1 ML,,
4783,1,24443,COMPLETA POLIMERICA NORMOPROTEICA NORMOCALORICA  / 12 LATA DE 400 G,,
9494,1,6420,FLUNITRAZEPAM 1 MG / 20 COMPRIMIDOS,,
2428,1,467,BOLSAS SISTEMA DOBLE PLACA 70 MM 300 ML / 30 BOLSAS COLOSTOMIA + 7 PLACAS,,
2108,1,23809,LINACLOTIDA 290 MCG / 28 CAPSULAS DURAS,,
10161,1,457,BOLSAS SISTEMA DOBLE PLACA 35-55 MM 560 ML / 30 BOLSAS COLOSTOMIA + 7 PLACAS,,
2621,1,6070,RIZATRIPTAN 10 MG / 6 LIOTABS,,
6141,1,22701,ALENDRONICO ACIDO 70 MG EN 100 ML / 4 FRASCOS/BOLSAS (SOL/SUSP ORAL) DE 100 ML,,
7261,1,4194,CEFIXIMA 200 MG / 6 CAPSULAS,,
8365,1,17871,"PHOSTAL INICIO (1,2,3)",,
9164,1,22768,LECHE CORPORAL / 1 LOCION DE 500 ML (NO FINANCIABLE),,
5408,1,9245,OXICODONA 20 MG / 28 COMPRIMIDOS DE LIBERACION GRADUAL,,
6695,1,10578,TRAMADOL 200 MG / 30 COMPRIMIDOS LIBERACION MODIFICADA 24 HORAS,,
2990,1,17959,"ESTRADIOL 100 MCG/24H (6,4MG/PARCHE)  / 8 PARCHE TRANSDERMICO",,
5968,1,8746,LEVOCETIRIZINA  5 MG / 20 COMPRIMIDOS,,
7991,1,17386,"AGUJA PLUMAS INSULINA 31G (0,25 X 8) MM / 100 AGUJA (DISPENSACION EN CENTROS SANITARIOS)",,
2821,1,8472,BUPRENORFINA 20 MG (35MCG/H) / 5 PARCHE TRANSDERMICO (96 HORAS),,
2071,1,5800,FENTANILO 50 MCG-HORA  (5MG)  / 5 PARCHE TRANSDERMICO,,
2782,1,22982,OFLOXACINO 200 MG / 7 COMPRIMIDOS RECUBIERTOS,,
1702,1,6499,FLUOXETINA 20 MG / 28 CAPSULAS,,
1639,1,6064,"ZOLMITRIPTAN 2,5 MG / 3 COMPRIMIDOS",,
4236,1,10693,FILTRO LARINGECTOMIA  / 20 FILTROS,,
1676,1,17943,LEUPRORELINA 30 MG EN 1 ML / 1 JERINGA PRECARGADA DE 1 ML,,
4275,1,5314,NAPROXENO 500 MG / 40 COMPRIMIDOS,,
4391,1,17120,OMEPRAZOL 20 MG / 14 CAPSULAS (NO FINANCIABLE),,
2783,1,12371,"VENLAFAXINA 37,5 MG / 30 CAPSULAS LIBERACION RETARDADA",,
6878,1,16726,TELMISARTAN + AMLODIPINO (80/10) MG / 28 COMPRIMIDOS,,
7977,1,11448,DEXTROMETORFANO + PSEUDOEFEDRINA (15/30) EN 5 MG/ 1 JARABE DE 120 ML (NO FINANCIABLE),,
4551,1,313,ABSORBENTE INC ORINA DIA RECT  / 80 ABSORBENTE,,
1759,1,10656,BOLSAS ILEOST SIST DOBLE PLACA ACOPLAM ADH 40 MM 470 ML / 30 BOLSA ILEOSTOMIA + 10 PLACAS + PINZA,,
3048,1,22934,"TIMOLOL 0,5% (5 MG/1 ML) / 1 COLIRIO DE 3 ML (NO FINANCIABLE)",,
3501,1,16239,APOSITOS B OSTOM ARO RES SINT MIC 13-25 MM 38 MM / 5 APOSITOS B OSTOMIA,,
10027,1,16069,BOLSAS RESINA SINTETICA MICROPORO Y FILTRO 45 MM 475 ML / 30 BOLSAS COLOSTOMIA + 30 PLACAS,,
8055,1,16793,ESPONJA/ 24 ESPONJAS ENJABONADAS (NO FINANCIABLE),,
9873,1,765,"ATROPINA SULFATO 0,5 MG EN 1 ML / 10 AMPOLLAS DE 1 ML",,
6369,1,6463,CLOMIPRAMINA 25 MG EN 2 ML / 6 AMPOLLAS DE 2 ML,,
7747,1,12475,STALORAL 300 RAPID MANTENIMIENTO (2 FRASCOS),,
8679,1,23633,DIATER POLIMERIZADO LIOFILIZADO INTRADERMO/ 6 VIALES,,
9932,1,11188,ACETILSALICILICO ACIDO + ACIDO ASCORBICO (500/200) MG / 20 COMPRIMIDOS EFERVESCENTES (NO FINANCIABLE),,
1883,1,23911,"ESTRADIOL 7,5 MCG / 1 SISTEMA DE LIBERACION VAGINAL (NO FINANCIABLE)",,
5124,1,9106,INSULINA ISOFANICA 100 UI EN 1 ML / 1 VIAL DE 10 ML (NO FINANCIABLE),,
4855,1,15965,BOLSAS KARAYA ADHESIVO MICROPORO Y FILTRO 20-55 MM 200 ML / 30 BOLSAS COLOSTOMIA,,
8571,1,10584,ALBEY INICIO PAUTA CONVENCIONAL,,
9688,1,17475,ABSORB INC ORINA NOC ANAT TALLA UNICA  / 120 ABSORBENTE (SOLO CON AUTORIZACIÓN - DISPENSACION EN CENTROS SANITARIOS),,
3921,1,4169,CEFTRIAXONA 1000 MG EN 10 ML / 1 VIAL DE 10 ML (IV),,
3936,1,1211,"ENOXAPARINA 6000 UI EN 0,6 ML / 2 JERINGA DE 0,6 ML",,
2515,1,15664,PIOGLITAZONA + GLIMEPIRIDE (30/4) MG / 28 COMPRIMIDOS,,
4668,1,3762,TETRACICLINA 250 MG / 16 GRAGEAS,,
9470,1,4989,OXALIPLATINO 50 MG EN 10 ML / 1 VIAL DE 10 ML,,
4268,1,9367,FENTANILO 100 MCG-HORA  (10MG) / 5 PARCHE TRANSDERMICO,,
7471,1,18463,ALERGOL DEPOT CONTINUACION 1 VIAL DE 5 ML,,
4485,1,693,FAMOTIDINA 20 MG / 20 COMPRIMIDOS,,
3926,1,7999,RABEPRAZOL 10 MG / 28 COMPRIMIDOS ENTERICOS,,
9351,1,17838,"APOSITO DE ESPUMA POLIURETANO CON BORDE 14,3 X 14,3 / 3 APOSITOS",,
3236,1,10154,ZONISAMIDA 50 MG / 28 CAPSULAS,,
9661,1,1605,GLUCOSA 50 % 100 ML / 1 FRASCO PERFUSION DE 100 ML,,
5147,1,10391,TADALAFILO 20 MG / 8 COMPRIMIDOS RECUBIERTOS,,
7932,1,10991,BENZALCONIO 1.2% (12MG/1 G) / CREMA CONTRACEPTIVA 70 G (NO FINANCIABLE),,
9780,1,22892,TERIFLUNOMIDA 14 MG / 105 COMPRIMIDOS (EXTRANJERO),,
8899,1,12101,PARACETAMOL 250 MG / 20 COMPRIMIDOS (NO FINANCIABLE),,
6872,1,17076,"OLMESARTAN + AMLODIPINO + HIDROCLOROTIAZIDA (20/5/12,5 MG) / 28 COMPRIMIDOS RECUBIERTOS CON PELICULA",,
2193,1,17745,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE 10 X 10 / 3 APOSITOS,,
2520,1,13010,PAROXETINA 33MG/ML SOLUCION GOTAS 20ML,,
2290,1,2775,LOVASTATINA 20 MG / 28 COMPRIMIDOS,,
1804,1,5768,MORFINA 60 MG / 60 COMPRIMIDOS LIBERACION RETARDADA,,
7156,1,8131,"CLOSTRIDIOPEPTIDASA + NEOMICINA (0,6UI/3,5MG) EN 1 G / 1 POMADA DE 30 G (NO FINANCIABLE)",,
9918,1,10732,DARUNAVIR 300 MG / 120 COMPRIMIDOS RECUBIERTOS,,
7806,1,17540,METADONA 40 MG / 1 SOLUCION ORAL DE 40 ML,,
2073,1,6098,ETOSUXIMIDA 250 MG / 30 CAPSULAS,,
3252,1,3008,ACITRETINA 10 MG / 30 CAPSULAS,,
9177,1,11135,VALERIANA 250 MG / 30 GRAGEAS (NO FINANCIABLE),,
9576,1,10755,"SOMATROPINA 0,6 MG/VIAL  / 28 VIALES",,
2482,1,14362,ENJUAGUE BUCAL / 1 SOLUCION PARA ENJUAGUE BUCAL DE 500 ML (NO FINANCIABLE),,
9109,1,15396,SIST.INC.ORINA OCLUSIVO HOMBRE TALLA 1 / 1 PINZA ORINA,,
2879,1,8617,PIOGLITAZONA 15 MG / 56 COMPRIMIDOS,,
6572,1,12398,"CLOBETASOL 0,05% (0,5 MG /1 G) / 1 POMADA DE 30 G",,
1643,1,1602,GLUCOSA 5 % 100 ML / 1 FRASCOS/BOLSAS PERFUSION DE 100 ML,,
9702,1,18038,APOSITO DE HIDROCOLOIDE EXTRAFINO CON VASELINA 15 X 15 / 5 APOSITOS,,
8613,1,24922,COMPLEMENTO ALIMENTICIO/ 120 CAPSULAS (NO FINANCIABLE),,
9779,1,22889,AMIKACINA 500 MG EN 100 ML / 1 BOLSAS PERFUSION DE 100 ML,,
7067,1,6466,TRIMIPRAMINA 25 MG / 50 COMPRIMIDOS,,
8779,1,12981,NICOTINA 2 MG / 36 COMPRIMIDOS PARA CHUPAR (NO FINANCIABLE),,
8136,1,22864,DEPIGOID DUO CONTINUACION / 1 VIAL,,
9288,1,13529,DEXCLORFENIRAMINA 6 MG / 20 COMPRIMIDOS DE LIBERACION GRADUAL (NO FINANCIABLE),,
5978,1,8032,POTASIO HIDROXIDO 6.6 MG EN 1 ML / 1 FRASCO SOL GOTAS OTICAS DE 10 ML (NO FINANCIABLE),,
2509,1,8530,"CODEINA 28,7 MG / 10 COMPRIMIDOS (NO FINANCIABLE)",,
4562,1,6958,DIMEMORFANO 10 MG EN 5 ML / 1 JARABE DE 250 ML (NO FINANCIABLE),,
4834,1,25347,BOLSAS SISTEMA DOBLE PLACA C-ESP 15-33 MM 500 ML / 30 BOLSAS COLOSTOMIA +7 PLACAS,,
5868,1,16574,POMADA PROTECTORA / 1 POMADA DE 50 G (NO FINANCIABLE),,
8878,1,23762,APOSITO DE ESPUMA POLIURETANO CON BORDE 12X12CM  / 10 APOSITOS ( DISPENSACIÓN CENTROS SANITARIOS),,
9463,1,4651,CLOFAZIMINA 100 MG / 100 CAPSULAS,,
3230,1,1106,CALCIO CARBONATO + COLECALCIFEROL (1250MG (500MG CA)/400UI) / 60 COMPRIMIDOS MASTICABLES,,
2914,1,18598,SIMETICONA 120 MG / 20 CAPSULAS (NO FINANCIABLE),,
7787,1,10552,ALXOID MANTENIMIENTO (1 VIAL),,
4929,1,5462,SALICILATO DIETILAMINA + MIRTECAINA (100/10)MG EN 1 G / 1 POMADA DE 60 G (NO FINANCIABLE),,
2734,1,5191,INDOMETACINA 50 MG / 12 SUPOSITORIOS,,
9143,1,18031,LAMINA POLIURETANO TRANSPARENTE 15 X 20 / 10 APOSITOS (DISPENSACIÓN EN CENTROS SANITARIOS),,
2196,1,2491,NADOLOL 40 MG / 30 COMPRIMIDOS,,
2324,1,139,CANULA LARINGUECTOMIA TALLA 8 / 2 CANULA,,
2061,1,15785,BOLSAS UROST SIST DOBLE PLAC C-ESP < 35 MM 500 ML / 30 BOLSAS UROSTOMIA + 7 PLACAS,,
8525,1,4957,IDARUBICINA 10 MG EN 10 ML / 1 VIAL DE 10 ML,,
2087,1,24742,PARACETAMOL 650 MG/ 12 COMPRIMIDOS (TIRAS) (NO FINANCIABLE),,
8258,1,18653,APOSITO DE COLAGENO CON CELULOSA OXIDADA REGENERADA Y PLATA 123CM2 / 10 APOSITOS(DISPENSACION CENTROS SANITARIOS),,
5099,1,9527,PREGABALINA 75 MG / 56 CAPSULAS,,
5206,1,16378,VASELINA SALICILICA 2% / POMADA,,
3696,1,2500,METOPROLOL 100 MG (95 MG METOPROLOL SUCCINATO) / 30 COMPRIMIDOS LIBERACION RETARDADA,,
10241,1,919,"LOPERAMIDA 0,2 MG EN 1 ML / 1 FRASCO SOL GOTAS DE 100 ML (NO FINANCIABLE)",,
4641,1,9460,COMPLETA POLIMERICA HIPERPROTEICA HIPERCALORICA CON FIBRA / 8 PACK DE 500 ML,,
5449,1,5606,PROCAINA 2% (100 MG / 5 ML) / 1 AMPOLLAS DE 5 ML,,
7387,1,16973,SOLUCION ELECTROLITICA ISOTÓNICA  / 3 BRICKS DE 200 ML ( NO FINANCIABLE),,
7805,1,17656,ALERVACCINE POLIMERIZADO UNIDOSIS CONTINUACION (3 JERINGAS),,
9831,1,406,BOLSAS KARAYA ADHESIVO MICROPORO Y FILTRO  30  MM 1 UA / 30 BOLSAS COLOSTOMIA,,
5148,1,257,BRAGUERO INGUINAL BILATERAL 85 CM / 1 BRAGUERO,,
9518,1,7224,NALTREXONA 25 MG / 14 CAPSULAS,,
5484,1,5353,DEXKETOPROFENO 25 MG / 20 COMPRIMIDOS,,
3013,1,7067,"TOBRAMICINA 0,3% (3 MG/1 G)  / 1 UNGUENTO OFTALMICO DE 3,5 G",,
3702,1,15966,BOLSAS KARAYA ADHESIVO MICROPORO Y FILTRO 25 MM 360 ML / 30 BOLSAS COLOSTOMIA,,
5908,1,14443,"LEVODOPA + CARBIDOPA + ENTACAPONA  (125/31,25/200) MG / 100 COMPRIMIDOS RECUBIERTOS",,
6148,1,12052,SIMETICONA 40 MG / 30 COMPRIMIDOS MASTICABLES (NO FINANCIABLE),,
3322,1,10971,PARACETAMOL 500 MG / 10 COMPRIMIDOS (NO FINANCIABLE),,
7792,1,18656,APOSITO CON IODOPOVIDONA 5 X 5 CM/ 25 APOSITOS,,
8623,1,18198,"APOSITO DE CARBON CON PLATA 6,5X9,5 / 10 APOSITOS (DISPENSACION EN CENTROS SANITARIOS)",,
5084,1,3357,ESTRIOL 1 MG EN 1 G / 1 CREMA VAGINAL DE 15 G (NO FINANCIABLE),,
6683,1,2205,ISOSORBIDA MONONITRATO 20 MG / 30 CAPSULAS LIBERACION RETARDADA,,
4863,1,9453,MORFINA 10 MG EN 5 ML / 30 VIAL DE 5 ML,,
2919,1,153,SONDA VESICAL LATEX 12 CH / 1 SONDA,,
4892,1,1370,FERROGLICINA 170 MG EN 1 ML / 1 SOLUCION GOTAS DE 25 ML (NO FINANCIABLE),,
8272,1,21783,COMPLEMENTOS DE DIETAS HIPOCALORICAS / 9 SOBRES DE 54 G (NO FINANCIABLE),,
5378,1,15739,BOLSAS UROST SIST DOBLE PLACA 20 MM 500 ML / 30 BOLSAS UROSTOMIA + 7 PLACAS,,
2412,1,4420,TOBRAMICINA 100 MG EN 2 ML / 1 VIAL DE 2 ML,,
8259,1,17441,LINIMENTO OLEOCALCAREO + OXIDO DE ZINC / 1 SOBRE DE 17 G,,
2358,1,16446,METOCLOPRAMIDA+DEANOL+CIPROHEPTADINA  / 1 SOLUCION ORAL DE 150 ML (NO FINANCIABLE),,
2766,1,595,APOSITOS B OSTOM ARO RES SINT MIC 19-45 MM 45 MM / 5 APOSITOS B OSTOMIA,,
9991,1,14569,HARINAS NO LACTEADAS / 1 BOLSA DE 600 G ( NO FINANCIABLE ),,
1689,1,22542,IBUPROFENO + CODEINA (400/30) MG / 30 SOBRES (GRANULADO/POLVO),,
3755,1,22612,DAPOXETINA 30 MG / 6 COMPRIMIDOS RECUBIERTOS CON PELICULA (NO FINANCIABLE),,
3253,1,12309,BUDESONIDA 100 MCG EN 1 DOSIS / 1 INHALADOR EASYHALER DE 200 DOSIS,,
7833,1,18017,APOSITO MALLA CON PLATA 10 X 20 / 12 APOSITOS,,
4699,1,6816,"TERBUTALINA 1,5 MG EN 5 ML / 1 FRASCO SOL ORAL DE 180 ML",,
9724,1,18404,AXITINIB 5 MG / 60 COMPRIMIDOS (EXTRANJERO),,
1853,1,12408,FUSIDICO ACIDO 2% (20MG/1G)/ 1 POMADA DE 15 G,,
9202,1,24459,ALOE VERA + ARBOL DE TE + CALENDULA / 1 BOTE DE 250 ML (NO FINANCIABLE),,
8990,1,11144,BENZOCAINA 20.3% (200 MG/1 ML) / 1 SOLUCION DE 5 ML (NO FINANCIABLE),,
3846,1,148,SONDA RECTAL 28 CH / 1 SONDA,,
1624,1,6743,SALMETEROL 25 MCG EN 1 PULSACIONES / 1 INHALADOR DE 120 PULSACIONES,,
5208,1,24376,RANITIDINA 15 MG/ ML / SOLUCION,,
5728,1,8203,EXTRACTOS,,
1791,1,14624,METFORMINA 1000 MG / 30 SOBRES (NO FINANCIABLE),,
4509,1,615,CARBENOXOLONA 2% ( 20 MG/ 1 G ) / 1 GEL DE 15 G (NO FINANCIABLE),,
9981,1,13970,HIDROXOCOBALAMINA 2500 MG EN 100 ML / 2 VIAL SOLUCION PARA PERFUSION INTRAVENOSA DE 100 ML,,
2920,1,15689,GASA ESTERIL ALGODON HIDROFILO COMPRESA 20 X 20 / 50 COMPRESA,,
2525,1,6646,BETAHISTINA 8 MG EN 1 ML / 1 FRASCO SOL GOTAS DE 60 ML,,
4407,1,6362,ALPRAZOLAM 1 MG / 30 COMPRIMIDOS,,
9117,1,11527,UROFOLITROPINA 75 UI EN 1 ML / 10 VIAL DE 1 ML,,
4441,1,10706,APOSITOS B OSTOM ARO RES SINT MIC 13-38 MM 55 MM / 5 APOSITOS B OSTOMIA,,
3708,1,15828,BOLSAS ILEOST SIST DOBLE PLACA ACOPLAM ADH 35 MM 600 ML / 30 BOLSA ILEOSTOMIA + 10 PLACAS + PINZA,,
6236,1,4369,AZITROMICINA 500 MG / 3 SOBRES,,
4520,1,6724,TRIAMCINOLONA 55 MCG EN 1 PULVERIZACION / 1 NEBULIZACION NASAL DE 120 PULVERIZACIONES,,
1647,1,3087,"HIDROCORTISONA 0,127% (1,27 MG EN 1 G) / 1 CREMA TOPICA DE 60 G",,
10232,1,8461,PARECOXIB 40 MG / 10 VIAL,,
4299,1,6248,OLANZAPINA 10 MG / 56 COMPRIMIDOS,,
6869,1,17549,ALPROSTADIL 250 MCG / 1 BARRA URETRAL (1 APLICADOR),,
9510,1,6910,CARBOCISTEINA 500 MG / 20 GRAGEAS (NO FINANCIABLE),,
10187,1,5991,PARACETAMOL 325 MG / 8 SUPOSITORIOS,,
1707,1,24270,COMPLETA POLIMERICA NORMOPROTEICA NORMOCALORICA  / 12 SMARTFLEX  DE 500 ML,,
7751,1,9124,APREPITANT 1 DE 125 MG; 2 DE 80 MG / 3 CAPSULAS,,
6996,1,2190,"NITROGLICERINA 0,8 MG / 30 COMPRIMIDOS SUBLINGUALES",,
9968,1,12465,FORMULA EXENTA DE LIPIDOS / 4 BOTELLA DE 200 ML,,
6629,1,4234,CEFPODOXIMA 200 MG / 12 COMPRIMIDOS,,
2938,1,7009,CETIRIZINA 5 MG EN 5 ML / 1 FRASCO SOL ORAL DE 200 ML,,
7399,1,11450,"DEXTROMETORFAN + FENILPROPANOLAMIDA (10/12,5)ML EN 5 ML  / 1 SOLUCION DE 150 ML (NO FINANCIABLE)",,
7577,1,10461,"BELTAVAC DEPOT INICIACION (0,1,2,3)",,
4905,1,10363,VENDAJE TUBULAR 4.5 X 7.5 / 1 VENDAJE TUBULAR,,
7032,1,23454,"HIDROCORTISONA + NEOMICINA (25/3,5 MG) / 1 POMADA DE 20 G (NO FINANCIABLE)",,
2546,1,10699,APOSITOS B OSTOM ARO RES SINT MIC 30 MM 45 MM / 5 APOSITOS B OSTOMIA,,
9560,1,10321,SONDA VESICAL BAJA FRICCIÓN HOMBRE NELATON CON BOLSA DE RECOGIDA DE ORINA 8 CH / 30 SONDA+BOLSA,,
9907,1,10248,MEDIA COMP NORMAL / 1 MEDIA LARGA SUJECION,,
5617,1,940,MESALAZINA 1000 MG EN 1 APLICACION RECTAL / 1 ENVASE DE 14 APLICACIONES RECTAL,,
10058,1,17691,"APOSITO DE ESPUMA POLIURETANO EXTRAGRUESO CON HIDROCOLOIDE Y BORDE 12,5 X 12,5 / 3 APOSITOS",,
2309,1,8632,MEMANTINA 10 MG / 112 COMPRIMIDOS,,
3154,1,23414,BOLSAS RECOGIDA ORINA PIERNA 500 ML / 10 BOLSA (NO FINANCIABLE),,
8145,1,18584,LAMINA POLIURETANO TRANSPARENTE 28 ML  /  12  APOSITOS ( DISPENSACIÓN CENTROS SANITARIOS),,
5218,1,3173,MOMETASONA 1 MG EN 1 G / 1 POMADA DE 60 G,,
8626,1,17519,BOCEPREVIR 200 MG / 336 CAPSULAS DURAS,,
7222,1,2579,NICARDIPINO 20 MG / 30 GRAGEAS,,
5546,1,14139,"SOLUCION ELECTROLITICA ISOTÓNICA / 4 SOBRES DE 9,3 G  (NO FINANCIABLE)",,
4966,1,11203,SALICILICO ACIDO 500 MG EN 10 G / 1 POMADA DE 10 G (NO FINANCIABLE),,
7808,1,9485,"FOLITROPINA ALFA 22 MCG (300 UI) EN 0,5 ML / 1 PLUMA PREGARGADA DE 0,5 ML",,
3660,1,3171,MOMETASONA 1 MG EN 1 ML / 1 LOCION DE 60 ML,,
7754,1,17592,COMPLEMENTO ALIMENTICIO PERSONAS DE EDAD  / 20 GRAGEAS (NO FINANCIABLE),,
2100,1,15948,"PRAMIPEXOL 1,05 MG / 30 COMPRIMIDOS DE LIBERACION GRADUAL",,
4635,1,16112,BOLSAS SISTEMA DOBLE PLACA C-ESP 35 MM 500 ML / 30 BOLSAS COLOSTOMIA + 7 PLACAS,,
6241,1,2642,DILTIAZEM 300 MG / 20 CAPSULAS LIBERACION RETARDADA,,
3379,1,4660,ACICLOVIR 400 MG EN 5 ML / 1 FRASCO SUSP ORAL DE 100 ML,,
8619,1,24349,FUMARICO ACIDO 120 MG / 14 CAPSULAS DURAS ENTERICAS/GASTRORRESISTENTES,,
6549,1,316,ABSORBENTE INC ORINA DIA ANAT  / 60 ABSORBENTE,,
7563,1,17989,TOL FORTE SUBLINGUAL CONTINUACION (2 FRASCOS),,
8495,1,25244,VITAMINAS LIPOSOLUBLES A+D+E+K / 45 CAPSULAS BLANDAS (NO FINANCIABLE),,
9221,1,8985,TEMOZOLOMIDA 100 MG / 20 CAPSULAS,,
6936,1,2187,"NITROGLICERINA 0,4 MG EN 1 PULSACIONES / 1 AEROSOL DE 200 PULSACIONES",,
4452,1,17239,"PLANTAGO OVATA 3,5 G / 30 SOBRES EFERVESCENTES (NO FINANCIABLE)",,
8021,1,11142,RANITIDINA 75 MG / 10 SOBRES (NO FINANCIABLE),,
4297,1,14528,PARACETAMOL 325 MG / 24 COMPRIMIDO BUCODISPERSABLE,,
