cod_serv_propio,Frequency.1,codes,spanish description,english description,comment
861,1,UML,UNIDAD MEDICA LARGA ESTANCIA,,
641,1,7,Cirugía Maxilofacial,,
136,1,CTO,CIRUGIA TORACICA,,
566,1,946,MEDICINA INTERNA,,
478,1,CEGH,GESTORA CASOS HOSPITAL(CEX),,
373,1,NEMM,NEUMOLOGÍA MISLATA,,
458,1,CGIN,CEX GINECOLOGIA,,
824,1,CNCI,NEUROCIRUGIA INFANTIL,,
48,1,938,MEDICINA INTERNA,,
171,1,RX,RADIOLOGIA,,
80,1,CARC,CARDIOLOGÍA CEX,,
730,1,JGIN,C.ESP.GINECOLOGIA,,
91,1,AO,Unidad de Tratamiento del Dolor,,
432,1,APL,APARATO LOCOMOTOR,,
810,1,FAP,FISIOTERAPIA A. PRIMARIA,,
865,1,1548,PEDIATRIA,,
552,1,940,MEDICINA INTERNA,,
587,1,MMDI,MEDICINA DIGESTIVA MONTEOLIVET,,
417,1,CHDT,H DIA TRASTORNOS ALIMENTARIOS,,
473,1,HURO,UROLOGIA,,
664,1,EERZ,C.E.PORT-CONS/EXPL: Otorrinolaringología,,
710,1,CNRI,C. EXT. NEUROPEDIATRIA,,
702,1,BHEM,HEMATOLOGIA (C.E.BURJASSOT),,
772,1,NEF,NEFROLOGIA,,
161,1,10169,MEDICINA INTERNA,,
363,1,UCMX,CIR MAXILOFACIAL,,
273,1,HDDMED,HOSPITAL DE DÍA,,
47,1,DII,MED.DIGESTIVO INFANTIL,,
729,1,GINA,TOCOGINECOLOGIA: GINECOLOGIA,,
29,1,HONC,ONCOLOGIA,,
82,1,CUTA,CEX TRANSTORNOS ALIMENTARIOS,,
537,1,BORL,OTORRINO (C.E.BURJASSOT),,
672,1,NCG,NEUROCIRUGIA,,
19,1,NERM,NEUROLOGÍA MISLATA,,
98,1,CNEU,CEX. NEUMOLOGIA,,
630,1,11,Cirug¡a General y Digestiva,,
395,1,FMC,FARMACOLOGIA CLINICA,,
813,1,FMP,FARMACIA DE AREA,,
820,1,240,UNIDAD 2.1 SALUD MENTAL INFANTIL - CE,,
862,1,UTA,U.TRANSTORNOS ALIMENTARIOS,,
357,1,UROE,UROLOGÍA ALDAIA,,
180,1,COR,CIRUGIA ORTOPEDICA,,
777,1,GTOC,C.TOCOLOGIA,,
781,1,904,ANESTESIA,,
867,1,CNEP,C. EXT. NEFROLOGIA PEDIATRICA,,
220,1,32,CIRUGIA,,
10,1,16,Ginecología y Obstetricia,,
493,1,CNEM,CEX NEUMOLOGIA,,
85,1,29,Neurofisiología,,
169,1,ENEF,NEFROLOGIA (C.ESP),,
833,1,HECZ,HOSPITAL-CONSULTA: Cirugía,,
572,1,ODOA,ESTOMATOLOGIA Y CIR. MAXILOFACIAL: GENERAL,,
711,1,UHP,UNIDAD HEPATICA,,
438,1,CPST,CEX PSICOLOGIA CONDUCTAS ADIC,,
365,1,CANE,ANESTESIA (CEX),,
340,1,CUCF,CEX. UN.CRANEO FACIAL,,
423,1,ECI,ENDOCRINOLOGIA INFANTIL,,
640,1,HPED,PEDIATRIA,,
866,1,ATOC,TOCOLOGIA ALDAIA,,
28,1,CNEF,CEX. NEFROLOGIA,,
737,1,902,OFTALMOLOGIA,,
568,1,UTS,U.TRANSTORNOS SUEÑO,,
536,1,LTRA,TRAUMATOLOGIA (C.E.LLIRIA),,
119,1,CINM,CEX. INMUNOLOGIA,,
226,1,ONI,ONCOLOGIA INFANTIL,,
139,1,HRHB,REHABILITACION,,
210,1,DERC,DERMATOLOGÍA CEX,,
246,1,LAB,LABORATORIO,,
532,1,CURD,URODINAMICA,,
540,1,81,Neurolog¡a Infantil,,
677,1,133,GINECOLOGÍA - CE,,
825,1,CON,U.CONVALESCENCIA,,
121,1,28,Neurología,,
249,1,CUCI,C. EXT. M.INTENSIVA,,
728,1,CUDC,C.EXT. DA¥O CEREBRAL,,
440,1,CUHT,UNIDAD HEMOSTASIA Y TROMBOSIS,,
495,1,CCIR,CEX CIRUGIA GENERAL,,
599,1,RHBC,REHABILITACION CEX,,
690,1,GINM,GINECOLOGÍA MISLATA,,
172,1,85,Nefrolog¡a,,
545,1,AMDI,DIGESTIVO (H.ARNAU),,
657,1,17,DOCUMENTACION CLINICA Y ADMISION,,
531,1,AONC,ONCOLOGIA (H.ARNAU),,
260,1,AREU,REUMATOLOGIA ALDAIA,,
546,1,PSIC,PSICOLOGIA CLINICA,,
520,1,AORL,OTORRINO (H.ARNAU),,
852,1,PCAR,CONSULTA DE PRUEBAS CARDIO,,
353,1,CIRC,CIRUGÍA GENERAL CEX,,
688,1,39,Psiquiatr¡a,,
7,1,ORL,ORL,,
81,1,CIRM,CIRUGÍA GENERAL MISLATA,,
187,1,NERA,NEUROLOGIA: GENERAL,,
659,1,SEMR,C.I.SEG-CONS/EXPL: Neurología,,
871,1,EESC,C.E.PORT-CONS/EXPL: Psicología,,
167,1,CMAA,CIRUGIA MAYOR AMBULATORIA: GENERAL,,
470,1,SEGZ,C.I.SEG-CONS/EXPL:Ginecologia,,
487,1,UCPA,U.C.PALIATIVOS,,
11,1,COT,CIR.ORTOPEDICA TRAUMA,,
826,1,CPIN,PEDIATRIA INFECCIOSA,,
143,1,UALC,UNIDAD ALGIAS CRONICAS,,
75,1,URQA,UNIDAD DE RAQUIS,,
234,1,CHDI,C. EXT. HOSPITAL DIA,,
344,1,AW,Dismorfolog¡a pedi trica,,
555,1,HDER,DERMATOLOGIA,,
748,1,CSON,SUEÑO,,
847,1,JGNJ,C.ESP.GINECOLOGIA,,
213,1,BRHB,REHABILITACION (C.E.BURJASSOT),,
617,1,948,MEDICINA PREVENTIVA,,
754,1,PRV,PREVENTIVA,,
92,1,OFT,OFTALMOLOGIA,,
611,1,URO,UROLOGIA,,
649,1,READ,ANESTESIA-REANIMACION: UNIDAD DOLOR,,
267,1,ENEM,NEUMOLOGIA (C.ESP),,
289,1,ARHB,REHABILITACION (H.ARNAU),,
623,1,HCAZ,HOSPITAL-CENTRALES: Anestesia General,,
782,1,KGIN,Obsoleto - NO USAR,,
393,1,EREU,REUMATOLOGIA (C.ESP),,
264,1,AC,Unidad de Raquis,,
500,1,MECR,ENDOCRINO MONTEOLIVETE,,
76,1,CURO,C. EXT. UROLOGIA,,
453,1,COTA,CIRUGIA ORTOPEDICA Y TRAUMATOLOGIA: GENERAL,,
551,1,OPM,OPTOMETRIA,,
882,1,NPS,NEUROPSIQUIATRIA,,
370,1,MALE,ALERGIA MONTEOLIVETE,,
159,1,ACL,ANALISIS CLINICOS,,
517,1,10034,TOCO-GINECOLOGIA,,
465,1,HCIR,CIRUGIA,,
418,1,MPRE,MED.PREVENTIVA,,
300,1,SEMD,C.I.SEG-CONS/EXPL: Digestivo,,
349,1,67,Nutrici¢n y Diet¿tica,,
503,1,CCTO,CEX. CIRUGIA TORACICA,,
299,1,CUPM,CEX. UNIDAD PATOLOGIA MAMARIA,,
442,1,MDIC,MEDICINA DIGESTIVA CEX,,
335,1,CCCV,CIR CARDIOVASCULAR,,
434,1,HEHZ,HOSPITAL-CONSULTA: Hematología,,
59,1,BCIR,CIRUGIA (C.E.BURJASSOT),,
681,1,911,REHABILITACION,,
719,1,ECAR,CARDIOLOGIA (C.ESP),,
586,1,DIGH,M.DIGESTIVA,,
356,1,ENDM,ENDOCRINOLOGÍA MISLATA,,
55,1,GOBS,OBSTETRICIA C. ESPECIALIDADES,,
21,1,AECR,ENDOCRINOLOGIA (H.ARNAU),,
30,1,18,ONCOLOGÍA MED. - CE,,
64,1,AA,Medicina del Trabajo,,
482,1,ONH,ONCO-HEMATOLOGIA,,
854,1,SECZ,C.I.SEG-CONS/EXPL:Cirugia,,
303,1,EEGZ,C.E.PORT-CONS/EXPL: Ginecología,,
818,1,1303,REHABILITACION,,
459,1,MINC,MEDICINA INTERNA CEX,,
287,1,COTRIBAT,CIR. ORT. Y TRAUMA. CS RIBARROJA,,
693,1,CCVM,CIRUGÍA VASCULAR MISLATA,,
562,1,REU,REUMATOLOGIA,,
110,1,10036,UROLOGIA,,
648,1,BDER,DERMA (C.E.BURJASSOT),,
68,1,927,MEDICINA INTERNA,,
755,1,ALI,ALERGIA INFANTIL,,
25,1,HCAR,CARDIOLOGIA,,
766,1,DER,DERMATOLOGIA,,
489,1,CAI,CARD.INFANTIL,,
506,1,SCOT,TRAUMATOLOGIA,,
797,1,TSU,TRABAJADOR SOCIAL UCAS,,
828,1,EEKZ,C.E.PORT-CONS/EXPL: Odontología,,
839,1,HEMN,HOSPITAL-CONSULTA Neumología,,
218,1,1048,UROLOGIA,,
676,1,EOFT,OFTALMOLOGIA (C.ESP),,
184,1,ALE1,C. ALERGIA,,
856,1,SEME,C.I.SEG-CONS/EXPL: Endocrinologia,,
474,1,SETZ,C.I.SEG-CONS/EXPL:Traumatologia,,
94,1,CDOL,UNIDAD DEL DOLOR (CEX),,
156,1,MHEM,HEMATOLOGIA MONTEOLIVETE,,
13,1,CCGI,CEX. CIRUGIA PEDIATRICA,,
638,1,HEUZ,HOSPITAL-CONSULTA: Urología,,
689,1,ODER,Obsoleto - NO USAR,,
868,1,CPI,CIRUGIA PLASTICA INFANTIL,,
883,1,OFI,OFTALMOLOGIA INFANTIL,,
684,1,ALE,ALERGIA,,
627,1,LORL,OTORRINO (C.E.LLIRIA),,
235,1,201,URODINAMICA - CE,,
544,1,OFTP,OFTALMOLOGIA: POLO ANTERIOR,,
731,1,CCGC,CONSEJO GENETICO CANCER,,
560,1,903,UNIDAD DE CUIDADOS INTENSIVOS,,
534,1,ORLA,OTORRINOLARINGOLOGIA: GENERAL,,
761,1,MNU,MEDICINA NUCLEAR,,
745,1,REAC,ANESTESIOLOG. CEX,,
759,1,CUHP,CIR HEPATOBILIOPANCREATICA,,
877,1,HMI,HEMATOLOGIA INFANTIL,,
724,1,AOFT,OFTALMOLOGIA (H.ARNAU),,
890,1,POFT,OFTALMOLOGIA CATARROJA,,
642,1,15,Cirug¡a Pl stica,,
231,1,EHOS,ENFER. HOSPITAL,,
252,1,195,CIRUGÍA GENERAL - CE,,
392,1,NEFA,NEFROLOGIA: GENERAL,,
61,1,JCAR,C.ESP.CARDIOLOGIA,,
695,1,20,ANESTESIA - CE,,
563,1,10168,MEDICINA INTERNA,,
6,1,CIR1,C. CIRUGIA,,
733,1,CUTP,U TRASPLANTE PULMONAR,,
327,1,EDER,DERMATOLOGIA (C.ESP),,
542,1,CMOD,MOTILIDAD DIGESTIVA,,
354,1,HEMA,HEMATOLOGIA: GENERAL,,
661,1,CDER,CEX DERMATOLOGIA,,
751,1,MORL,ORL MONTEOLIVETE,,
183,1,900,MEDICINA INTERNA,,
74,1,CARM,CARDIOLOGIA: MARCAPASOS,,
222,1,CPLA,CIRUGIA PLASTICA: GENERAL,,
341,1,ADIE,NUTRICIÓN Y DIETÉTICA ALDAIA,,
430,1,HEMZ,HOSPITAL-CONSULTA: Med.Interna General,,
129,1,02,Alergolog¡a,,
496,1,RHBA,REHABILITACION: GENERAL,,
126,1,AMPR,MEDICINA PREVENTIVA CONSULTAS,,
510,1,942,TRAUMATOLOGIA,,
556,1,PTRA,TRAUMA (PATERNA),,
415,1,CGI,CIRUGIA PEDIATRICA,,
311,1,CUMI,CONSULTA MEDICINA INTENSIVA,,
796,1,PSS,SEXOLOGIA SALUD SEXUAL Y REPRODUCTIVA,,
842,1,HONH,HOSPITAL DE DIA ONCOLOGIA,,
380,1,CMIN,CEX MEDICINA INTERNA,,
421,1,HDOB,H DIA OBSTETRICIA,,
411,1,UDR,UNIDAD DE RETINA,,
523,1,46,Neurocirugía,,
211,1,DERA,DERMATOLOGIA: GENERAL,,
334,1,92,Cirug¡a Tor cica,,
238,1,NEN,NEONATOLOGIA,,
744,1,AHEM,HEMATOLOGIA (H.ARNAU),,
308,1,GMDI,C.EXC.DIGESTIVO C.E.GERONA,,
193,1,PEDP,PEDIATRIA: PREESCOLARES,,
49,1,CPAL,CUIDADOS PALIATIVOS,,
578,1,CCVA,ANGIOLOGIA Y CIR VASCULAR,,
771,1,JCIR,CIRURGIA GRAL.C.E.JAUME I,,
692,1,CUEM,CIR ENDOCRINOMETABOLICA,,
8,1,HEOZ,HOSPITAL-CONSULTA: Obstetricia,,
330,1,GCOT,CIR.ORTOPEDICA TRAUMA C. ESPEC,,
384,1,MREU,REUMATOLOGIA MONTEOLIVETE,,
752,1,JECR,C.ESP.ENDOCRINO,,
350,1,CHEM,CEX HEMATOLOGIA,,
389,1,NEMC,NEUMOLOGÍA CEX,,
347,1,OFTC,OFTALMOLOGIA CEX,,
803,1,RIL,PREVENCION RIESGOS LABORALES,,
145,1,ALEA,ALERGIA: GENERAL,,
768,1,1252,MEDICINA INTERNA,,
592,1,939,MEDICINA INTERNA,,
253,1,PSIA,PSIQUIATRIA: GENERAL,,
670,1,CVA,CIRUGIA VASCULAR,,
479,1,PRR,PROTECCION RADIOLOGICA,,
285,1,END,ENDOCRINO,,
497,1,CPRR,PROTECCION RADIOLOGICA,,
255,1,193,PATOLOGÍA DUAL GRAVE - CE,,
519,1,101,Cirugía Maxilofacial,,
860,1,UDC,UNIDAD DAÑO CEREBRAL,,
316,1,EEMD,C.E.PORT-CONS/EXPL: Digestivo,,
515,1,AREA,ANESTESIA (H.ARNAU),,
608,1,INFA,UNIDAD ENFERMEDADES INFECCIOSAS: GENERAL,,
830,1,HCIZ,HOSPITAL-CENTRALES: Unid.Cuid.Intensivos,,
864,1,1076,PEDIATRIA,,
573,1,DIE,NUTRICION Y DIETETICA,,
160,1,ACAR,CARDIOLOGIA (H.ARNAU),,
633,1,CEAE,ENFERMERIA ATENCION ESPECIALIZ,,
444,1,APSI,PSIQUIATRIA (H.ARNAU),,
491,1,LOC,APARATO LOCOMOTOR,,
780,1,COTC,CIR. ORT. Y TRAUMA. CEX,,
476,1,RTE,RADIOTERAPIA,,
660,1,COTCHEST,CIR. ORT. Y TRAUMA. CS CHESTE,,
198,1,ECR,ENDOCRINOLOGIA,,
600,1,ANE,ANESTESIA,,
155,1,EACL,ANALISIS CLINICOS (C.ESP),,
5,1,CLIT,LITOTRICIA,,
575,1,CTNJ,Obsoleto - NO USAR,,
606,1,AT,Unidad Aparato Locomotor,,
809,1,EGC,ENFERMERA GESTORA DE CASOS COMUNITARIA,,
244,1,RHBE,REHABILITACIÓN ALDAIA,,
310,1,ENER,NEUROLOGIA (C.ESP),,
346,1,CPSC,CEX PSICOLOGIA CLINICA,,
612,1,TRX,TECNICO DE RAYOS,,
874,1,EST,ESTERILIDAD,,
107,1,COTI,CIR ORTOPEDICA Y TRAUMA INFANT,,
656,1,HCOT,TRAUMATOLOGIA,,
799,1,PEP,PEDIATRA SABADO,,
581,1,PSI,PSIQUIATRIA,,
624,1,HEMC,HEMATOLOGÍA CEX,,
186,1,RXDS,RADIODIAGNOSTICO: EXPLORACIONES ESPECIALES,,
696,1,SOFT,OFTALMOLOGIA,,
795,1,MFC,MEDICINA FAMILIAR,,
855,1,SELZ,C.I.SEG-CONS/EXPL: Oncologia,,
271,1,HORL,OTORRINO,,
239,1,187,NEUMOLOGÍA-CE,,
397,1,CURQ,C. EXT. UNIDAD RAQUIS,,
237,1,61,MEDICINA DEPORTIVA - CE,,
88,1,EEFZ,C.E.PORT-CONS/EXPL: Oftalmología,,
814,1,1298,REHABILITACION,,
101,1,CSMP,PSICOLOGIA SALUT MENTAL,,
734,1,CDEI,DERMATOLOGIA INFANTIL,,
362,1,MNEM,NEUMOLOGIA MONTEOLIVETE,,
435,1,CTRE,TRANSPLANTE RENAL,,
329,1,ORLM,OTORRINOLARINGOLOGÍA MISLATA,,
343,1,URQ,UNIDAD RAQUIS,,
849,1,JPYC,(ANULADA) C.ESP.CORAZON-PULMON,,
835,1,HELZ,HOSPITAL-CONSULTA: Oncología,,
56,1,31,Oncología,,
443,1,1553,MEDICINA INTERNA,,
18,1,909,PEDIATRIA,,
441,1,172,ALERGIA  CE,,
699,1,CIRS,CIRUGIA GENERAL Y DIGESTIVA: ESOFAGO-ESTOMAGO,,
280,1,CPL,CIRUGIA PLASTICA,,
735,1,SII,PSIQUIATRIA INFANTIL,,
765,1,HALI,ALERG. INFANTIL,,
836,1,HEMD,HOSPITAL-CONSULTA: Digestivo,,
106,1,ECRC,ENDOCRINOLOGIA CEX,,
17,1,REUM,REUMATOLOGÍA MISLATA,,
146,1,CUED,U ENDOSCOPIAS DIGESTIVAS,,
598,1,GRHB,REHABILITACION C. ESPECIALIDAD,,
603,1,246,PSICOONCOLOGÍA - CE,,
687,1,HUCI,CUIDADOS INTENS,,
801,1,OAP,MEDICO EMPRESA,,
665,1,CGER,GERIATRIA (CEX),,
884,1,ORI,OTORRINOLAR. INFANTIL,,
221,1,JURO,C.ESP.UROLOGIA,,
34,1,10037,OTORRINOLARINGOLOGIA,,
358,1,NEMA,NEUMOLOGIA: GENERAL,,
199,1,1022,MEDICINA INTERNA,,
176,1,CDII,DIGESTIVO INFANTIL,,
629,1,CGD,CIRUGIA DIGESTIVO,,
499,1,DERE,DERMATOLOGÍA ALDAIA,,
178,1,HDD,HOSPITAL DE DIA,,
428,1,CPSQ,CEX. PSIQUIATRIA,,
589,1,UDOE,ENFERMERIA A. ESPECIALIZADA,,
277,1,ONC,ONCOLOGIA,,
790,1,ECA,ENFERMERIA CONDUCTAS ADICTIVAS,,
290,1,1348,MEDICINA INTERNA,,
332,1,HEAZ,HOSPITAL-CONSULTA: Anestesia,,
400,1,GLOC,U.APARATO LOCOMOTOR,,
431,1,GTRA,C.TRAUMATOLOGIA - C.E.GERONA,,
832,1,HDOZ,HOSPITAL-HOSPDIA: Obstetricia,,
492,1,DER1,C. DERMA,,
165,1,CUTT,CEX UNIDAD TRATAM.TOXICOMANOS,,
512,1,ORHB,Obsoleto - NO USAR,,
708,1,259,CONSEJO GENÉTICO - CE,,
70,1,CECR,CEX ENDOCRINOLOGIA,,
767,1,NCGA,NEUROCIRUGIA: GENERAL,,
616,1,EETZ,C.E.PORT-CONS/EXPL: Traumatología,,
233,1,GORL,C.OTORRINO - C.E.GERONA,,
203,1,TSO,TRABAJADOR SOCIAL,,
516,1,CUTD,CEX TRATAMIENTO DEL DOLOR,,
43,1,CARA,CARDIOLOGIA: GENERAL,,
404,1,CNFI,NEFROLOGIA INFANTIL,,
528,1,BURO,UROLOGIA (C.E.BURJASSOT),,
539,1,CCMI,CIR MAXILOFACIAL INFANTIL,,
819,1,-2,[Sin referencia],,
437,1,BOFT,OFTALMOLOGIA (C.E.BURJASSOT),,
377,1,COTBUNY,CIR. ORT. Y TRAUMA. CS BUÑOL,,
105,1,PSC,PSICOLOGIA CLINICA,,
609,1,COTQUAPO,CIR. ORT. Y TRAUMA. CS QUART POBLET,,
727,1,CIR,CIR. GENERAL,,
388,1,CDPA,DIALISIS PERITONEAL,,
133,1,MCE,CORTA ESTANCIA,,
288,1,941,TOCO-GINECOLOGIA,,
725,1,PMDI,DIGESTIVO (PATERNA),,
215,1,1351,MEDICINA INTERNA,,
298,1,EDEN,ODONTOLOGIA (C.ESP),,
792,1,SMP,PSICOLOGIA SALUD MENTAL,,
317,1,USE,PERSONAL ESPECIALIZADA,,
173,1,CCOT,CEX CIR. ORTOP.Y TRAUMATOLOGIA,,
304,1,215,HOSPITAL DE DÍA VILLARREAL - CE,,
741,1,179,CIRUGIA PLASTICA Y REPARADORA-CE,,
39,1,CUEI,CEX ENFERMEDADES INFECCIOSAS,,
302,1,CCEP,CIR CORTA ESTANCIA Y PARED,,
50,1,EMIN,MEDICINA INTERNA (C.ESP),,
284,1,USMF,UNIDAD SALUD MENTAL FTE S.LUIS,,
892,1,PUHD,PSICOLOGO UHD,,
170,1,EREA,ANESTESIA (H.LLIRIA),,
331,1,10035,MEDICINA INTERNA,,
486,1,OMDI,Obsoleto - NO USAR,,
736,1,HMDI,DIGESTIVO,,
462,1,TSOC,TRABAJO SOCIAL,,
602,1,HCVA,C. VASCULAR,,
845,1,JDNJ,C.ESP.DERMA NO JER.,,
850,1,MINM,MEDICINA INTERNA MISLATA,,
182,1,CTOA,CIRUGIA TORACICA: GENERAL,,
374,1,10163,REHABILITACION,,
138,1,231,GERIATRÍA (ASILO) - CE,,
422,1,CMUS,CENTRO DE MUSEO,,
230,1,GOFT,C.OFTALMOLOGIA - C.E.GERONA,,
749,1,MDIG,MEDICINA DIGESTIVA: GASTROENTEROLOGIA,,
314,1,COTTUR,CIR. ORT. Y TRAUMA. CS. TURIS,,
116,1,JNER,C.ESP.NEUROLOGIA,,
294,1,CSMC,CS MENTAL CATARROJA,,
636,1,12,Cirug¡a Pedi trica,,
368,1,MDIA,MEDICINA DIGESTIVA: GENERAL,,
848,1,JODO,C.ESP.ODONTOLOGIA,,
38,1,1433,MEDICINA INTERNA,,
367,1,TRAM,TRAUMATOLOGÍA MISLATA,,
632,1,HEBZ,HOSPITAL-CONSULTA: Rehabilitación,,
838,1,HEMH,HOSPITAL-CONSULTA: MInt Hipertensión,,
576,1,SDER,DERMATOLOGIA,,
378,1,LDER,DERMATOLOGIA (C.E.LLIRIA),,
90,1,CIRA,CIRUGIA GENERAL Y DIGESTIVA: GENERAL,,
20,1,13,Medicina Preventiva,,
477,1,HNEM,NEUMOLOGIA,,
217,1,HECR,ENDOCRINO HOSP.,,
694,1,ADER,DERMATOLOGIA (H.ARNAU),,
242,1,36,Endocrinolog¡a,,
712,1,220,MEDICINA PREVENTIVA - CE,,
32,1,CIRE,CIRUGÍA GENERAL ALDAIA,,
53,1,UMDE,UNIDAD DE MEMORIA Y DEMENCIAS,,
747,1,HANE,ANESTESIOLOGIA,,
863,1,ZZ07,FUNDACION:  Psico-Oncología (AEC),,
669,1,UCIC,MEDICINA INTENSIVA CEX,,
445,1,03,Medicina Intensiva,,
452,1,GDER,C.DERMATOLOGIA - C.E.GERONA,,
86,1,ACCV,CIRUGÍA VASCULAR ALDAIA,,
472,1,SURO,UROLOGIA,,
614,1,SEMC,C.I.SEG-CONS/EXPL: Cardiología,,
342,1,MLBA,MEDICINA LABORAL: GENERAL,,
471,1,AP,Unidad Enfermedades Infecciosas,,
427,1,ALEC,ALERGOLOGÍA CEX,,
57,1,EECR,ENDOCRINOLOGIA (H.LLIRIA),,
407,1,LRHB,REHABILITACION (C.E.LLIRIA),,
524,1,MIN,MEDICINA INTERNA,,
538,1,EUHD,ENFERMERIA UHD,,
625,1,138,DIGESTIVO HP - CE,,
102,1,COTCHIVA,CIR. ORT. Y TRAUMA. CS CHIVA-CHESTE,,
103,1,CREU,CEX REUMATOLOGIA,,
488,1,CONH,ONCOLOGIA Y HEMATOLOGIA (CONS),,
505,1,UFPE,UNIDAD FARMACIA PACIENTES EXT.,,
60,1,1349,MEDICINA INTERNA,,
706,1,CORL,CEX OTORRINOLARINGOLOGIA,,
770,1,CCCO,CONSULTA COMITE C.COLON,,
232,1,CALE,ALERGIA,,
265,1,TDER,Obsoleto - NO USAR,,
637,1,GINC,GINECOLOGÍA-OBST. CEX,,
324,1,UHD,U. HOSP. DOMIC.,,
467,1,CEND,CONSULTA DE ENDOCRINOLOGIA,,
554,1,GNEM,C.NEUMOLOGIA - C.E.GERONA,,
774,1,AM,Unidad de Geriatr¡a,,
65,1,10,CARDIOLOGÍA - CE,,
212,1,EEND,ENDOCRINOLOGIA (C.ESP),,
22,1,CNER,CEX NEUROLOGIA,,
843,1,IHDD,INTERCONSULTA TTO HOSP DE DIA,,
674,1,JDER,C.ESP.DERMATOLOGIA,,
4,1,CARR,CARDIOLOGIA: ARRITMIAS,,
127,1,23,Medicina Preventiva,,
651,1,DIEC,NUTRICIÓN Y DIETÉTICA  CEX,,
36,1,SICA,PSICOLOGIA: GENERAL,,
371,1,CCARC,CIRUGÍA CARDÍACA CEX,,
574,1,JNEM,C.ESP.NEUMOLOGIA,,
140,1,SEMA,C.I.SEG-CONS/EXPL:Alergología,,
405,1,NRI,NEUROLOGIA INF.,,
433,1,CAR,CARDIOLOGIA,,
177,1,TRHB,Obsoleto - NO USAR,,
501,1,HCDN,HOSPITAL-CENTRALES: Hospital Día Neumolo,,
667,1,BH,ONDAS DE CHOQUE,,
109,1,SORL,OTORRINO,,
118,1,CTRI,CEX. TRAUMA INFANTIL,,
584,1,198,TRAUMATOLOGÍA GENERAL - CE,,
455,1,ODOE,ODONTOLOGÍA ALDAIA,,
197,1,NER,NEUROLOGIA,,
757,1,NEU,NEUMOLOGIA,,
63,1,HNEF,NEFROLOGIA,,
583,1,1024,MEDICINA INTERNA,,
585,1,1138,MEDICINA INTERNA,,
858,1,SEUZ,C.I.SEG-CONS/EXPL:Urologia,,
194,1,CPSI,CEX PSIQUIATRIA,,
773,1,COPM,OPTOMETRIA,,
846,1,JENJ,CONS.ENDOCRINO (NO USAR!),,
361,1,44,Trauma-Cirug¡a Ortop¿dica,,
798,1,ODP,ODONTOLOGIA PREVENTIVA,,
77,1,CCCA,CEX. CIRUGIA CARDIACA,,
582,1,COFT,CEX OFTALMOLOGIA,,
345,1,DIEM,NUTRICIÓN Y DIETÉTICA MISLATA,,
52,1,EEMC,C.E.PORT-CONS/EXPL: Cardiología,,
750,1,91,Cirug¡a Card¡aca,,
775,1,COTMANI,CIR. ORT. Y TRAUMA. CS MANISES,,
569,1,REA,ANESTESIA,,
413,1,AUDH,MEDICINA CONDUCTAS ADICTIVAS,,
399,1,MRHB,REHABILITACION,,
530,1,42,MEDICINA INTERNA,,
