cod_centro,Frequency.1,codes,spanish description,english description,comment
865,1,314,CENTRO DE SALUD DE VALENCIA CASTELLAR,,
552,1,225,CONSULTORIO AUXILIAR DE GESTALGAR,,
587,1,530,CENTRO SANITARIO INTEGRADO DE CREVILLENT,,
417,1,9,CONSULTORIO AUXILIAR DE CINCTORRES,,
473,1,308,CENTRO DE SALUD VALENCIA BENICALAP MIGUEL SERVET,,
664,1,752,CONSULTORIO AUXILIAR TORRE ENDOMENECH,,
710,1,116,CONSULTORIO AUXILIAR DE QUART DE LES VALLS,,
702,1,188,CENTRO DE SALUD DE CHELVA,,
772,1,180,CENTRO DE SALUD DE VALENCIA BENIMAMET,,
161,1,315,CONSULTORIO AUXILIAR DE VALENCIA EL PALMAR,,
363,1,2691,CONSULTORIO AUXILIAR PLAYA DE ALMENARA,,
273,1,558,CONSULTORIO AUXILIAR DE ORIHUELA BENFERRI,,
47,1,702,CONSULTORIO AUXILIAR DE ELX / ELCHE LES BAIES,,
729,1,511,CONSULTORIO AUXILIAR DE LA ROMANA,,
29,1,281,CENTRO DE SALUD DE PICASSENT,,
82,1,84,CONSULTORIO AUXILIAR DE AYODAR,,
537,1,360,CENTRO DE SALUD DE CASTELLO DE RUGAT,,
672,1,253,CONSULTORIO AUXILIAR DE VENTA DEL MORO,,
19,1,2685,CONSULTORIO AUXILIAR DE PLAYA DE CANET D'EN BERENGUER,,
98,1,138,CONSULTORIO AUXILIAR DE VILLANUEVA DE VIVER,,
630,1,408,CONSULTORIO AUXILIAR DE BELGIDA,,
395,1,2334,CONSULTORIO AUXILIAR DE DAIMUS PLAYA,,
813,1,751,CENTRO DE SALUD DE TORREVIEJA PATRICIO PEREZ,,
820,1,421,CONSULTORIO AUXILIAR DE SUMACARCER,,
862,1,381,CONSULTORIO AUXILIAR DE SIMAT DE LA VALLDIGNA,,
357,1,158,CONSULTORIO AUXILIAR DE MASSALFASSAR,,
180,1,341,CENTRO SANITARIO INTEGRADO DE CULLERA,,
777,1,527,CENTRO DE SALUD DE AGOST,,
781,1,426,CENTRO DE SALUD DE LLUTXENT,,
867,1,440,CONSULTORIO AUXILIAR DE MONTAVERNER,,
220,1,372,CONSULTORIO AUXILIAR DE XERESA,,
10,1,398,CONSULTORIO AUXILIAR DE ADSUBIA,,
493,1,621,CENTRO DE SALUD DE XABIA / JAVEA ADUANAS,,
85,1,275,CONSULTORIO AUXILIAR DE MILLARES,,
169,1,379,CENTRO SANITARIO INTEGRADO DE TAVERNES DE LA VALLDIGNA,,
833,1,512,CENTRO DE SALUD DE PETRER 1,,
572,1,2908,CENTRO DE SALUD DE ELX/ELCHE L'ALTET,,
711,1,320,CONSULTORIO AUXILIAR DE GAVARDA,,
438,1,505,CONSULTORIO AUXILIAR DE BENEJAMA,,
365,1,69,CONSULTORIO AUXILIAR DE ZUCAINA,,
340,1,211,CENTRO DE SALUD DE RIBA-ROJA DE TURIA,,
423,1,657,CENTRO DE SALUD DE CASTELLON DE LA PLANA PALLETER,,
640,1,640,CONSULTORIO AUXILIAR DE LUDIENTE,,
866,1,913,HOSPITAL LA FE HOSPITAL INFANTIL,,
28,1,676,CONSULTORIO AUXILIAR DE TORRES TORRES,,
737,1,972,HOSPITAL GENERAL DE REQUENA,,
568,1,709,CONSULTORIO AUXILIAR DE VALENCIA PERELLONET,,
536,1,3270,CONSULTORIO AUXILIAR CONVENTO DE JERUSALEN,,
119,1,2549,CENTRO DE SALUD DE TORRENT II,,
226,1,247,CENTRO DE SALUD DE AYORA,,
139,1,232,CENTRO DE SALUD DE MANISES,,
210,1,2971,CONSULTIRO AUXILIAR DE VENTA DEL MORO / CASAS DE PRADA,,
246,1,34,CONSULTORIO AUXILIAR DE BENASAL,,
532,1,213,CONSULTORIO AUXILIAR DE ALPUENTE,,
540,1,228,CONSULTORIO AUXILIAR DE MACASTRE,,
677,1,2351,CONSULTORIO AUXILIAR DE ALICANTE VISTAHERMOSA,,
825,1,710,CONSULTORIO AUXILIAR DE CONFRIDES  ,,
121,1,2959,CONSULTORIO AUXILIAR DE LA VILA JOIOSA / VILLAJOYOSA SANTA MARTA,,
249,1,170,CENTRO DE SALUD DE VALENCIA MALVARROSA,,
728,1,174,CENTRO DE SALUD DE ADEMUZ,,
440,1,2346,CONSULTORIO AUXILIAR DE ALMISERA,,
495,1,39,CONSULTORIO AUXILIAR DE FIGUEROLES,,
599,1,260,CONSULTORIO AUXILIAR DE REQUENA CAMPO ARCIS,,
690,1,462,CONSULTORIO AUXILIAR DE PENAGUILA,,
172,1,3086,CENTRO DE SALUD DE BURRIANA II,,
545,1,615,CENTRO SANITARIO INTEGRADO DE TORREVIEJA EL ACEQUION,,
657,1,738,CONSULTORIO AUXILIAR DE COSTUR,,
531,1,2737,CONSULTORIO AUXILIAR DE PATERNA VALTERNA,,
260,1,299,CENTRO DE SALUD DE CATARROJA,,
546,1,2089,CONSULTORIO AUXILIAR DE CASAS ALTAS,,
520,1,25,CONSULTORIO AUXILIAR DE POBLA DE BENIFASSA,,
852,1,2619,CONSULTORIO AUXILIAR DE VILLORES,,
353,1,698,CONSULTORIO AUXILIAR DE UTIEL LAS CASAS,,
688,1,78,CENTRO DE SALUD DE ONDA I,,
7,1,67,CONSULTORIO AUXILIAR DE CORTES DE ARENOSO,,
81,1,424,CONSULTORIO AUXILIAR DE BOLBAITE,,
187,1,679,CONSULTORIO AUXILIAR DE MATET,,
659,1,563,CONSULTORIO AUXILIAR DE ORIHUELA L'ARNEVA,,
871,1,736,CONSULTORIO DE VERANO DE SUECA LES PALMERETES,,
167,1,691,CENTRO DE SALUD DE ELX / ELCHE PLA,,
470,1,2811,CONSULTORIO AUXILIAR DE TORRALBA DEL PINAR,,
487,1,713,CONSULTORIO AUXILIAR DE BENIARDA,,
11,1,279,CENTRO DE SALUD DE PAIPORTA,,
826,1,345,CONSULTORIO AUXILIAR DE FORTALENY,,
143,1,561,CONSULTORIO AUXILIAR DE ORIHUELA SAN BARTOLOME,,
75,1,550,CONSULTORIO AUXILIAR DE COX,,
234,1,47,CENTRO DE SALUD DE BENLLOCH,,
344,1,129,CONSULTORIO AUXILIAR DE ALTURA,,
555,1,56,CONSULTORIO DE CASTELLON DE LA PLANA CASTALIA,,
748,1,377,CONSULTORIO AUXILIAR DE ROTOVA,,
847,1,569,CENTRO SANITARIO INTEGRADO DE ROJALES,,
213,1,321,CONSULTORIO AUXILIAR DE MASSALAVES,,
617,1,2340,CONSULTORIO AUXILIAR DE GUARDAMAR DE LA SAFOR,,
754,1,553,CENTRO DE SALUD DE DOLORES,,
92,1,403,CENTRO DE SALUD DE EL VERGER,,
611,1,475,CONSULTORIO DE BENIDORM TOMAS ORTUÑO,,
649,1,495,CONSULTORIO AUXILIAR DE TIBI,,
267,1,646,CONSULTORIO AUXILIAR DE BENIDOLEIG,,
289,1,449,CONSULTORIO AUXILIAR DE LLANERA DE RANES,,
623,1,503,CONSULTORIO AUXILIAR DE HONDON DE LAS NIEVES,,
782,1,384,CENTRO SANITARIO INTEGRADO DE CALP / CALPE,,
393,1,447,CONSULTORIO AUXILIAR DE BARXETA,,
264,1,2294,CONSULTORIO DE VERANO DE SANTA POLA PLAYA LISA,,
500,1,564,CONSULTORIO AUXILIAR DE ORIHUELA DESAMPARADOS,,
76,1,278,CONSULTORIO AUXILIAR DE REAL DE MONTROI,,
453,1,726,CONSULTORIO AUXILIAR DE MANISES EL CARMEN,,
551,1,753,CONSULTORIO AUXILIAR DE ARAÑUEL,,
370,1,128,CONSULTORIO AUXILIAR DE NAVAJAS,,
159,1,2242,CONSULTORIO AUXILIAR DE BENIMASSOT,,
517,1,13,CENTRO DE SALUD DE MORELLA,,
465,1,486,CONSULTORIO DE ALICANTE PORTUGAL,,
418,1,474,CENTRO DE SALUD DE ALTEA,,
300,1,82,CENTRO DE SALUD DE TALES,,
349,1,714,CONSULTORIO AUXILIAR DE GUADALEST,,
503,1,349,CONSULTORIO AUXILIAR DE SUECA MARENY DE BARRAQUETES,,
299,1,663,CONSULTORIO AUXILIAR DE AIN,,
442,1,204,CONSULTORIO AUXILIAR DE VALENCIA MASARROCHOS,,
335,1,399,CONSULTORIO AUXILIAR DE VALL D'EBO,,
434,1,423,CONSULTORIO AUXILIAR DE ANNA,,
59,1,27,CONSULTORIO AUXILIAR DE SAN JORGE / SANT JORDI,,
681,1,402,CENTRO DE SALUD DE TEULADA,,
719,1,666,CONSULTORIO AUXILIAR DE CASTELLON DE LA PLANA GRUPO REYES,,
586,1,747,CONSULTORIO AUXILIAR DE ORIHUELA CORRENTIAS BAJAS,,
356,1,273,CENTRO DE SALUD ALDAIA BARRIO DEL CRISTO,,
55,1,1223,HOSPITAL VEGA BAJA DE ORIHUELA,,
21,1,221,CONSULTORIO AUXILIAR DE LOSA DEL OBISPO,,
30,1,2795,CONSULTORIO AUXILIAR DE ALTEA CASCO ANTIGUO,,
64,1,501,CENTRO DE SALUD DE ASPE,,
482,1,177,CONSULTORIO AUXILIAR DE TORREBAJA,,
854,1,307,CENTRO DE SALUD DE VALENCIA ING.J.BENLLOCH,,
303,1,2198,CONSULTORIO AUXILIAR DE RAFELGUARAF TOSSAL NOU,,
818,1,234,CENTRO DE SALUD DE QUART DE POBLET,,
459,1,392,CONSULTORIO AUXILIAR DE CASTELL DE CASTELLS,,
287,1,771,CONSULTORIO AUXILIAR DE VALL DE GALLINERA BENISSIVA,,
693,1,2413,CONSULTORIO AUXILIAR DE POLOP CHIRLES,,
562,1,741,CENTRO DE SALUD DE ALICANTE SAN BLAS,,
110,1,132,CONSULTORIO AUXILIAR DE BEJIS,,
648,1,662,CONSULTORIO AUXILIAR DE SARRATELLA,,
68,1,428,CONSULTORIO AUXILIAR DE MANUEL,,
755,1,674,CENTRO DE SALUD DE ELX / ELCHE EL RAVAL,,
25,1,264,CONSULTORIO AUXILIAR DE REQUENA SAN ANTONIO,,
766,1,437,CONSULTORIO AUXILIAR DE QUESA,,
489,1,483,CONSULTORIO AUXILIAR DE ORXETA,,
506,1,582,CENTRO DE SALUD DE ONTINYENT EL BARRANQUET,,
797,1,455,CENTRO DE SALUD DE ALCOI / ALCOY LA FABRICA,,
828,1,87,CONSULTORIO AUXILIAR DE CABANES,,
839,1,491,CONSULTORIO AUXILIAR DE AIGUES,,
218,1,313,CONSULTORIO AUXILIAR DE VALENCIA PINEDO,,
676,1,373,CENTRO SANITARIO INTEGRADO DE OLIVA,,
184,1,331,CENTRO DE SALUD DE ALGINET,,
856,1,687,CONSULTORIO AUXILIAR DE SACAÑET,,
474,1,2990,CONSULTORIO AUXILIAR DE BENIRREDRA,,
94,1,133,CONSULTORIO AUXILIAR DE CAUDIEL,,
156,1,444,CENTRO DE SALUD DE ONTINYENT AVDA. ALBAIDA,,
13,1,453,CONSULTORIO AUXILIAR DE ROTGLA I CORBERA,,
638,1,120,CENTRO DE SALUD DE PUERTO DE SAGUNTO,,
689,1,695,CONSULTORIO AUXILIAR DE ROJALES CIUDAD QUESADA,,
868,1,1202,HOSPITAL DE SANT VICENT DEL RASPEIG,,
684,1,755,CONSULTORIO AUXILIAR DE CULLERA EL RACO,,
627,1,2738,CONSULTORIO AUXILIAR DE ELS POBLETS COVETA FUMA,,
235,1,36,CONSULTORIO AUXILIAR DE VILAR DE CANES,,
544,1,362,CONSULTORIO AUXILIAR DE OTOS,,
731,1,2336,CONSULTORIO AUXILIAR DE RUGAT,,
560,1,963,CENTRO SANITARIO INTEGRADO DE JUAN LLORENS,,
534,1,759,CONSULTORIO AUXILIAR DE LA VALL DE LAGUAR CAMPELL,,
761,1,2805,CENTRO SANITARIO INTEGRADO DE IBI II,,
745,1,62,CENTRO DE SALUD DE CASTELLON DE LA PLANA RAFALAFENA,,
759,1,2234,CONSULTORIO AUXILIAR DE PILAR DE LA HORADADA PINAR DE CAMPOVERDE,,
724,1,417,CENTRO DE SALUD DE CANALS,,
642,1,267,CENTRO DE SALUD DE UTIEL,,
231,1,214,CONSULTORIO AUXILIAR DE ARAS DE LOS OLMOS,,
2,1,532,CENTRO DE SALUD DE ELX / ELCHE CARRUS,,
252,1,340,CONSULTORIO AUXILIAR DE LLOMBAI,,
392,1,2121,CONSULTORIO AUXILIAR DE CHIVA URB. SIERRA PERENCHIZA,,
61,1,311,CONSULTORIO DE VALENCIA LUIS OLIAG,,
695,1,342,CONSULTORIO AUXILIAR DE FAVARA,,
563,1,488,CENTRO DE SALUD ALACANT / ALICANTE SANTA FAZ,,
6,1,769,CONSULTORIO AUXILIAR DE VALL DE GALLINERA BENIRRAMA,,
733,1,1229,HOSPITAL DE LA MARINA BAIXA DE LA VILA JOIOSA,,
327,1,219,CONSULTORIO AUXILIAR DE CHULILLA,,
542,1,502,CONSULTORIO AUXILIAR DE HONDON DE LOS FRAILES,,
354,1,1338,CONSULTORIO AUXILIAR DE BUFALI,,
661,1,469,CONSULTORIO AUXILIAR DE BENIARRES,,
751,1,55,CONSULTORIO AUXILIAR DE BORRIOL,,
183,1,119,CONSULTORIO AUXILIAR DE CANET D'EN BERENGUER,,
74,1,460,CONSULTORIO AUXILIAR DE BALONES,,
222,1,707,CENTRO DE SALUD DE VALENCIA PLAZA SEGOVIA,,
341,1,516,CONSULTORIO AUXILIAR DE SALINAS,,
430,1,203,CONSULTORIO AUXILIAR DE ALFARA DEL PATRIARCA,,
129,1,237,CONSULTORIO DE VALENCIA CAMPANAR,,
496,1,729,CONSULTORIO AUXILIAR DE ELX / ELCHE LOS ARENALES,,
126,1,692,CONSULTORIO AUXILIAR DE PILAR DE LA HORADADA TORRE DE LA HORADADA,,
510,1,572,CENTRO SANITARIO INTEGRADO DE PILAR DE LA HORADADA,,
556,1,974,HOSPITAL DE SAGUNTO,,
415,1,515,CENTRO DE SALUD DE SAX,,
311,1,670,CENTRO DE SALUD DE VALENCIA SERRERIA 1,,
796,1,776,CONSULTORIO AUXILIAR DE REDOVAN BARRIO SAN CARLOS,,
842,1,316,CONSULTORIO AUXILIAR DE VALENCIA HORNO DE ALCEDO,,
380,1,2247,CONSULTORIO AUXILIAR DE BENIMARFULL,,
421,1,464,CENTRO DE SALUD DE CASTALLA,,
411,1,2824,CENTRO DE SALUD DE CASTELLON DE LA PLANA FERNANDO EL CATOLICO,,
523,1,439,CONSULTORIO AUXILIAR DE ALFARRASI,,
211,1,104,CENTRO DE SALUD DE TORREBLANCA,,
334,1,610,CONSULTORIO AUXILIAR DE CASTELL DE CABRES,,
238,1,764,CONSULTORIO AUXILIAR DE MURLA,,
744,1,2211,CONSULTORIO AUXILIAR DE ORIHUELA BARBARROJA,,
308,1,210,CONSULTORIO AUXILIAR DE LORIGUILLA,,
193,1,750,CONSULTORIO AUXILIAR DE PORT DE SAGUNT / PUERTO DE SAGUNTO EL BALADRE,,
49,1,239,CENTRO DE SALUD DE VALENCIA TRINITAT,,
578,1,344,CONSULTORIO AUXILIAR DE SUECA EL PERELLO,,
771,1,556,CONSULTORIO AUXILIAR DE SAN FULGENCIO,,
692,1,157,CONSULTORIO AUXILIAR DE ALBUIXECH,,
8,1,2620,CONSULTORIO AUXILIAR DE FINESTRAT LA CALA,,
330,1,2980,CONSULTORIO AUXILIAR DE REQUENA / EL REBOLLAR,,
384,1,467,CENTRO DE SALUD DE MURO DE ALCOY,,
752,1,633,CONSULTORIO AUXILIAR DE GRANJA DE ROCAMORA,,
350,1,140,CENTRO DE SALUD DE SONEJA,,
389,1,50,CENTRO DE SALUD DE BETXI,,
347,1,735,CONSULTORIO AUXILIAR DE CULLERA OASIS,,
803,1,3032,CONSULTORIO AUXILIAR DE BALLESTAR,,
145,1,184,CENTRO DE SALUD DE BURJASSOT 2,,
768,1,622,CONSULTORIO AUXILIAR DE TEULADA MORAIRA,,
592,1,2120,CONSULTORIO AUXILIAR DE CHIVA URB. CALICANTO,,
253,1,454,CENTRO DE SALUD DE ALCOI / ALCOY PLAÇA DE DINS,,
670,1,290,CENTRO DE SALUD DE VALENCIA VIRGEN DE LA FUENSANTA,,
479,1,1503,HOSPITAL GENERAL UNIVERSITARIO DE CASTELLON,,
285,1,89,CONSULTORIO AUXILIAR DE LES USERES / USERAS,,
497,1,3041,CENTRO SANITARIO INTEGRADO DE DENIA,,
255,1,677,CONSULTORIO AUXILIAR DE BENAVITES,,
519,1,206,CENTRO DE SALUD DE PATERNA,,
860,1,779,CENTRO DE SALUD DE SAN VICENTE DEL RASPEIG II,,
316,1,547,CONSULTORIO AUXILIAR DE BENEJUZAR,,
515,1,684,CONSULTORIO AUXILIAR DE HIGUERAS,,
608,1,118,CENTRO DE SALUD DE PUÇOL,,
830,1,347,CONSULTORIO AUXILIAR DE RIOLA,,
864,1,153,CONSULTORIO AUXILIAR DE LA POBLA DE FARNALS,,
573,1,2344,CONSULTORIO AUXILIAR DE RAFOL DE SALEM,,
160,1,391,CENTRO DE SALUD DE ORBA,,
633,1,703,CONSULTORIO AUXILIAR DE EL CAMP DE MIRRA / CAMPO DE MIRRA,,
444,1,357,CONSULTORIO AUXILIAR DE PILES,,
491,1,737,CONSULTORIO AUXILIAR DE L'ALCORA LA FOYA,,
780,1,2244,CONSULTORIO AUXILIAR DE FAMORCA,,
476,1,542,CENTRO SANITARIO INTEGRADO DE SANTA POLA,,
660,1,2018,CONSULTORIO AUXILIAR DE MEDIA LEGUA ORIHUELA,,
198,1,2840,HOSPITAL DE DENIA,,
600,1,163,CENTRO DE SALUD DE VALENCIA BENIMACLET,,
155,1,404,CONSULTORIO AUXILIAR DE ELS POBLETS,,
5,1,2240,CONSULTORIO AUXILIAR DE BENIFALLIM,,
575,1,83,CONSULTORIO AUXILIAR DE ALCUDIA DE VEO,,
606,1,452,CENTRO DE SALUD DE LA LLOSA DE RANES,,
809,1,772,CONSULTORIO AUXILIAR DE JERICA NOVALICHES,,
244,1,3050,HOSPITAL UNIVERSITARIO VINALOPO,,
310,1,446,CENTRO DE SALUD DE XATIVA,,
346,1,477,CONSULTORIO AUXILIAR DE BENIMANTELL,,
612,1,1219,HOSPITAL GENERAL UNIVERSITARIO DE ELCHE,,
874,1,2577,CENTRO DE SALUD DE BENIDORM TOMAS ORTUÑO,,
107,1,258,CONSULTORIO AUXILIAR DE JARAFUEL,,
656,1,2236,CONSULTORIO AUXILIAR DE GAIANES,,
799,1,61,CONSULTORIO DE CASTELLON PZ. CONSTITUCION,,
581,1,371,CONSULTORIO AUXILIAR DE XERACO,,
624,1,35,CONSULTORIO AUXILIAR DE CULLA,,
186,1,358,CONSULTORIO AUXILIAR DE POTRIES,,
696,1,3143,CONSULTORIO AUXILIAR RAVAL UNIVERSITAT,,
795,1,513,CENTRO DE SALUD DE EL PINOS / PINOSO,,
855,1,325,CONSULTORIO AUXILIAR DE CORBERA,,
271,1,1500,HOSPITAL COMARCAL DE VINAROS,,
239,1,435,CENTRO DE SALUD DE NAVARRES,,
397,1,675,CONSULTORIO AUXILIAR DE SEGART,,
237,1,243,CONSULTORIO AUXILIAR DE VALENCIA ARQUITECTO TOLSA,,
88,1,11,CONSULTORIO AUXILIAR DE PORTELL DE MORELLA,,
814,1,80,CONSULTORIO AUXILIAR DE RIBESALBES,,
101,1,196,CONSULTORIO AUXILIAR DE BENISANO,,
734,1,430,CONSULTORIO AUXILIAR DE RAFELGUARAF,,
362,1,205,CENTRO DE SALUD DE MONCADA,,
435,1,543,CENTRO DE SALUD DE ALBATERA,,
329,1,304,CENTRO DE SALUD DE VALENCIA PADRE JOFRE,,
343,1,323,CENTRO DE SALUD DE ALZIRA,,
849,1,73,CONSULTORIO AUXILIAR DE PUEBLA DE ARENOSO,,
835,1,479,CENTRO DE SALUD DE LA NUCIA,,
56,1,300,CENTRO DE SALUD DE MASSANASSA,,
443,1,743,CONSULTORIO AUXILIAR DE ORIHUELA LA MATANZA,,
18,1,575,CONSULTORIO AUXILIAR DE DAYA VIEJA,,
441,1,478,CONSULTORIO AUXILIAR DE TARBENA,,
699,1,456,CENTRO DE SALUD DE ALCOI / ALCOY LA BASSA,,
280,1,760,CONSULTORIO AUXILIAR DE TORMOS,,
735,1,46,CENTRO DE SALUD DE ORPESA / OROPESA DEL MAR,,
765,1,487,CENTRO SANITARIO INTEGRADO DE ALICANTE C/GERONA,,
836,1,537,CONSULTORIO AUXILIAR DE ELX / ELCHE JOSE Mª PEMAN,,
106,1,3037,CONSULTORIO AUXILIAR DE TORRECHIVA,,
17,1,353,CONSULTORIO AUXILIAR DE BENIARJO,,
146,1,15,CENTRO DE SALUD DE SANT MATEU,,
598,1,336,CONSULTORIO AUXILIAR DE ALFARP,,
603,1,968,HOSPITAL ARNAU DE VILANOVA,,
687,1,2982,CONSULTORIO AUXILIAR DE REQUENA LOS COJOS,,
801,1,105,CENTRO DE SALUD DE ALMENARA,,
665,1,481,CENTRO SANITARIO INTEGRADO DE VILA JOIOSA / VILLAJOYOSA ALMASSERA DE TONDA,,
221,1,654,CONSULTORIO AUXILIAR DE ALCOI / ALCOY BATOY,,
34,1,85,CONSULTORIO AUXILIAR DE SUERA / SUERAS,,
358,1,448,CONSULTORIO AUXILIAR DE GENOVES,,
199,1,172,CONSULTORIO AUXILIAR DE VALENCIA LA PUNTA,,
176,1,106,CONSULTORIO AUXILIAR DE XILXES / CHILCHES,,
629,1,459,CONSULTORIO AUXILIAR DE ALCOLEJA,,
499,1,248,CONSULTORIO AUXILIAR DE TERESA DE COFRENTES,,
178,1,2206,CONSULTORIO AUXILIAR DE MONOVER / MONOVAR CASES DEL SENYOR,,
428,1,2,CENTRO DE SALUD ALCALA DE XIVERT,,
589,1,161,CENTRO DE SALUD DE TAVERNES BLANQUES,,
277,1,312,CENTRO DE SALUD DE VALENCIA SAN MARCELINO,,
790,1,2209,CONSULTORIO AUXILIAR DE LA ROMANA L'ALGAYAT,,
290,1,465,CENTRO DE SALUD DE COCENTAINA,,
332,1,2289,CENTRO DE SALUD DE ELX / ELCHE DR. SAPENA,,
400,1,250,CONSULTORIO AUXILIAR DE CAMPORROBLES,,
431,1,2339,CONSULTORIO AUXILIAR DE OLIVA PLAYA,,
832,1,246,CONSULTORIO AUXILIAR DE VALENCIA CARPESA,,
492,1,668,CONSULTORIO AUXILIAR DE CASTELLON DE LA PLANA BENADRESA,,
165,1,238,CENTRO DE SALUD DE VALENCIA ECONOMISTA GAY,,
512,1,301,CENTRO DE SALUD DE SEDAVI,,
708,1,548,CONSULTORIO AUXILIAR DE JACARILLA,,
3,1,261,CONSULTORIO AUXILIAR DE CHERA,,
70,1,75,CONSULTORIO AUXILIAR DE LA VILAVELLA,,
616,1,958,HOSPITAL LLUIS ALCANYIS DE XATIVA,,
233,1,427,CONSULTORIO AUXILIAR DE QUATRETONDA,,
767,1,190,CENTRO DE SALUD DE L'ELIANA,,
203,1,2576,CONSULTORIO AUXILIAR DE MELIANA BARRIO ROCA,,
516,1,2669,CENTRO DE SALUD DE VILA-REAL/VILLARREAL EL PILAR,,
43,1,774,CONSULTORIO AUXILIAR DE OLIVA SAN FRANCESC,,
404,1,110,CONSULTORIO AUXILIAR DE ALFARA DE LA BARONIA,,
528,1,688,CONSULTORIO AUXILIAR DE VALENCIA TENDETES,,
539,1,44,CENTRO DE SALUD DE BENICASSIM / BENICASIM,,
819,1,17,CONSULTORIO AUXILIAR DE CERVERA DEL MAESTRE,,
437,1,2311,CONSULTORIO AUXILIAR DE SAGUNTO ALMARDA,,
377,1,2837,HOSPITAL DE MANISES,,
105,1,385,CENTRO SANITARIO INTEGRADO DENIA II,,
609,1,224,CONSULTORIO AUXILIAR DE BUGARRA,,
727,1,286,CENTRO DE SALUD DE VALENCIA NAPOLES Y SICILIA,,
388,1,79,CONSULTORIO AUXILIAR DE FANZARA,,
