cod_modalidad,Frequency.1,codes,spanish description,english description,comment
86,1,S-DS-1,PTE REVISAR ASEGURAMIENTO DISC,,
18,1,F-SS-7,DOBLE COBERTURA ISFAS AC,,
57,1,F-SS-23,PERCEPTOR PRESTACION POR DESEMPLEO,,
115,1,S-CS-21,CONVENIO CONSELLERIA SANIDAD,,
102,1,S-CS-2,DESEMPL. PTE RECONOCER ASEGURAM.,,
106,1,F-SS-1,ALTA EN SS AC,,
103,1,F-SS-4,ALTA EN SS PN,,
28,1,F-SS-26,PERCEPTOR OTRAS PRESTACIONES,,
60,1,S-N-16,NA SIN RECURSOS CV,,
67,1,S-CS-22,EXT. A DEMANDA PRORROGADA,,
2,1,F-SS-2,DOBLE COBERTURA CON MUFACE AC,,
83,1,S-DS-6,ALTA EN SS DISCAPACIDAD INDEFINIDA,,
