cod_prestacion,Frequency.1,codes,spanish description,english description,comment
825,1,300113050000N0000699,AC IGG ANTI BETA 2 GLICOPROTEINA,,
2170,1,CCD00200N,PROLACTINA 30 MIN (EN SANGRE),,
1478,1,30030200201928700000,"ARTROGRAFIA, RODILLA AMBAS",,
1676,1,30030600930303902000,"TC VASCULAR , ARTERIAS CEREBRALES , SIN CONTRASTE Y CON CONTRASTE",,
2783,1,CCD00303N,PCO2 VALOR CORREGIDO POR LA TEMPERATURA (EN SANGRE),,
1816,1,30030901501113601000,"RM ABDOMINAL, ABDOMEN, SIN CONTRASTE",,
2387,1,MUE000141,EXUDADO OTICO DERECHO,,
531,1,300113030204N0000305,IGE ESPECIFICA  FRESA,,
260,1,-1,[Vacio],,
1057,1,300113110000N0001229,FLUORURO,,
1723,1,30030901410100701000,"RM CABEZA Y CUELLO, CAIS     , SIN CONTRASTE",,
943,1,300113070100N0000811,VANCOMICINA,,
1759,1,30030901441623201000,"RM OSTEOARTICULAR , CODO DERECHO/IZQUIERDO, SIN CONTRASTE",,
7,1,0121201160,SCREENING DE ORINA,,
659,1,300113030216N0000605,IGE ESPECIFICA  SALSOLA,,
2291,1,CCD00365K,SODIO 3ª TOMA (EN ORINA),,
871,1,300113050000N0000747,AC ANTI PR3 (PROTEINASA 3),,
1187,1,300113121200J0001426,FORMULA LEUCOCITARIA LÍQUIDO SINOVIAL,,
2440,1,0121812390,SOMATOMEDINA C (IGF - 1) SIN EXTRACCION,,
1285,1,300114030000N0000088,"RETICULOCITOS, RECUENTO",,
1883,1,30031302041624700000,"ARTERIOGRAFIA, MIEMBRO SUPERIOR DERECHO/IZQUIERDO",,
826,1,300113050000N0000700,AC IGM ANTI BETA 2 GLICOPROTEINA,,
2144,1,CCD00173I,MOTILIDAD PROGRESIVA LENTA PARA INSEMINACIÓN (EN LIQUIDO SEMINAL),,
75,1,0121207013,AC. ANTI-VIRUS DE LA INMUNODEFICIENCIA HUMANA- 1 METODO EIA,,
234,1,0121812100,ANTICUERPOS ANTIPEROXIDASA CON EXTRACCION,,
847,1,300113050000N0000723,AC IGM ANTI GANGLIÓSIDO GD1A,,
748,1,300113040000K0001298,ÁCIDO HOMOVANÍLICO ORINA 24 HORAS,,
2121,1,CCD00152N,INSULINA 300 MIN (EN SANGRE),,
1211,1,300113121400X0001307,ALFAFETOPROTEINA (AFP) LÍQUIDOS BIOLÓGICOS S.E,,
1530,1,30030400631113900000,"ECOGRAFIA ORGANOS/PARTES BLANDAS, APARATO URINARIO (RIÑON-VEJIGA)",,
1402,1,30030100031927706000,"RX ESQUELETO PERIFERICO, DEDOS PIE DERECHO/IZQUIERDO, AP Y LAT",,
92,1,0121208064,AC. ANTI-TREPONEMA PALLIDUM METODO IFI,,
1132,1,300113120800F0001610,PCR LÍQUIDO PERICÁRDICO,,
611,1,300113030210N0000466,IGE ESPECIFICA  DOLICHOVESPULA ARENARIA (AVISPON),,
649,1,300113030215N0000572,IGE ESPECIFICA  PINO,,
1377,1,30030100031623911000,"RX ESQUELETO PERIFERICO, HOMBRO DERECHO/IZQUIERDO, AXIAL 30º- 60º- 90º",,
1444,1,30030100050100400000,"RX CRANEO/CARA, ARTICULACION TEMPORO-MANDIBULAR (ATM) AMBAS",,
1252,1,300114029900N0000034,"ACTIVADOR TISULAR DEL PLASMINÓGENO, ACTIVIDAD (t-PA)",,
2401,1,OTPRCITO,CITOLOGIA,,
2515,1,300114070100N0000151,INMUNOGLOBULINAS DE SUPERFICIE (KAPPA Y LAMBDA),,
782,1,300113040000N0000654,"LH (HORMONA LUTEINIZANTE), (LUTROPINA)",,
1058,1,300113110000N0001240,CARIOTIPO,,
1094,1,300113120500C0000947,ESTUDIO CITOLÓGICO CÉLULAS MONONUCLEARES EN LCR,,
500,1,300113030203N0000225,IGE ESPECIFICA  EXCREMENTOS DE PALOMA,,
76,1,0121207014,AC. ANTI-VIRUS DE LA INMUNODEFICIENCIA HUMANA-2 METODO EIA,,
2118,1,CCD00148N,INSULINA 120 MIN (EN SANGRE),,
1320,1,300114070200N0000157,CÉLULAS T4 (RECUENTO),,
1282,1,300114030000N0000085,FROTIS DE SANGRE PERIFÉRICA,,
1748,1,30030901440100302000,"RM OSTEOARTICULAR , ARTICULACION TEMPORO-MANDIBULAR (ATM) ABIERTA-CERRADA, SIN/CON CONTRASTE",,
370,1,300113020000K0001085,POTASIO EN 24 HORAS,,
2370,1,COMBSDIR,COOMBS DIRECTO,,
418,1,300113030100N0000112,CH 100,,
1708,1,30030601040000001000,"TC UROGRAFIA , SIN CONTRASTE",,
1897,1,30031602550913100000,"COLOCACION PROTESIS/STENTS VENOSOS, VENA CAVA SUPERIOR",,
1019,1,300113110000K0001647,HEPTACARBOXIL PORFIRINAS ORINA,,
921,1,300113070100K0001460,CROMO EN ORINA,,
1580,1,30030600830101101000,"TC CARA Y BASE DE CRANEO , DIENTES, SIN CONTRASTE",,
1349,1,30030100010707813000,"RX TORACICA, TORAX, DECUBITO LATERAL CON RAYO HORIZONTAL",,
21,1,0121202170,CULTIVO DE MYCOPLASMA / UREAPLASMA,,
30,1,0121203040,IDENTIFICACION DE HONGOS,,
2193,1,CCD00225K,VOLUMEN (EN ORINA),,
2520,1,300114080100N0000189,PCR- BC1  (LINFOMAS),,
2290,1,CCD00364K,SODIO 2ª TOMA (EN ORINA),,
1804,1,30030901460707602000,"RM TORACICA, PARED TORACICA (COSTAL/ESTERNON), SIN CONTRASTE Y CON CONTRASTE",,
2763,1,CCD00022N,ANGIOTENSINA I (ARP) BASAL (EN SANGRE),,
287,1,300113010000N0000030,FOSFATASA ÁCIDA,,
562,1,300113030204N0000379,IGE ESPECIFICA  TRIGO,,
2073,1,CCD00098N,FMETHB FRACCIÓN DE METAHEMOGLOBINA EN HB TOTAL (EN SANGRE),,
2668,1,300113050000N0001097,AC ANTI CANAL POTASIO (VGKC),,
1515,1,30030400602231900000,"ECOGRAFIA  NEONATAL , OTRAS ZONAS ANATOMICAS",,
2482,1,300113090000N0001243,HLA B (LINFOTOXICIDAD),,
2183,1,CCD00214N,TIEMPO DE PROTROMBINA EN RATIO (INR) (EN SANGRE),,
828,1,300113050000N0000702,AC ANTI CÁPSULA SUPRARRENAL,,
1673,1,30030600920000001000,"TC TORACO-ABDOMINO-PELVICO , SIN CONTRASTE",,
218,1,0121211041,RESISTENCIA ANTIRETROVIRAL,,
2064,1,CCD00088K,DOPAMINA (EN ORINA),,
1643,1,30030600861927901000,"TC OSTEOARTICULAR , FEMUR DERECHO/IZQUIERDO, SIN CONTRASTE",,
2577,1,0121203021,IDENTIFICACION DE MICOBACTERIAS (2),,
856,1,300113050000N0000732,AC ANTI HLA (LINFOTOXICIDAD),,
474,1,300113030100N0001725,PROTEÍNA A AMILOIDEA,,
156,1,0121209426,AC. ANTI-TRYPANOSOMA CRUZI IGG METODO IFI,,
1014,1,300113110000K0001257,HEXACARBOXILPORFIRINAS ORINA,,
1180,1,300113121200J0001126,LDH LÍQUIDO SINOVIAL,,
2785,1,CCD00355N,TRANSFERRINA:U.I.B.C (EN SANGRE),,
1191,1,300113121400X0001037,COMPLEMENTO COMPONENTES EN LIQUIDOS BIOLOGICOS S.E.,,
2509,1,300114040000N0000103,"HAM, TEST DE",,
235,1,0121812110,ANTICUERPOS ANTIPEROXIDASA SIN EXTRACCION,,
1431,1,30030100031929423000,"RX ESQUELETO PERIFERICO, TOBILLO DERECHO/IZQUIERDO, VARO/VALGO",,
2015,1,CCD00034K,BETA 1 (EN ORINA),,
1126,1,300113120800F0000971,ESTUDIO CITOLÓGICO CÉLULAS POLIMORFONUCLEARES EN LIQUIDO PERICARDICO,,
761,1,300113040000N0000633,CAROTENOS,,
1277,1,300114029900N0000077,TIEMPO DE TROMBOPLASTINA PARCIAL ACTIVADO  (TTPA),,
1755,1,30030901441320401000,"RM OSTEOARTICULAR , SACROILIACAS, SIN CONTRASTE",,
1183,1,300113121200J0001130,ANA LÍQUIDO SINOVIAL,,
2343,1,CCD00531N,POTASIO BASAL  (EN SANGRE),,
2734,1,30030801390000000000,DIAGNOSTICO POR TELERRADIOLOGIA:  PET-TC,,
1472,1,30030100160000000000,TELERADIOGRAFIA,,
2196,1,CCD00229N,FI O2 FRACCION INSPIRADA DE OXIGENO (EN SANGRE),,
2324,1,CCD00426I,VISCOSIDAD (EN LIQUIDO SEMINAL),,
2061,1,CCD00085I,DEMORA HASTA ANÁLISIS (EN LIQUIDO SEMINAL),,
2087,1,CCD00115N,GH BASAL (EN SANGRE),,
1497,1,30030200460000000000,VIDEO DEGLUCION,,
2661,1,300113030300N0001552,PRECIPITINAS MICROPOLYSPORA FAE,,
61,1,0121206111,CARGA VIRAL HEPATITIS C PCR,,
2178,1,CCD00209K,SEDIMENTO (EN ORINA),,
2277,1,CCD00348T,ÁCIDO URICO % (CÁLCULOS RENALES),,
733,1,300113030416N0001700,IGE RECOMBINANTE Art v1 (Artemisia),,
1664,1,30030600870000002000,"TC TORACICO, SIN CONTRASTE Y CON CONTRASTE",,
941,1,300113070100N0000809,TOPIRAMATO,,
1675,1,30030600930303901000,"TC VASCULAR , ARTERIAS CEREBRALES , SIN CONTRASTE",,
2300,1,CCD00385N,LH 2ª TOMA (EN SANGRE),,
2589,1,0121209600,AC. ANTI-CISTICERCOS IGG METODO ELISA,,
2751,1,30031702930000000000,PAAF (PUNCION-ASPIRACION CON AGUJA FINA ) LESION MULTIPLE PALPABLE EN MAMA,,
1053,1,300113110000N0001112,ACIDOS BILIARES,,
2537,1,30030701140000001000,"TC PEDIATRICO MIEMBRO INFERIOR BILATERAL , SIN CONTRASTE",,
126,1,0121209241,AC. ANTI-COXIELLA BURNETII FASE I IGG METODO IFI,,
1194,1,300113121400X0001044,INMUNOGLOBULINA M (IGM) EN LIQUIDOS BIOLOGICOS S.E.,,
556,1,300113030204N0000363,IGE ESPECIFICA  PISTACHO,,
1670,1,30030600900000002000,"TC ABDOMINO-PELVICO , SIN CONTRASTE Y CON CONTRASTE",,
1780,1,30030901441929402000,"RM OSTEOARTICULAR , TOBILLO DERECHO/IZQUIERDO, SIN CONTRASTE Y CON CONTRASTE",,
1421,1,30030100031928911000,"RX ESQUELETO PERIFERICO, ROTULA AMBAS, AXIAL 30º- 60º- 90º",,
421,1,300113030100N0000115,COMPLEMENTO  C1q,,
2752,1,30031702950000000000,BAG (BIOPSIA CON AGUJA GRUESA) LESION ÜNICA PALPABLE EN MAMA,,
1496,1,30030200440000000000,UROGRAFIA INTRAVENOSA,,
211,1,0121211022,DNA VIRUS DE EPSTEIN-BARR METODO PCR,,
238,1,0121812190,FOSFATASA ALCALINA OSEA SIN EXTRACCION,,
744,1,300113040000K0000689,PREGNANTRIOL,,
2412,1,P323300002,COLONOSCOPIA,,
193,1,0121209663,AC. ANTI-COXSACKIEVIRUS B IGG METODO ELISA,,
2031,1,CCD00048N,CÉLULAS BLÁSTICAS FROTIS (EN SANGRE),,
2239,1,CCD00291N,AC ANTI RIBOSOMIAL P (EN SANGRE),,
2358,1,CCD00581N,ÍNDICE DE PRODUCCIÓN RETICULOCITARIA,,
2744,1,30031302060000000000,CONSULTA POR TELERRADIOLOGIA:INTERVENCIONISMO VASCULAR ARTERIAL DIAGNOSTICO,,
2766,1,CCD0013PASCUAL,GLUCOSA MEDIA ESTIMADA (EN SANGRE),,
1689,1,30030600931219201000,"TC VASCULAR , VENAS ABDOMINALES , SIN CONTRASTE",,
919,1,300113060000N0001659,TEST DE THYROGEN,,
350,1,300113020000K0000094,SODIO,,
2602,1,300113010000N0000011,BILIRRUBINA TOTAL  NEONATOS,,
1853,1,30030901541421202000,"RM ENDOCAVITARIA, RECTO, SIN CONTRASTE Y CON CONTRASTE",,
2348,1,CCD00558K,ADRENALINA EN ORINA DE 24 H.,,
2392,1,MUE000176,ORINA,,
2532,1,30030600861928902000,"TC OSTEOARTICULAR , ROTULA AMBAS, SIN CONTRASTE Y CON CONTRASTE",,
479,1,300113030201N0000193,IGE ESPECIFICA PENICILINA G,,
1624,1,30030600861624002000,"TC OSTEOARTICULAR , HUMERO AMBOS, SIN CONTRASTE Y CON CONTRASTE",,
285,1,300113010000N0000028,CREATININA (SANGRE),,
1271,1,300114029900N0000066,"PROTEÍNA S INHIBIDORA DE LA COAGULACIÓN , ACTIVIDAD",,
860,1,300113050000N0000736,AC ANTI LKM,,
515,1,300113030204N0000262,IGE ESPECIFICA  ANACARDO,,
608,1,300113030209N0000461,IGE ESPECIFICA  PHLEUM PRATENSE (HIERBA TIMOTEA),,
1239,1,300114010200N0000017,"CRIOGLOBULINAS, SCREENING",,
2372,1,ECOGINE,ECOGRAFIA GINECOLOGICA,,
573,1,300113030205N0000397,IGE ESPECIFICA  SUERO DE LECHE DE VACA,,
1791,1,30030901451623102000,"ARTRO RM, CODO AMBOS, SIN CONTRASTE Y CON CONTRASTE",,
2770,1,CCD00268K,PRIMERA FRACCIÓN ORINA,,
1070,1,300113110000N0001574,ACTIVIDAD QUITOTRIOSIDASA,,
1514,1,30030400601320000000,"ECOGRAFIA  NEONATAL , CADERA DERECHA/IZQUIERDA",,
198,1,0121209666,AC. ANTI-VIRUS INFLUENZA B IGG METODO ELISA,,
1609,1,30030600861320001000,"TC OSTEOARTICULAR , CADERA DERECHA/IZQUIERDA, SIN CONTRASTE",,
5,1,0121201071,TINCION DE ZIEHL-NEELSEN Y AFINES (2),,
2525,1,30030200341928300000,"FLEBOGRAFIA, MIEMBRO INFERIOR AMBOS",,
107,1,0121209090,AC. ANTI-VIRUS DE EPSTEIN-BARR VCA IGG METODO ELISA,,
799,1,300113040000N0000671,VASOPRESINA (H.ANTIDIURÉTICA),,
1944,1,ANT000061,CEFTAZIDIMA (2),,
581,1,300113030207N0000408,IGE ESPECIFICA  BACALAO,,
1783,1,30030901442029801000,"RM OSTEOARTICULAR , MUSLO DERECHO/IZQUIERDO, SIN CONTRASTE",,
186,1,0121209633,AC. ANTI-CHLAMYDOPHILA TRACHOMATIS IGM METODO IFI,,
910,1,300113050000N0001626,AC ANTI TIROSINKINASA MUSCULAR,,
2695,1,300113121200J0001021,COMPLEMENTO C3 EN LIQUIDO SEMINAL,,
397,1,300113030100K0001198,ISOLEUCINA ORINA,,
1304,1,300114040000N0000117,RESISTENCIA OSMÓTICA ERITROCITARIA,,
1249,1,300114020100N0000030,FACTOR X,,
101,1,0121209070,AC. ANTI-VIRUS DEL HERPES SIMPLE TIPO 1 Y 2 IGM METODO ELISA,,
1647,1,30030600861928601000,"TC OSTEOARTICULAR , PIE DERECHO/IZQUIERDO, SIN CONTRASTE",,
1679,1,30030600930912601000,"TC VASCULAR , ARTERIAS PULMONARES , SIN CONTRASTE",,
343,1,300113020000K0000087,OXALATO EN UN TIEMPO DETERMINADO,,
1110,1,300113120600D0000962,PROTEÍNAS TOTALES EN LIQUIDO DE DIALISIS,,
441,1,300113030100N0000137,INMUNOGLOBULINA G (IGG) SANGRE,,
1595,1,30030600850707902000,"TC DE COLUMNA , RAQUIS DORSAL, SIN CONTRASTE Y CON CONTRASTE",,
1558,1,30030500731928300000,"DOPPLER  ARTERIAL, MIEMBRO INFERIOR AMBOS",,
1974,1,ANT000150,TOBRAMICINA,,
1250,1,300114020100N0000031,FACTOR XI,,
836,1,300113050000N0000711,AC ANTI ENAS SCREENING,,
1469,1,30030100130000000000,SERIE OSEA METABOLICA,,
598,1,300113030208N0000442,IGE ESPECIFICA  TERNERA,,
1707,1,30030601030000002000,"TC CARDIACO , SIN CONTRASTE Y CON CONTRASTE",,
2335,1,CCD00449N,PEPTIDO C 6 MIN (EN SANGRE),,
199,1,01212096671,AC. ANTI-TRICHINELLA ESPIRALIS METODO ELISA IGG,,
176,1,0121209550,AC CANDIDA  (HEMAGLUTINACION),,
1671,1,30030600910000001000,"TC PELVIS, SIN CONTRASTE",,
1328,1,300114070200N0000255,CÉLULAS CD19+CD20,,
2700,1,300113121200J0001528,HEMATOCRITO LIQUIDO SINOVIAL,,
629,1,300113030212N0000505,IGE ESPECIFICA  PIPAS GIRASOL,,
2546,1,30031402211115800000,"COLOCACION PROTESIS/STENT, RIÑON AMBOS",,
1337,1,300114080100N0000188,MUT.GEN MTHFR,,
2666,1,300113040000N0001407,VITAMINA K,,
2455,1,300113030204N0000296,IGE ESPECIFICA  COLIFLOR,,
1640,1,30030600861927502000,"TC OSTEOARTICULAR , CALCANEO DERECHO/IZQUIERDO, SIN CONTRASTE Y CON CONTRASTE",,
1669,1,30030600900000001000,"TC ABDOMINO-PELVICO , SIN CONTRASTE",,
2258,1,CCD00325N,GLUCOSA MEDIA ESTIMADA (eAG) (EN SANGRE),,
959,1,300113070200K0000823,TETRAHIDROCANABIOL ORINA,,
2309,1,CCD00398N,DISIALO - TF (EN SANGRE),,
790,1,300113040000N0000662,PROLACTINA,,
1144,1,300113120900G0001285,BILIRRUBINA LÍQUIDO PERITONEAL,,
400,1,300113030100K0001202,METIONINA ORINA,,
1793,1,30030901451623802000,"ARTRO RM, HOMBRO AMBOS, SIN CONTRASTE Y CON CONTRASTE",,
1426,1,30030100031929306000,"RX ESQUELETO PERIFERICO, TOBILLO AMBOS, AP Y LAT",,
767,1,300113040000N0000639,ESTRADIOL 17 BETA,,
1237,1,300114010200N0000015,"CRIOAGLUTININAS, SCREENING",,
1818,1,30030901501114601000,"RM ABDOMINAL, GLANDULA SUPRARRENAL, SIN CONTRASTE",,
1998,1,CCD00012N,ALDOSTERONA BASAL (EN SANGRE),,
2100,1,CCD00131N,GLUCOSA 90 MIN (EN SANGRE),,
2692,1,300113121100I0001015,SEMINOGRAMA,,
2742,1,30031101910000000000,DIAGNOSTICO POR TELERRADIOLOGIA: NEUROINTERVENCIONISMO VASCULAR TERAPEUTICO,,
516,1,300113030204N0000266,IGE ESPECIFICA  ARROZ,,
2252,1,CCD00317U,PESO (EN HECES),,
819,1,300113050000N0000693,AC ANTI ANTÍGENO La (SS/B),,
1784,1,30030901442029802000,"RM OSTEOARTICULAR , MUSLO DERECHO/IZQUIERDO, SIN CONTRASTE Y CON CONTRASTE",,
2553,1,30031602551624600000,"COLOCACION PROTESIS/STENTS VENOSOS, MIEMBRO SUPERIOR AMBOS",,
1814,1,30030901470000002000,"RM CARDIACA, SIN CONTRASTE Y CON CONTRASTE",,
609,1,300113030209N0000464,IGE ESPECIFICA  A POLEN DE TRIGO,,
388,1,300113030100K0000180,PROTEINOGRAMA ORINA,,
2558,1,CCD00033K,BETA (EN ORINA),,
2191,1,CCD00224I,VIABILIDAD (% VIVOS)  (EN LIQUIDO SEMINAL),,
2641,1,300113030204N0000298,IGE ESPECIFICA  DATIL,,
2791,1,CCD00378N,GH 5ª TOMA (EN SANGRE),,
1438,1,30030100041013510000,"RX RAQUIS, RAQUIS LUMBO SACRO, AP, LAT Y OBLICUA",,
725,1,300113030413N0001675,IGE RECOMBINANTE Asp f6 (Aspergillus),,
2020,1,CCD000400,COMENTARIO BIOQUIMICA,,
1506,1,30030400571319900000,"ECOGRAFIA ARTICULAR, CADERA AMBAS",,
2583,1,0121209232,AC. ANTI-VIRUS RESPIRATORIO SINCITIAL IGG METODO EIA,,
1732,1,30030901410203502000,"RM CABEZA Y CUELLO, HIPOFISIS, SIN CONTRASTE Y CON CONTRASTE",,
2478,1,300113070100N0001469,QUETIAPINA,,
1332,1,300114080100N0000178,DIAGNÓSTICO MOLECULAR b-TALASEMIAS. (PCR Y DIGESTION CON ENZIMAS RESTRICCION ESPECIFICOS),,
741,1,300113040000K0000685,CORTISOL ORINA,,
302,1,300113010000N0000049,MAGNESIO,,
2341,1,CCD00527N,CK-MB (EF),,
2564,1,CCD00372N,TSH 2ª TOMA (EN SANGRE),,
331,1,300113020000K0000072,CREATININA EN UN TIEMPO DETERMINADO,,
1214,1,300113121400X0001421,RECUENTO LEUCOCITOS LÍQUIDOS BIOLÓGICOS S.E,,
2781,1,CCD00297I,ANORMALIDADES MORFOLOGÍA (EN LIQUIDO SEMINAL),,
2446,1,300113030100N0000161,TRIPSINA,,
1561,1,30030500740913000000,"DOPPLER VENOSO , UNION CERVICOTORACICA VENOSA (YUGULAR, SUBCLAVIAS)",,
2443,1,300113020000K0000070,COBRE EN UN TIEMPO DETERMINADO,,
2451,1,300113030203N0000215,IGE ESPECIFICA  EPITELIO DE HURON,,
1787,1,30030901442030001000,"RM OSTEOARTICULAR , PIERNA DERECHA/IZQUIERDA, SIN CONTRASTE",,
1878,1,30031302040808600000,"ARTERIOGRAFIA, BRONQUIO AMBOS",,
1039,1,300113110000N0000897,PÉPTIDO NATRIURÉTICO ATRIAL,,
1368,1,30030100031320104000,"RX ESQUELETO PERIFERICO, PELVIS OSEA, AP",,
970,1,300113080100N0000831,AG CÉLULAS ESCAMOSAS SCC,,
2248,1,CCD00310N,ADRENALINA (EN SANGRE),,
1725,1,30030901410101701000,"RM CABEZA Y CUELLO, MAXILOFACIAL, SIN CONTRASTE",,
2551,1,30031402330000000000,INTERCONSULTA: INTERVENCIONISMO VASCULAR ARTERIAL TERAPEUTICO,,
116,1,0121209140,AC. ANTI-VIRUS HERPES HUMANO 6 METODO EIA,,
636,1,300113030213N0000524,IGE ESPECIFICA  HELMINTHOSPORIUM HALODES,,
