cod_atc4,Frequency.7,codes,spanish description,english description,comment
9CPHH,37,2149,FORMULAS COMPLETAS POLIMERICAS HIPERPROTEICAS HIPERCALORICAS,,
N04BC,37,2560,AGONISTAS DOPAMINERGICOS (ANTIPARKINSONIANOS),,
N06AX,36,2585,OTROS ANTIDEPRESIVOS,,
25A17,35,2102,BOLSAS COLOST SIST DOBLE PLAC C-ESP,,
J01DD,34,2458,CEFALOSPORINAS DE TERCERA GENERACIÓN,,
25C04,34,2115,BOLSAS UROST SIST DOBLE PLACA,,
26H00,33,2125,APOSITOS B OSTOM ARO RES SINT MIC,,
N06BA,33,2586,SIMPATICOMIMETICOS ACCION CENTRAL (PSICOESTIMULANT,,
D01AE,33,2344,OTROS ANTIFUNGICOS DE USO TOPICO,,
G03GA,32,2422,GONADOTROPINAS (ESTIMULANTES OVULACION),,
M02AA,32,2523,ANTIINFLAMATORIOS NO ESTEROIDEOS PARA USO TOPICO,,
G03CA,31,2416,"ESTROGENOS NATURALES Y SEMISINTETICOS, SOLOS",,
B01AC,31,2265,INHIBIDORES DE LA AGREGACION PLAQUETARIA,,
N07BA,31,2593,MEDICAMENTOS UTILIZADOS EN DEPENDENCIA A NICOTINA,,
M01AB,31,2514,DERIVADOS DEL ACIDO ACETICO Y SUST.RELAC.(AINES),,
R03BA,30,2620,GLUCOCORTICOIDES (ANTIASMATICOS),,
H03AA,30,2444,HORMONAS TIROIDEAS,,
C10AA,29,2336,INHIBIDORES DE LA HMG-CoA REDUCTASA (HIPOLIPEM.),,
C01DA,29,2291,NITRATOS ORGANICOS (CARDIOTERAPIA),,
J02AC,29,2476,DERIVADOS TRIAZOLICOS (ANTIMICOTICOS SISTEMICOS),,
C09DA,29,2332,ANTAGONISTAS ANGIOTENSINA II ASOC. A DIURETICOS,,
9CPNN,29,2154,FORMULAS COMPLETAS POLIMERICAS NORMOPROTEICAS NORMOCALORICAS,,
A01AD,28,2185,OTROS PREPARADOS DE USO ORAL LOCAL,,
L04AX,28,2513,OTROS INMUNOSUPRESORES,,
L04AA,27,2511,INMUNOSUPRESORES SELECTIVOS,,
N06BX,27,2587,OTROS PSICOESTIMULANTES Y NOOTROPICOS,,
R05XA,27,2635,OTROS PREPARADOS COMBINADOS PARA EL RESFRIO,,
J01AA,26,2451,TETRACICLINAS (ANTIINFECCIOSOS USO SISTEMICO),,
02B01,26,2023,GASA ESTERIL ALGODON HIDROFILO COMPRESA,,
D08AX,26,2384,OTROS ANTISÉPTICOS Y DESINFECTANTES,,
A12AX,26,2250,CALCIO ASOCIADO A OTRAS SUSTANCIAS,,
M05BA,26,2532,BIFOSFONATOS (M.CON EFECTO SOBRE MINERALIZACION),,
N06AA,26,2582,INHIB. NO SELECTIVOS RECAPTACION MONOAMINA(ANTIDEP,,
J01DC,26,2457,CEFALOSPORINAS DE SEGUNDA GENERACIÓN,,
N05CD,25,2577,BENZODIAZEPINAS (HIPNOTICOS Y SEDANTES),,
J05AB,25,2481,NUCLEOSIDOS/NUCLEOTIDOS EXC.INHIB.TRANSCRIP.INVERS,,
25B10,25,2110,BOLSAS ILEOST SIST DOBLE PLAC C-ESP,,
23C04,25,2079,ABSORBENTE INC ORINA NOC ANAT,,
C08DB,25,2327,DERIVADOS DE BENZOTIAPINA (BLOQ. CALCIO),,
S01ED,25,2655,BETABLOQUEANTES (ANTIGLAUCOMA),,
25C08,25,2117,BOLSAS UROST SIST DOBLE PLAC C-ESP,,
A06AD,25,2212,LAXANTES OSMOTICOS,,
J01GB,25,2468,OTROS ANTIBACTERIANOS AMINOGLUCOSIDOS (SISTEMICOS),,
J05AF,24,2753,INHIB. DE LA TRANSCRIPTASA INVERSA NUCLEOTIDOS,,
26H01,24,2126,APOSITOS B OSTOM ARO RES SINT,,
R06AX,24,2640,OTROS ANTIHISTAMINICOS DE USO SISTEMICO,,
25A14,24,2100,BOLSAS COLOST SIST DOBLE PLAC,,
A10BX,24,2235,OTROS FARMACOS HIPOGLUCEMIANTES EXCLUYENDO INSULINAS,,
N06DA,23,2589,ANTICOLINESTERASAS (MEDICAMENTOS CONTRA DEMENCIA),,
23C06,23,2081,ABSORBENTE INC ORINA SUP-NOC  ANAT,,
C07AB,23,2319,BETABLOQUEANTES SELECTIVOS SOLOS,,
R03AK,22,2618,ADRENERGICOS ASOCIADOS A OTROS ANTIASMATICOS,,
H01AC,22,2437,SOMATROPINA Y AGONISTAS DE LA SOMATROPINA,,
N02CC,22,2549,AGONISTAS SELECT.RECEPT. DE LA 5HT (ANTIMIGRAÑOSOS,,
D07AB,22,2367,CORTICOSTEROIDES MODERAD.POTENTES-GRUPO II (DERMAT,,
A10BD,22,2231,COMBINACIONES DE FÁRMACOS HIPOGLUCEMIANTES ORALES,,
L03AB,22,2509,INTERFERONES (INMUNOESTIMULANTES),,
L01BA,21,2496,ANALOGOS ACIDO FOLICO (ANTINEOPLASICOS),,
A03FA,21,2204,PROPULSIVOS,,
J05AE,21,2698,INHIBIDORES DE LA PROTEASA (INHIBIDORES SISTEMICOS,,
9MESP,21,2160,MODULOS ESPESANTES,,
25A30,1,2105,BOLSAS COLOST DOBLES RES SINC FILTRO,,
25B05,1,2106,BOLSAS ILEOST KAR ADH MIC,,
L01CA,1,2716,ALCALOIDE DE LA VINCA Y ANALOGOS (ANTINEOPLASICOS),,
9AEAA,1,2141,FORMULAS EXENTAS DE FENILALANINA,,
23B01,1,2072,COLECTOR BOLSA RECOGIDA ORINA C-T (CON TIRA),,
25B07,1,2107,BOLSAS ILEOST SIST DOBLE PLAC,,
G01AD,1,2400,ACIDOS ORGANICOS,,
G04CB,1,2434,INHIBIDORES TESTOSTERONA-5-ALFA REDUCTASA (PROST.),,
B01AD,1,2266,ENZIMAS (ANTITROMBOTICOS),,
S01GX,1,2660,OTROS ANTIALERGICOS (OFTALMICOS),,
22A03,1,2724,INHALADORES: ACCESORIOS,,
04B00,1,2034,ESPARADRAPO HIPOALERGICO,,
J07AJ,1,2488,VACUNAS CONTRA BORDETELLA PERTUSSIS,,
V04CJ,1,2735,TESTS DE LA FUNCION TIROIDEA,,
J05AH,1,2483,INHIBIDORES DE LA NEURAMINIDASA (ANTIVIRALES SIST.,,
N05AF,1,2568,DERIVADOS DE TIOXANTENO (ANTIPSICOTICOS),,
L04AD,1,2512,INHIBIDORES DE LA CALCINEURINA,,
M05BX,1,2534,OTROS MEDICAM. CON EFECTO SOBRE LA MINERALIZACION,,
G04CA,1,2433,ANTAGONISTAS ALFA-ADRENOCEPTORES (M.HIPERT.PROSTAT,,
C02DB,1,2297,DERIVADOS DE LA HIDRAZINOFTALAZINA (ANTIHIPERTEN.),,
P01BD,1,2603,DIAMINOPIRIMIDINAS (ANTIMALARICOS),,
V03AE,1,2673,MEDICAMENTOS TRATAMIENTO DE LA HIPERKALEMIA,,
-2,1,2065,[Sin referencia],,
25C03,1,2114,BOLSAS UROST KAR ADH MIC,,
N04BD,1,2561,INHIBIDORES DE LA MONOAMINOOXIDASA (ANTIPARKINSON),,
22A01,1,2069,CAMARA INHALACION,,
S01EE,1,2656,ANALOGOS DE LA PROSTAGLANDINA,,
V10AX,1,2704,OTROS PREPARADOS PARA DIAGNOSTICO,,
26H04,1,2129,APOSITOS B OSTOM ARO RES SINT MIC C-ESP,,
C05AD,1,2310,ANTIHEMORROIDALES CON ANESTESICOS LOCALES,,
03E00,1,2769,SISTEMA DE COMPRESIÓN,,
V07ZZ,1,2684,SACARINA,,
V04CX,1,2690,OTROS AGENTES DE DIAGNÓSTICO,,
J07BD,1,2494,VACUNAS CONTRA SARAMPION,,
S01CB,1,2650,CORTICOST. ASOC. A ANTIINFEC.Y SIMPATICOM.(OFTALM),,
V03AF,1,2674,DESINTOXICANTES EN TRATAMIENTOS ANTINEOPLASICOS,,
L03AA,1,2692,FACTORES ESTIMULANTES DE COLONIA (INMUNOESTIMUL.),,
C01BA,1,2287,ANTIARRITMICOS CLASE IA,,
24A03,1,2085,MEDIA CORTA (A-D) COMP FUERTE,,
9AEAC,1,2142,FORMULAS EXENTAS DE METIONINA,,
21A00,1,2067,IRRIGADOR COMPLETO,,
D02AB,1,2346,PRODUCTOS CON ZINC,,
N02AE,1,2541,DERIVADOS ORIPAVINA (ANALGESICOS OPIACEOS),,
V08AB,1,2686,CONTRASTES RADIOL.NEFROTROP.HIDROSOL.BAJA OSMOLAR.,,
A15AA,1,2259,ESTIMULANTES APETITO,,
A11CB,1,2725,VITAMINAS A y D ASOCIADAS,,
C01DX,1,2292,OTROS VASODILATADORES USADOS EN CARDIOTERAPIA,,
D06BX,1,2365,OTROS QUIMIOTERAPICOS (TOPICOS DERMATOLOGICOS),,
R03AL,1,2619,ADRENERGICOS EN COMBINACION CON ANTICOLINERGICOS,,
R03DC,1,2626,ANTAGONISTAS RECEPTORES DEL LEUKOTRIENO (ANTIASMAT,,
G03CX,1,2417,OTROS ESTROGENOS,,
06B00,1,2043,SONDA RECTAL,,
D02AX,1,2349,OTROS EMOLIENTES Y PROTECTORES,,
L01DC,1,2500,OTROS ANTIBIOTICOS CITOTOXICOS (ANTINEOPLASICOS),,
9LAPS,1,2159,FORMULAS CON PROTEINAS DE SOJA SIN LACTOSA,,
D05AA,1,2355,ALQUITRANES (ANTIPSORIASICOS USO TOPICO),,
9CONO,1,2148,FORMULAS COMPLETAS OLIGOMERICAS NORMOPROTEICAS,,
S02DC,1,2668,PREPARADOS INERTES,,
V06AA,1,2717,DIETAS DE BAJA ENERGIA,,
9MVYM,1,2167,MÓDULOS DE VITAMINAS Y MINERALES,,
9X014,1,2792,HARINAS NO LACTEADAS,,
D07CB,1,2374,CORTICOST.MODER.POTENTES-GII+ANTIBIOTICOS (DERMAT),,
02B02,1,2024,GASA ESTERIL ALGODON HIDROFILO TIRA,,
J07AN,1,2740,VACUNAS CONTRA TUBERCULOSIS,,
D04AA,1,2352,ANTIHISTAMÍNICOS PARA USO TÓPICO,,
G02AB,1,2404,ALCALOIDES ERGOTAMINICOS (OXITOCICOS),,
M01AC,1,2515,OXICAMS (AINES),,
V07ZA,1,2683,LANCETAS,,
A15ZZ,1,2260,ESTIMULANTES DEL APETITO,,
26H03,1,2128,APOSITOS B OSTOM RES NAT,,
A11CA,1,2239,VITAMINA A SOLA,,
C04AX,1,2308,OTROS VASODILATADORES PERIFERICOS,,
J01EA,1,2461,TRIMETOPRIM Y DERIVADOS (ANTIINFECCIOSOS SISTEMIC),,
L01XA,1,2778,COMPUESTOS DE PLATINO (ANTINEOPLASICOS),,
J07BG,1,2797,VACUNAS CONTRA LA RABIA,,
P01CC,1,2699,DERIVADOS DE NITROFURANO (ANTI-LEHISM./TRIPANOSOM),,
D06AX,1,2362,OTROS ANTIBIOTICOS DE USO TOPICO (DERMATOLOGICOS),,
05H00,1,2042,APOSITOS ADHESIVOS FILTROS LARINGECTOMIA,,
R06AA,1,2636,AMINOALQUIL-ETERES (ANTIHISTAMINICOS),,
11A00,1,2053,PARCHES OCULARES,,
C09XA,1,2335,INHIBIDORES DE LA RENINA (ACC.SIST.RENINA-ANGIOT.),,
H05BX,1,2450,OTROS AGENTES CONTRA LA HORMONA PARATIROIDEA,,
G03HB,1,2425,ANTIANDROGENOS CON ESTROGENOS,,
R05FA,1,2633,DERIVADOS DEL OPIO Y EXPECTORANTES,,
N01BA,1,2536,ESTERES DEL ACIDO AMINOBENZOICO (ANEST. LOCALES),,
G03BA,1,2414,DERIVADOS DEL ANDROSTENO (ANDROGENOS),,
9X021,1,2169,COMPLEMENTO ALIMENTICIO EMBARAZO Y LACTANCIA,,
J04BA,1,2764,MEDICAMENTOS CONTRA LA LEPRA,,
24C03,1,2088,MEDIA LARGA (A-G) COMP FUERTE,,
C08DA,1,2326,DERIVADOS DE FENILALQUILAMINA (BLOQ. CALCIO SELEC),,
06F02,1,2047,SONDA VESICAL NELATON,,
A11DB,1,2242,VITAMINA B1 ASOCIADA CON B6 y/o B12,,
L02AB,1,2504,PROGESTAGENOS (TERAPIA ENDOCRINA),,
26A01,1,2119,CINTURON OSTOMIA,,
A02AB,1,2187,COMPUESTOS DE ALUMINIO (ANTIACIDOS),,
G03XA,1,2426,ANTIGONADOTROPINAS Y SIMILARES,,
47A01,1,2721,CONTENEDORES RESIDUOS CITOSTÁTICOS,,
N02BA,1,2544,ACIDO SALICILICO Y DERIVADOS,,
V07AY,1,2682,OTROS PRODUCTOS AUXILIARES NO TERAPEUTICOS,,
J05AR,1,2715,ANTIVIRALES PARA EL TRATAMIENTO DE INFECCIONES POR VIH Y COMBINACIONES,,
L01XC,1,2501,ANTICUERPOS MONOCLONALES (ANTINEOPLASICOS),,
J01CF,1,2454,PENICILINAS BETALACTAMASA RESISTENTES,,
R06AE,1,2639,DERIVADOS PIPERAZINICOS (ANTIHISTAMINICOS),,
C03EA,1,2304,ASOCIACIONES DIURETICOS BAJO TECHO+AHORRAD.POTASIO,,
J07BA,1,2696,VACUNAS CONTRA ENCEFALITIS,,
R02AA,1,2616,ANTISEPTICOS (PREPARADOS PARA LA GARGANTA),,
J01XE,1,2474,DERIVADOS DEL NITROFURANO (ANTISEPTICOS URINARIOS),,
P02CB,1,2780,DERIVADOS DE PIPERAZINA (NEMATOCIDAS),,
C01BD,1,2289,ANTIARRITMICOS CLASE III,,
V04CG,1,2677,TESTS DE LA SECRECION GASTRICA,,
M03AX,1,2702,OTROS RELAJANTES MUSCULARES,,
24G03,1,2094,CALCETIN ELASTICO TERAPEUTICO,,
C03EB,1,2305,ASOCIACIONES DIRETICOS ALTO TECHO+AHORRAD. POTASIO,,
P03AB,1,2607,COMPUESTOS DE CLORINA (ECTOPARASITICIDAS),,
R03AC,1,2617,AGONISTAS BETA-2-ADRENERGICOS SELECTIVOS,,
D05AX,1,2357,OTROS ANTIPSORIASICOS DE USO TOPICO,,
M04AC,1,2531,PREPARADOS SIN EFECTO SOBRE METABOL. ACIDO URICO,,
B02BC,1,2272,HEMOSTATICOS LOCALES,,
08A00,1,2050,DUCHA VAGINAL,,
D01BA,1,2345,ANTIBIOTICOS (ANTIFUNGICOS USO SISTEMICO),,
G02CB,1,2407,INHIBIDORES DE LA PROLACTINA,,
R01AB,1,2611,"SIMPATICOMIMETICOS, COMBINACIONES ESCLUIDOS CORTICOSTEROIDES",,
A03BB,1,2201,"ALCALOIDES SEMISINTETICOS BELLADONA, AMIN.CUATERN.",,
D07BC,1,2372,CORTICOSTEROIDES POTENTES+ANTISEPTICO (DERMATOLOG),,
C03XA,1,2755,ANTAGONISTAS DE LA VASOPRESINA,,
M02AC,1,2525,PREPARADOS CON AC.SALICILICO Y DERIV.(AINES TOPIC),,
G02AD,1,2734,PROSTAGLANDINAS (OXITOCICOS),,
23E00,1,2082,OBTURADOR ANAL,,
C07CB,1,2322,BETABLOQUEANTES SELECTIVOS ASOC. A OTROS DIURETICOS,,
N07AA,1,2591,ANTICOLINESTARASAS (OTROS MEDIC. ACCION SNC),,
H02BX,1,2443,CORTICOSTEROIDES DE USO SISTEMCO EN ASOCIACION,,
G04BD,1,2430,ANTIESPASMODICOS URINARIOS,,
N02AD,1,2799,DERIVADOS DEL BENZOMORFANO (ANALGESICOS OPIACEOS),,
R01AX,1,2614,OTROS PREPARADOS NASALES,,
25A20,1,2104,BOLSAS COLOST SIST DOBLE PLAC ACOPLAM ADH,,
N03AB,1,2552,DERIVADOS DE HIDANTOINA (ANTIEPILEPTICOS),,
R01AD,1,2613,CORTICOSTEROIDES (NASALES),,
C05CX,1,2317,OTROS ESTABILIZADORES CAPILARES (VASOPROTECTORES),,
D10AX,1,2390,OTROS PRODUCTOS ANTI-ACNE PARA USO TOPICO,,
9MMHL,1,2164,MODULOS HIDROCARBONADOS Y LIPIDICOS,,
D06BB,1,2364,ANTIVIRALES (QUIMIOTERAPICOS TOPICOS DERMATOLOGIC),,
A06AG,1,2213,ENEMAS,,
20A00,1,2066,SUSPENSORIO,,
9X104,1,2177,FLORA INTESTINAL MANTENIMIENTO Y EQUILIBRIO,,
N01BX,1,2538,OTROS ANESTESICOS LOCALES,,
R05DB,1,2632,"ANTITUSIVOS, EXCLUIDOS ASOCIAC. CON EXPECTORANTES",,
H01CA,1,2439,FACTORES DE LIBERACION DE GONADOTROPINAS,,
A03ED,1,2203,ANTIESPASMODICOS ASOCIADOS A OTRAS SUSTANCIAS,,
23B05,1,2744,COLECTOR BOLSA RECOG ORINA FEMENINO,,
04B01,1,2035,ESPARADRAPO HIPOALERGICO FLEXIBLE,,
H01AA,1,2436,ACTH (HORMONAS LOBULO ANTERIOR HIPOFISIS),,
N04BA,1,2559,DOPA Y DERIVADOS (ANTIPARKINSONIANOS),,
A03AX,1,2199,OTROS ANTICOLINERGICOS SINTETICOS,,
D10AF,1,2389,ANTIINFECCIOSOS PARA TRATAMIENTO DEL ACNE,,
05D00,1,2038,CANULA LARINGUECTOMIA,,
A01AB,1,2183,ANTIINFECCIOSOS DE USO ORAL LOCAL,,
G03XB,1,2427,ANTIPROGESTAGENOS,,
N03AA,1,2551,BARBITURICOS Y DERIVADOS (ANTIEPILEPTICOS),,
C04AE,1,2307,ALCALOIDES ERGOTAMINICOS (VASODILAT.PERIFERICOS),,
9CELE,1,2146,FORMULAS COMPLETAS MONOMERICAS NORMOPROTEICAS,,
N04BX,1,2562,OTROS DOPAMINERGICOS (ANTIPARKINSONIANOS),,
R03BB,1,2621,ANTICOLINERGICOS (ANTIASMATICOS),,
A12CA,1,2252,SODIO,,
26A02,1,2120,SOPORTE CINTURON OSTOMIA,,
A05BA,1,2208,TERAPIA DEL HIGADO,,
D07CA,1,2373,CORTICOSTEROIDES DEBILES-GI+ANTIBIOTICOS (DERMAT.),,
L02BX,1,2772,OTROS ANTAGONISTAS DE HORMONAS Y SUSTANCIAS RELACIONADAS,,
26I01,1,2133,SIST IRRIG COLOST,,
A07AA,1,2215,ANTIBIOTICOS (ANTIINFECC. INTESTINALES),,
G04BX,1,2432,OTROS UROLOGICOS,,
J07AH,1,2746,VACUNAS CONTRA MENINGOCOCO,,
9MLMC,1,2163,MODULOS DE TRIGLICERIDOS DE CADENA MEDIA MCT,,
A14AA,1,2257,DERIVADOS DEL ANDROSTANO (ANABOLIZANTES),,
G03HA,1,2424,ANTIANDROGENOS SOLOS,,
N02CA,1,2548,ALCALOIDES ERGOTAMINICOS (ANTIMIGRAÑOSOS),,
9MPAA,1,2165,MODULOS AMINOACIDOS,,
C05AE,1,2311,RELAJANTES MUSCULARES,,
26I02,1,2134,ACCES SIST IRRIG COLOST,,
A06AA,1,2209,LAXANTES LUBRICANTES Y EMOLIENTES,,
9CPHN,1,2151,FORMULAS COMPLETAS POLIMERICAS HIPERPROTEICAS NORMOCALORICAS,,
25A09,1,2098,BOLSAS COLOST RES SINT FIL,,
S01JA,1,2662,COLOREANTES (OFTALMICOS),,
41A02,1,2719,JERINGA INSULINA,,
23C02,1,2077,ABSORBENTE INC ORINA DIA ANAT,,
48A01,1,2140,PARCHES TERMICOS,,
9X022,1,2170,COMPLEMENTO ALIMENTICIO PERSONAS DE EDAD,,
G01BA,1,2403,ANTIBIOTICOS ASOC.A CORTICOIDES (GINECOLOGICOS),,
J04AM,1,2480,ASOCIACIONES DE MEDICAMENTOS CONTRA TUBERCULOSIS,,
N06AG,1,2584,INHIB. MONOAMINO-OXIDASA TIPO A (ANTIDEPRESIVOS),,
C03CA,1,2302,SULFONAMIDAS SOLAS (DIURETICOS TECHO ALTO),,
03B02,1,2031,VENDA ELASTICA ADHESIVA,,
C10AB,1,2337,FIBRATOS (HIPOLIPEMIANTES),,
19A04,1,2064,BRAGUERO INGUINAL BILATERAL,,
26F01,1,2124,GELIFICADOR BOLSAS ILEOSTOMIA,,
23B02,1,2073,COLECTOR BOLSA RECOGIDA ORINA C-A (CON APOSITO),,
J07AE,1,2486,VACUNAS CONTRA COLERA,,
V04CA,1,2676,TESTS DE DIABETES,,
A11DA,1,2241,VITAMINA B1,,
C07DB,1,2323,BETABLOQUEANTES SELECT.ASOC.TIAZIDAS Y OTROS DIURETIC.,,
A10BA,1,2229,BIGUANIDAS (ANTIDIABETICOS ORALES),,
N07CA,1,2596,MEDICAMENTOS CONTRA EL VERTIGO,,
J07BJ,1,2789,VACUNAS CONTRA LA RUBEOLA,,
J07BB,1,2492,VACUNAS CONTRA INFLUENZA,,
N07AX,1,2592,OTROS PARASIMPATICOMIMETICOS (MEDIC.ACCION SNC),,
J07CA,1,2762,VACUNAS ANTIBACTERIANAS Y ANTIVIRALES ASOCIADAS,,
24D02,1,2697,MEDIA LARGA SUJ COMP NORMAL,,
R05FB,1,2634,OTROS ANTITUSIGENOS Y EXPECTORANTES EN ASOCIACION,,
V08AA,1,2685,CONTRASTES RADIOL.NEFROTROP.HIDROSOL.ALTA OSMOLAR.,,
16B00,1,2059,MUÑEQUERA METACARPIANA,,
S01AA,1,2642,ANTIBIOTICOS (OFTALMICOS),,
H01AX,1,2737,OTRAS HORMONAS DEL LÓBULO ANTERIOR DE LA HIPÓFISIS Y SUS ANÁLOGOS,,
J04AA,1,2743,DERIVADOS DEL ACIDO AMINOSALICILICO (TUBERCULOST.),,
J02AX,1,2718,OTROS ANTIMICOTICOS DE USO SISTEMICO,,
J02AA,1,2765,ANTIBIOTICOS (ANTIMICOTICOS SISTEMICOS),,
N01AH,1,2798,OPIOIDES ANESTESICOS,,
A10BG,1,2233,TIAZOLIDINODIONAS (ANTIDIABETICOS ORALES),,
H03BB,1,2445,DERIVADOS IMIDAZOLICOS SULFURADOS (ANTITIROIDEOS),,
J07AX,1,2722,OTRAS VACUNAS BACTERIANAS,,
C10AD,1,2777,ACIDO NICOTINICO Y DERIVADOS (HIPOLIPEMIANTES),,
C09BB,1,2330,INHIB.ENZIM.CONVERT.ANGIOT.ASOC.BLOQ.CANAL.CALCIO,,
H01BA,1,2438,VASOPRESINA Y ANALOGOS,,
H05BA,1,2449,CALCITONINAS,,
J07BC,1,2493,VACUNAS CONTRA HEPATITIS,,
24E03,1,2090,MEDIA E.T. CINT COMP FUERTE,,
G03DC,1,2419,DERIVADOS DEL ESTRENO (PROGESTAGENOS),,
05G00,1,2041,FILTROS LARINGECTOMIA,,
C07AG,1,2320,ALFA Y BETABLOQUEANTES,,
J01DF,1,2460,MONOBACTAMAS (ANTIBACTERIANOS BETALACTAMICOS),,
M04AA,1,2529,PREPARADOS QUE INHIBEN PRODUCCION DE ACIDO URICO,,
A03BA,1,2200,"ALCALOIDES DE BELLADONA, AMINAS TERCIARIAS",,
9X032,1,2173,FIBRA ALIMENTARIA,,
N05CM,1,2580,OTROS HIPNOTICOS Y SEDANTES,,
D07XB,1,2377,CORTICOSTEROIDES MODER.POTENTES+OTRAS SUST.(DERMAT,,
L01XD,1,2502,AGENTES USADOS EN TERÁPIA FOTODINÁMICA,,
M05BB,1,2533,"BIFOSFONATOS, COMBINACIONES",,
25B13,1,2112,BOLSAS ILEOST SIST DOBLE ACOPLAMIENTO ADHESIVO,,
C02KX,1,2707,OTROS ANTIHIPERTENSIVOS,,
G01AC,1,2399,DERIVADOS DE LA QUINOLINA (GINECOLOGICOS),,
H05AA,1,2448,HORMONAS PARATIRODEAS,,
9X107,1,2179,COMPLEMENTOS DE DIETAS HIPOCALORICAS,,
A02AH,1,2190,ANTIACIDOS CON BICARBONATO SODICO,,
G02CA,1,2787,SIMPATICOMIMETICOS INHIBIDORES DEL PARTO,,
M04AB,1,2530,PREPARADOS QUE AUMENTAN LA ELIMINACION ACIDO URICO,,
26K02,1,2137,OTROS SISTEMAS,,
B05BC,1,2713,SOLUCIONES PARA DIURESIS OSMOTICA,,
G04AG,1,2767,OTROS ANTISEPTICOS Y ANTIINFECCIOSOS URINARIOS,,
9AMAA,1,2144,FORMULAS EXENTAS DE FENILALANINA Y TIROSINA,,
D11AC,1,2392,CHAMPÚES MEDICINALES,,
S01FB,1,2658,SIMPATICOMIMETICOS EXCL.ANTIGLAUCOMA (MIDRIATICOS),,
L01AX,1,2768,OTROS ALQUILANTES (ANTINEOPLASICOS),,
N02CX,1,2550,OTROS MEDICAMENTOS CONTRA LA MIGRAÑA,,
N05AA,1,2563,FENOTIAZINAS ALIFATICAS (ANTIPSICOTICOS),,
V08BA,1,2687,CONTRASTES RADIOLOGICOS CON SULFATO DE BARIO,,
R03BC,1,2622,"ANTIALERGICOS, EXCLUIDOS CORTICOSTEROIDES",,
M01BX,1,2520,OTROS ANTIINFLAMAT/ANTIRREUMATICOS EN ASOCIACION,,
A05AA,1,2207,PREPARADOS DE ACIDOS BILIARES,,
B05XB,1,2285,AMINOÁCIDOS,,
S02AA,1,2665,ANTIINFECCIOSOS (OTOLOGICOS),,
P01BF,1,2701,"ARTEMISININA Y DERIVADOS, COMBINACIONES",,
13A00,1,2055,TOBILLERA,,
