cod_atc2,Frequency.5,codes,spanish description,english description,comment
9MH,1,580,MODULOS HIDROCARBONADOS,,
24A,1,547,MEDIAS CORTAS,,
26F,1,561,GELIFICADOR BOLSAS ILEOSTOMIA,,
9GS,1,576,FORMULAS EXENTAS DE LIPIDOS,,
D09,1,626,EMPLASTES MEDICAMENTOSOS,,
15A,1,534,CODERA,,
04A,1,519,ESPARADRAPO NORMAL,,
9ZZ,1,588,SUPLEMENTOS ALIMENTICIOS,,
24C,1,549,MEDIA LARGA (A-G),,
04B,1,520,ESPARADRAPO HIPOALERGICO,,
45A,1,686,COMPRESA TOCOLOGICA,,
F00,1,629,FORMULAS MAGISTRALES,,
9GM,1,690,FORMULA CON CONTENIDO GRASO EN FORMA DE TRIGLICERIDOS DE CADENA MEDIA,,
16B,1,536,MUÑEQUERA METACARPIANA,,
26J,1,564,SISTEMAS COLOSTOMIA,,
03E,1,684,PROTECTOR PIEL CUBIERTA CON VENDAJE Y ESCAYOLA,,
48A,1,568,PARCHES TERMICOS,,
B06,1,682,OTROS PREPARADOS HEMATOLOGICOS,,
23D,1,687,SIST INC ORINA OCLUSIVO HOMBRE,,
06B,1,526,SONDA RECTAL,,
41A,1,681,JERINGA,,
9AS,1,571,EXENTAS DE PROTEINAS,,
V06,1,677,NUTRITIVOS GENERALES                                                       ,,
24F,1,552,PANTYS,,
Y20,1,680,VISADO CON 40% APORTACION SOBRE P.V.P.,,
9AM,1,570,AA ESENCIALES Y NO ESENCIALES,,
01B,1,691,ALGODON EN RAMA,,
26E,1,689,FUNDA OSTOMIA,,
26D,1,560,PINZAS DE OSTOMIA,,
9CE,1,572,COMPLETAS ELEMENTALES,,
14A,1,533,MUSLERA,,
S03,1,673,PREPARADOS OFTALMOLOGICOS Y OTOLOGICOS,,
A13,1,601,TONICOS,,
24E,1,551,MEDIA LARGA E.T.CINT COMP,,
A09,1,597,"DIGESTIVOS, INCLUIDOS ENZIMAS",,
42A,1,566,AGUJA,,
05F,1,523,CANULA TRAQUEOTOMIA - LARING,,
V08,1,679,MEDIOS DE CONTRASTE,,
9LA,1,578,ALERGIA E INTOLERANCIA A PROTEÍNAS DE LECHE DE VACA,,
08A,1,529,DUCHA VAGINAL,,
Y10,1,692,VISADO CON 75 PESETAS APORTACION FIJA,,
17A,1,538,FAJA LUMBAR,,
13A,1,532,TOBILLERA,,
9MV,1,584,MODULOS DE VITAMINA Y MINERALES,,
05D,1,522,OTRAS CANULAS,,
24D,1,550,MEDIA LARGA SUJ CADERA,,
16A,1,535,MUÑEQUERA DEPORTISTA,,
9MM,1,582,MODULOS HIDROCARBONADOS Y LIPIDICOS,,
A08,1,596,"PRODUCTOS ANTIOBESIDAD, EXCLUIDOS DIETETICOS",,
26C,1,559,FILTROS DE OSTOMIA,,
26A,1,558,CINTURON Y SOPORTE DE OSTOMIA,,
9AE,1,569,"AA ESENCIALES, EXENTOS",,
P02,1,663,ANTIHELMINTICOS,,
05H,1,525,APOSITOS ADHESIVOS FILTRO,,
24G,1,553,CALCETIN,,
24B,1,548,MEDIA LARGA  A-F,,
06D,1,527,SONDA GASTRICA,,
02A,1,515,GASA NO ESTERIL,,
05G,1,524,FILTROS,,
9X2,1,587,ALIMENTOS ELABORADOS A BASE DE PLANTAS,,
0,1,511,NO EXISTE SUBGRUPO TERAPÉUTICO DE NIVEL 2,,
25H,1,557,OSTOMIA,,
9HL,1,577,LACTOSA,,
21A,1,541,IRRIGADOR COMPLETO,,
47A,1,685,CONTENEDORES RESIDUOS CITOSTÁTICOS,,
11A,1,530,PARCHES OCULARES,,
01A,1,512,ALGODON ARROLLADO,,
A15,1,603,ESTIMULANTES DEL APETITO,,
H04,1,637,HORMONAS DEL PANCREAS,,
R07,1,670,OTROS PRODUCTOS APARATO RESPIRATORIO,,
V10,1,683,RADIOFARMACOS TERAPEUTICOS,,
V09,1,688,RADIOFARMACOS PARA DIAGNOSTICO,,
23E,1,546,OBTURADOR ANAL,,
26I,1,563,IRRIGACION COLOSTOMIA,,
A14,1,602,ANABOLIZANTES,,
16C,1,537,MUÑEQUERA FERULA,,
12A,1,531,RODILLERA,,
26K,1,565,OTROS SISTEMAS ACCESORIOS DE OSTOMIA,,
