cod_modalidad,Frequency.10,codes,spanish description,english description,comment
S-DS-7,5.0,111,ALTA EN SS DISCAPACIDAD TEMPORAL,,
S-N-6,5.0,64,ACREDITACION DENEGADA POR ASEGURADORA,,
F-A05-4,1,29,ISFAS 4 AS PARCIAL ( SOLO PRIMARIA),,
F-A05-7,1,98,ISFAS PRIVADO CON AP,,
S-DS-15,1,31,MUGEJU PRIVADO DISCAPACIDAD INDEFINIDA,,
S-CS-7,1,46,PROGRAMAS ESPECIALES CON APORTACION,,
S-CS-35,1,108,ATENCION SANITARIA UNIVERSAL OTROS,,
S-CS-36,1,53,ASU EN TRAMITE OTROS,,
S-DS-32,1,5,MUFACE PUBLICO DISCAPACIDAD INDEFINIDA,,
S-CS-3,1,32,PERSONAS SIN RECURSOS - CV,,
S-CS-23,1,119,PENDIENTE APROBACION POLIZA,,
S-DS-26,1,38,PRORROGA ASIST. DISCAPACIDAD INDEFINIDA,,
S-N-20,1,34,AFILIADO RCSE- INSTITUCIONES EUROPEAS,,
S-DS-22,1,42,ISFAS PRIVADO DISCAPACIDAD TEMPORAL,,
F-SS-9,1,91,ALTA EN SS AC CONVENIO INTERNACIONAL,,
F-A05-5,1,79,ISFASU,,
S-CS-15,1,17,SINDROME TOXICO,,
S-CS-13,1,72,EXPEDIENTE SR OTRA COMUNIDAD AC,,
S-CS-10,1,59,TARJETA SOLIDARIA,,
S-DS-47,1,100,DOBLE COBERT MUTUAL. - SS DISC INDEF.,,
S-CS-18,1,3,DECRETO OTRA COMUNIDAD AC NO EMP,,
S-DS-29,1,9,EXT. A DEMANDA DISCAPACIDAD INDEFINIDA,,
S-DS-46,1,78,ISFAS URGENCIA DISCAPACIDAD TEMPORAL,,
S-DS-34,1,20,MUFACE PUBLICO DISCAPACIDAD TEMPORAL,,
F-MUT-2,1,19,TARJETA OTRA CCAA MUTUAL.PRIVADO,,
F-SS-6,1,81,DOBLE COBERTURA CON MUGEJU PN,,
F-SS-17,1,55,EXPEDIENTE SR-AC MENOR 65,,
F-EX-4,1,49,CONVENIO BILATERAL PN,,
S-DS-35,1,6,MUGEJU PUBLICO DISCAPACIDAD INDEFINIDA,,
S-CS-16,1,33,EXTENSION ASISTENCIA A DEMANDA,,
S-DS-48,1,27,DOBLE COBERT. MUTUAL. -SS DISC TEMP,,
S-N-16,1,60,NA SIN RECURSOS CV,,
S-N-5,1,56,ACRED. DESCONOCIDA: YA NO ESTA EN TES,,
S-N-9,1,1,EXPEDIENTE DENEGADO,,
F-SS-22,1,97,DISCAPACITADOS LISMI,,
S-CS-12,1,25,NA EMBARAZADA EXTRANJERA,,
S-N-10,1,77,EN ESTUDIO,,
S-N-17,1,35,SOLICITUD PVPS,,
S-CS-6,1,89,PROGRAMAS ESPECIALES FARMACIA GRATUITA,,
S-DS-20,1,7,MUFACE PRIVADO DISCAPACIDAD TEMPORAL,,
S-N-4,1,101,ACREDITACIÓN DENEGADA POR TESORERÍA,,
S-DS-1,1,86,PTE REVISAR ASEGURAMIENTO DISC,,
S-CS-21,1,115,CONVENIO CONSELLERIA SANIDAD,,
S-CS-27,1,52,ASISTENCIA TEMPORAL,,
S-N-7,1,109,EXPEDIENTE EN TRAMITE,,
S-CS-28,1,75,NA SOLICITANTES PROTECCION INTERNACIONAL,,
S-N-12,1,73,USUARIO CEE DE BAJA EN TESORERIA,,
F-SS-30,1,4,INTERNACIONAL BENEFICIARIO PENSIONISTA,,
S-CS-14,1,84,EXPEDIENTE SR OTRA COMUNIDAD PN,,
S-DS-41,1,62,ISFAS 4 (AS PARCIAL) DISCAPACIDAD INDEF,,
S-DS-23,1,14,EXPEDIENTE SR DISCAPACIDAD INDEFINIDA,,
S-CS-20,1,66,PROTECCION FAMILIAR BENEF.,,
F-SS-14,1,99,TARJETA OTRA CCAA PN EN ZONA LIMITROFE,,
S-DS-44,1,48,ISFAS URGENCIA DISCAPACIDAD INDEFINIDA,,
F-SS-31,1,43,PERCEPT. RENTA INSER. SOCIAL CCAA,,
F-SS-13,1,95,TARJETA OTRA CCAA  AC EN ZONA LIMITROFE,,
S-CS-32,1,41,CONVENIO ESPECIAL,,
S-CS-25,1,63,POLIZA PACIENTE PRIVADO,,
S-DS-38,1,58,ISFAS 1 DISCAPACIDAD INDEFINIDA,,
F-MUT-1,1,117,TARJETA OTRA CCAA MUTUAL.PUBLICO,,
F-SS-18,1,88,EXPEDIENTE SR-PN MAYOR 65,,
S-CS-22,1,67,EXT. A DEMANDA PRORROGADA,,
S-DS-21,1,15,MUGEJU PRIVADO DISCAPACIDAD TEMPORAL,,
S-DS-28,1,45,PRORROGA ASIST.DISCAPACIDAD TEMPORAL,,
C-C5-1,1,118,TELEFONICA,,
S-DS-37,1,116,MUGEJU PUBLICO DISCAPACIDAD TEMPORAL,,
S-CS-1,1,24,PERSONAS SIN RECURSOS - INSS,,
F-SS-3,1,69,DOBLE COBERTURA CON MUGEJU AC,,
F-M01-3,1,104,MUFACE PRIVADO CON AP,,
S-DS-25,1,114,EXPEDIENTE SR DISCAPACIDAD TEMPORAL,,
F-EX-3,1,51,CONVENIO BILATERAL AC,,
S-CS-33,1,50,ASU EN TRAMITE,,
F-M06-3,1,71,MUGEJU PRIVADO CON AP,,
F-SS-29,1,21,INTERNACIONAL BENEFICIARIO TRABAJADOR,,
S-DS-40,1,37,ISFAS 1DISCAPACIDAD TEMPORAL,,
S-DS-14,1,96,MUFACE PRIVADO DISCAPACIDAD INDEFINIDA,,
