cod_crg,Frequency.4,codes,spanish description,english description,comment
619,1,70111.0,Insuficiencia cardiaca - Diabetes - Enfermedad cerebrovascular: Nivel 1,Heart failure - Diabetes - disease stroke: level 1,
391,1,33582.0,Diagnósticos articulares y musculoesqueléticos crónicos - menor: Nivel 2,Joint diagnoses and chronic musculoskeletal - less: level 2,
922,1,20300.0,"Enfermedad aguda significativa, excluyendo ORL","Acute significant disease, excluding ORL",
85,1,33561.0,Dolor crónico: Nivel 1,CHRONIC PAIN,
493,1,53514.0,Discopatía y otros diagnósticos crónicos de espalda: Nivel 4,Disc disease and other chronic diagnoses of back: level 4,
120,1,34821.0,Reflujo vesiculoureteral: Nivel 1,Reflux vesiculoureteral: level 1,
895,1,62102.0,Otra enfermedad dominante crónica y neoplasia de mama: Nivel 2,Another dominant chronic disease and neoplasia de mama: level 2,
366,1,10050.0,Diagnósticos ginecológicos mayores sin otra enfermedad significativa,Larger without other significant disease Gynecologic diagnosis,
117,1,34101.0,Diagnósticos crónicos de piel - menor: Nivel 1,Chronic diagnoses of skin - lower: level 1,
9,1,0.0,Sin Clasificar,Unranked,
441,1,61334.0,"Enfermedad cerebrovascular y otra enfermedad crónica, Nivel 2","Cerebrovascular disease and other chronic disease, Level 2",
611,1,70413.0,Enfermedad coronaria avanzada - Dos o más enfermedades crónicas dominantes: Nivel 3,The condition of having two or more diseases at the same time.,
90,1,62416.0,Asma y otra enfermedad moderada crónica: Nivel 6,Asthma and other chronic moderate disease: level 6,
83,1,62706.0,Otras dos enfermedades crónicas moderadas: Nivel 6,Two other moderate chronic diseases: level 6,
422,1,36131.0,Enfermedades hematológicas crónicas - menor: Nivel 1,Blood Dyscrasia,
632,1,61106.0,EPOC e Insuficiencia cardiaca: Nivel 6,COPD and heart failure: level 6,
644,1,70716.0,Diabetes - Hipertensión - Otra enfermedad crónica dominante: Nivel 6,Diabetes or other chronic disease,
727,1,61603.0,Demencia y otra enfermedad dominante crónica: Nivel 3,Dementia and other chronic disorder: level 3,
604,1,86611.0,Neoplasia de proteinas plasmáticas: Nivel 1,Plasma proteins low,
628,1,86641.0,Neoplasia genitourinaria: Nivel 1,Genitourinary malignancy: level 1,
326,1,53103.0,Enfermedad hepática alcohólica: Nivel 3,Liver Disease:,
147,1,53443.0,"Historia de fractura de cadera, edad > 64 años: Nivel 3","History of fracture of hip, age &gt; 64 years: level 3",
856,1,86544.0,Mieloma múltiple: Nivel 4,Kahler Disease,
1076,1,70224.0,Diabetes - EPOC- Otra enfermedad crónica dominante: Nivel 4,Another dominant chronic disease - COPD - diabetes: level 4,
1040,1,62412.0,Asma y otra enfermedad moderada crónica: Nivel 2,Asthma and other chronic moderate disease: level 2,
272,1,62103.0,Otra enfermedad dominante crónica y neoplasia de mama: Nivel 3,,
11,1,33172.0,Enfermedades de vesícula biliar: Nivel 2,Gallbladder,
53,1,86411.0,Neoplasias secundarias: Nivel 1,,
903,1,34462.0,Enfermedad tiroidea crónica: Nivel 2,• Thyroid Disease,
844,1,32741.0,Diagnósticos gastrointestinales crónicos - menor: Nivel 1,Chronic gastrointestinal diagnoses - less: level 1,
982,1,86562.0,Leucemia no linfática aguda: Nivel 2,Acute non-lymphatic leukemia: Level 2,
149,1,50134.0,Enfermedad cerebrovascular sin infarto: Nivel 4,Cerebrovascular disease without infarction: Level 4,
766,1,35112.0,"Enfermedad prostática, infertilidad y neoplasias benignas, varones: Nivel 2",,
175,1,32732.0,Úlceras crónicas: Nivel 2,Chronic ulcers: Level 2,
925,1,57503.0,Trastornos mayores de la personalidad: Nivel 3,Major personality disorders: Level 3,
314,1,50041.0,Enfermedad cerebrovascular con infarto o hemorragia intracraneal: Nivel 1,Cerebrovascular disease with infarction or intracranial hemorrhage: Level 1,
652,1,61301.0,Enfermedad cerebrovascular y diabetes,Cerebrovascular disease and diabetes,
664,1,51771.0,Anomalías cardiacas septales mayores y cianóticas complejas: Nivel 1,Major septal and complex cyanotic cardiac abnormalities: Level 1,
302,1,86573.0,Neoplasia de colón: Nivel 3,Colon neoplasia: Level 3,
547,1,62113.0,Neoplasia de mama y otra enfermedad moderada crónica: Nivel 3,Breast neoplasia and other chronic moderate disease: Level 3,
817,1,86623.0,Neoplasia de mama: Nivel 3,Breast neoplasia: Level 3,
970,1,57832.0,Abuso de opioides: Nivel 2,Opioid abuse: Level 2,
344,1,62923.0,"Abuso de drogas crónico moderado y otra enfermedad crónica, Nivel 2: Nivel 3","Chronic moderate drug abuse and other chronic disease, Level 2: Level 3",
600,1,86473.0,Neoplasia de pulmón: Nivel 3,Lung neoplasia: Level 3,
648,1,53941.0,Espondiloartropatía y otras artropatías inflamatorias: Nivel 1,Spondyloarthropathy and other inflammatory joint diseases: level 1,
704,1,61701.0,Esquizofrenia y otra enfermedad dominante crónica: Nivel 1,,
906,1,-1.0,NO CONSTA,Not indicated.,
168,1,54782.0,Anomalías de riñón o tracto urinario: Nivel 2,Kidney or urinary tract anomalies: level 2,
262,1,51814.0,Enfermedades valvulares: Nivel 4,Valvular diseases: level 4,
702,1,51893.0,Historia de ACTP: Nivel 3,LEVEL 3,
263,1,51801.0,Otros diagnósticos cardiovasculares - mayor: Nivel 1,Other diagnostics,
1085,1,56053.0,Enfermedades inmunes y leucocitarias: Nivel 3,Leukocyte and immune diseases: level 3,
519,1,62515.0,Abuso de drogas crónico moderado y otra enfermedad moderada crónica: Nivel 5,Moderate chronic drug abuse and other moderate chronic illness: level 5,
185,1,61003.0,Insuficiencia renal crónica y otras enfermedades crónicas dominantes o moderadas: Nivel 3,Chronic kidney disease and other chronic diseases dominant or moderate: level 3,
861,1,52694.0,Anomalías gastrointestinales: Nivel 4,Gastrointestinal anomalies: level 4,
818,1,61802.0,"Historia de fractura de cadera, edad > 64 y otra enfermedad dominante crónica: Nivel 2",,
876,1,58201.0,Quemaduras - Extrema: Nivel 1,Burns - extreme: Level 1,
926,1,56952.0,Neoplasia NOS/NEC: Nivel 1,Level 1:,
342,1,56104.0,Diagnósticos hematológicos crónicos e inmunes - Moderado: Nivel 4,Hematologic diagnosis chronic and immune - moderate: level 4,
582,1,62821.0,"Otra neoplasia no dominante y otra enfermedad crónica, Nivel 2: Nivel 1",Level 1                         Level 2                         Level 3                             Other,
294,1,61906.0,Otras dos enfermedades dominantes crónicas: Nivel 6,,
374,1,52413.0,Varices en piernas con úlceras o inflamación: Nivel 3,Varicose veins in legs with ulcers or inflammation: level 3,
549,1,54043.0,Úlcera cutánea crónica: Nivel 3,Chronic skin ulcer,
237,1,56531.0,Leucemia no linfática crónica: Nivel 1,Chronic non-Lymphocytic Leukemia: level 1,
577,1,57443.0,Trastornos de la alimentación: Nivel 3,Eating disorders: level 3,
194,1,90303.0,Enfermedad HIV: Nivel 3,HIV disease: Level 3,
1055,1,30181.0,Migraña: Nivel 1,Level 1:,
650,1,62606.0,Enfermedad dominante crónica y una o más enfermedades moderadas crónicas: Nivel 6,Chronic disorder and one or more moderate chronic diseases: level 6,
183,1,57863.0,Abuso de drogas - Cannabis/NOS/NEC: Nivel 3,Abuse of drugs - Cannabis/us/NEC: level 3,
1075,1,51794.0,Insuficiencia cardiaca: Nivel 4,Heart failure: level 4,
184,1,61332.0,"Enfermedad cerebrovascular y otra enfermedad crónica, Nivel 2","Cerebrovascular disease and other chronic disease, Level 2",
151,1,50021.0,Diagnósticos extrapiramidales: Nivel 1,Level 1:,
1060,1,61405.0,Diabetes y enfermedad coronaria avanzada: Nivel 5,Diabetes and advanced coronary disease: Level 5,
209,1,50052.0,Diagnósticos neurodegenerativos excepto esclerosis múltiple y Parkinson: Nivel 2,Diagnostic neurodegenerative except multiple sclerosis and Parkinson's: level 2,
1046,1,61403.0,Diabetes y enfermedad coronaria avanzada: Nivel 3,Heart failure and coronary artery disease,
131,1,61411.0,Diabetes y otra enfermedad dominante crónica: Nivel 1,,
680,1,86414.0,Neoplasias secundarias: Nivel 4,,
464,1,50031.0,Hemiplejia adquirida: Nivel 1,Level 1:,
580,1,51832.0,Angina y cardiipatía isquémica: Nivel 2,Level 2:,
881,1,35922.0,Enfermedades del desarrollo del lenguaje: Nivel 2,"<g id=""1"">a</g><g id=""2"">Language Development</g><g id=""3"">: </g>",
458,1,53144.0,Trastornos pancreáticos y hepáticos crónicos - Moderado: Nivel 4,,
888,1,56572.0,Neoplasia de colon: Nivel 2,COLON NEOPL,
950,1,52661.0,Enfermedad inflamatoria intestinal: Nivel 1,Inflammatory bowel disease: level 1,
1036,1,10010.0,Estado sano - no usuario,State healthy - no user,
700,1,61703.0,Esquizofrenia y otra enfermedad dominante crónica: Nivel 3,,
373,1,91102.0,Fibrosis quística: Nivel 2,Fibrocystic disease,
984,1,86644.0,Neoplasia genitourinaria: Nivel 4,Floor 4:,
526,1,57071.0,Tuberculosis secundaria: Nivel 1,Postprimary tuberculosis,
767,1,54744.0,Estado de trasplante renal: Nivel 4,1-71D KIDNEY: TRANSPLANTATIONS AND TRANSPOSITIONS,
726,1,56061.0,Anemia de células falciformes: Nivel 1,Sickle cell anaemia,
1082,1,51381.0,Asma: Nivel 1,Level 1:,
313,1,54774.0,Nefritis: Nivel 4,Floor 4:,
502,1,61206.0,EPOC y diabetes: Nivel 6,Level 6:,
172,1,20830.0,Diagnósticos de enfermedad mental mayor o abuso de drogas con otra enfermedad significativa,"A condition of senility, mental illness, alcoholism, or drug abuse.",
915,1,51861.0,Fibrilación auricular: Nivel 1,ATRIAL FIBRILLATION,
306,1,62213.0,Neoplasia de próstata y otra enfermedad moderada crónica: Nivel 3,Neoplasm of prostate and other moderate chronic illness: level 3,
228,1,52662.0,Enfermedad inflamatoria intestinal: Nivel 2,Inflammatory bowel disease,
354,1,37562.0,Diagnósticos de salud mental crónicos - menor: Nivel 2,There are no current mental health diagnoses.,
141,1,53542.0,Osteoporosis: Nivel 2,Level 2:,
202,1,57502.0,Trastornos mayores de la personalidad: Nivel 2,PERSONALITY DISORDER,
