cod_est_salud,Frequency.1,codes,spanish description,english description,comment
80,1,50022,Diagnósticos extrapiramidales: Nivel 2,,
730,1,54424,"Diagnósticos endocrinos, nutricionales, hidroelectrolíticos e inmunes crónicos - Moderado: Nivel 3",,
432,1,34461,Enfermedad tiroidea crónica: Nivel 1,,
810,1,57503,Trastornos mayores de la personalidad: Nivel 3,,
552,1,52372,Enfermedades arteriales y venosas crónicas - mayor: Nivel 2,,
587,1,86472,Neoplasia de pulmón: Nivel 2,,
945,1,51772,Anomalías cardiacas septales mayores y cianóticas complejas: Nivel 2,,
904,1,54774,Nefritis: Nivel 4,,
664,1,10100,Diagnósticos de neoplasia sin otra enfermedad significativa,,
710,1,70301,EPOC - Enfermedad coronaria avanzada - Otra enfermedad crónica dominante: Nivel 1,,
1012,1,53454,Estenosis espinal: Nivel 4,,
161,1,62202,Otra enfermedad dominante crónica y neoplasia de próstata: Nivel 2,,
363,1,61702,Esquizofrenia y otra enfermedad dominante crónica: Nivel 2,,
729,1,62901,Enfermedad psiquiátrica (excepto esquizofrenia) y otra enfermedad crónica: Nivel 1,,
47,1,62422,Asma e hipertensión: Nivel 2,,
990,1,37542,Déficit de atención / Hiperactividad: Nivel 2,,
29,1,61202,EPOC y diabetes: Nivel 2,,
82,1,62012,Enfermedad psiquiátrica (excepto esquizofrenia) y otra enfermedad moderada crónica: Nivel 2,,
672,1,86652,Linfoma no Hodgkin: Nivel 2,,
19,1,51813,Enfermedades valvulares: Nivel 3,,
820,1,70153,Insuficiencia cardiaca - Enfermedad cerebrovascular - Otra enfermedad crónica dominante: Nivel 3,,
867,1,61123,Insuficiencia cardiaca y enfermedad vascular periférica: Nivel 3,,
777,1,57821,Abuso de cocaina: Nivel 1,,
781,1,54731,Insuficiencia renal crónica: Nivel 1,,
10,1,20100,Dos o más enfermedades agudas significativas de diferentes CDMs excluyendo ORL,,
85,1,61402,Diabetes y enfermedad coronaria avanzada: Nivel 2,,
711,1,70112,Insuficiencia cardiaca - Diabetes - Enfermedad cerebrovascular: Nivel 2,,
1044,1,62415,Asma y otra enfermedad moderada crónica: Nivel 5,,
438,1,70111,Insuficiencia cardiaca - Diabetes - Enfermedad cerebrovascular: Nivel 1,,
340,1,61406,Diabetes y enfermedad coronaria avanzada: Nivel 6,,
640,1,61421,Diabetes y asma: Nivel 1,,
28,1,61432,Diabetes y otra enfermedad moderada crónica: Nivel 2,,
737,1,70316,EPOC - Dos o más enfermedades crónicas dominantes: Nivel 6,,
536,1,90702,"Cuadriplejia, diplejia o hemiplejia congénita: Nivel 2",,
226,1,54733,Insuficiencia renal crónica: Nivel 3,,
825,1,56642,Neoplasia genitourinaria: Nivel 2,,
121,1,61226,EPOC y otra enfermedad dominante crónica: Nivel 6,,
249,1,57831,Abuso de opioides: Nivel 1,,
531,1,70232,Diabetes - Dos o más enfermedades crónicas dominantes: Nivel 2,,
260,1,53441,"Historia de fractura de cadera, edad > 64 años: Nivel 1",,
1057,1,52414,Varices en piernas con úlceras o inflamación: Nivel 4,,
546,1,70146,Insuficiencia cardiaca - Enfermedad vascular periférica - Otra enfermedad crónica dominante: Nivel 6,,
520,1,36131,Enfermedades hematológicas crónicas - menor: Nivel 1,,
943,1,10060,Diagnósticos de problema neonatal o congénito mayor sin otra enfermedad significativa,,
7,1,51832,Angina y cardiipatía isquémica: Nivel 2,,
81,1,61444,Diabetes e hipertensión: Nivel 4,,
659,1,70315,EPOC - Dos o más enfermedades crónicas dominantes: Nivel 5,,
871,1,70142,Insuficiencia cardiaca - Enfermedad vascular periférica - Otra enfermedad crónica dominante: Nivel 2,,
167,1,61006,Insuficiencia renal crónica y otras enfermedades crónicas dominantes o moderadas: Nivel 6,,
949,1,86641,Neoplasia genitourinaria: Nivel 1,,
1018,1,53943,Espondiloartropatía y otras artropatías inflamatorias: Nivel 3,,
826,1,51781,Otros diagnósticos cardiacos congénitos mayores excepto valvulares: Nivel 1,,
1002,1,51324,Anomalías respiratorias mayores: Nivel 4,,
75,1,34451,Hiperlipidemia: Nivel 1,,
234,1,35571,"Prematuridad, peso al nacer inferior a 1000 g: Nivel 1",,
847,1,33562,Dolor crónico: Nivel 2,,
748,1,62922,Abuso de drogas crónico moderado y otra enfermedad crónica: Nivel 2,,
617,1,86572,Neoplasia de colón: Nivel 2,,
754,1,62801,Neoplasia de mama y otra enfermedad crónica: Nivel 1,,
92,1,61513,Enfermedad coronaria avanzada y otra enfermedad moderada crónica: Nivel 3,,
611,1,51383,Asma: Nivel 3,,
649,1,50752,"Ceguera, pérdida de visión y diagnósticos oculares crónicos -Mayor/moderado: Nivel 2",,
782,1,61802,"Historia de fractura de cadera, edad > 64 y otra enfermedad dominante crónica: Nivel 2",,
1058,1,52704,Diagnósticos gastrointestinales crónicos - moderado: Nivel 4,,
500,1,54051,Diagnósticos significativos de piel y tejido subcutáneo: Nivel 1,,
76,1,62931,Otra enfermedad dominante crónica y otra enfermedad crónica: Nivel 1,,
370,1,57061,Infecciones crónicas excepto tuberculosis: Nivel 1,,
418,1,53453,Estenosis espinal: Nivel 3,,
300,1,53531,Sustitución de articulación: Nivel 1,,
349,1,61145,Insuficiencia cardiaca y otra enfermedad dominante crónica: Nivel 5,,
974,1,57824,Abuso de cocaina: Nivel 4,,
299,1,57862,Abuso de drogas - Cannabis/NOS/NEC: Nivel 2,,
1019,1,53944,Espondiloartropatía y otras artropatías inflamatorias: Nivel 4,,
434,1,36981,Neoplasias de comportamiento incierto: Nivel 1,,
59,1,61612,Demencia y otra enfermedad moderada crónica: Nivel 2,,
586,1,70021,Insuficiencia renal crónica - Dos o más enfermedades crónicas dominantes: Nivel 1,,
921,1,70161,Insuficiencia cardiaca - Dos o más enfermedades crónicas dominantes: Nivel 1,,
21,1,61322,Enfermedad cerebrovascular y otra enfermedad moderada crónica: Nivel 2,,
30,1,53512,Discopatía y otros diagnósticos crónicos de espalda: Nivel 2,,
64,1,53113,Enfermedad hepática mayor excepto alcohólica: Nivel 3,,
854,1,55834,"Anomalías y síndromes cromosómicos, excepto Down: Nivel 4",,
965,1,70141,Insuficiencia cardiaca - Enfermedad vascular periférica - Otra enfermedad crónica dominante: Nivel 1,,
459,1,61112,Insuficiencia cardiaca y diabetes: Nivel 2,,
287,1,56102,Diagnósticos hematológicos crónicos e inmunes - Moderado: Nivel 2,,
1040,1,57513,Diagnósticos de salud mental crónicos - Moderado: Nivel 3,,
562,1,33582,Diagnósticos articulares y musculoesqueléticos crónicos - menor: Nivel 2,,
766,1,34101,Diagnósticos crónicos de piel - menor: Nivel 1,,
797,1,51782,Otros diagnósticos cardiacos congénitos mayores excepto valvulares: Nivel 2,,
506,1,61721,Esquizofrenia y otra enfermedad crónica: Nivel 1,,
828,1,57833,Abuso de opioides: Nivel 3,,
218,1,80013,Neoplasias dominantes primarias múltiples: Nivel 3,,
184,1,70303,EPOC - Enfermedad coronaria avanzada - Otra enfermedad crónica dominante: Nivel 3,,
856,1,34831,Infecciones recurrentes del tracto urinario: Nivel 1,,
474,1,34081,Neoplasias de piel: Nivel 1,,
156,1,61454,Diabetes y otra enfermedad crónica: Nivel 4,,
1014,1,53523,Artropatía por cristales: Nivel 3,,
638,1,31011,Otros diagnósticos crónicos de ORL: Nivel 1,,
689,1,31411,Bronquitis crónica: Nivel 1,,
868,1,61121,Insuficiencia cardiaca y enfermedad vascular periférica: Nivel 1,,
627,1,53442,"Historia de fractura de cadera, edad > 64 años: Nivel 2",,
235,1,51831,Angina y cardiipatía isquémica: Nivel 1,,
544,1,52663,Enfermedad inflamatoria intestinal: Nivel 3,,
560,1,61502,Enfermedad coronaria avanzada y otra enfermedad dominante crónica: Nivel 2,,
534,1,56561,Leucemia no linfática aguda: Nivel 1,,
761,1,54244,Diabetes: Nivel 4,,
745,1,70163,Insuficiencia cardiaca - Dos o más enfermedades crónicas dominantes: Nivel 3,,
877,1,54413,Obesidad: Nivel 3,,
952,1,70414,Enfermedad coronaria avanzada - Dos o más enfermedades crónicas dominantes: Nivel 4,,
252,1,51342,Otros diagnósticos pulmonares crónicos mayores: Nivel 2,,
1082,1,7,Enfermedad dominante crónica en tres o más sistemas orgánicos,,
61,1,56631,Neoplasia de próstata: Nivel 1,,
695,1,54732,Insuficiencia renal crónica: Nivel 2,,
563,1,10030,Parto sin complicaciones sin otra enfermedad significativa,,
733,1,61115,Insuficiencia cardiaca y diabetes: Nivel 5,,
327,1,30801,Diagnósticos oculares crónicos - menor: Nivel 1,,
941,1,56072,Trastornos de la coagulación: Nivel 2,,
903,1,57062,Infecciones crónicas excepto tuberculosis: Nivel 2,,
183,1,51904,Estado de dispositivo cardiaco: Nivel 4,,
341,1,61134,Insuficiencia cardiaca y enfermedad cerebrovascular: Nivel 4,,
1053,1,70506,Enfermedad cerebrovascular -Dos o más enfermedades crónicas dominantes: Nivel 6,,
129,1,70014,Insuficiencia renal crónica - Otra enfermedad crónica dominante: Nivel 4,,
496,1,61704,Esquizofrenia y otra enfermedad dominante crónica: Nivel 4,,
126,1,51822,Historia de Infarto Agudo de Miocardio: Nivel 2,,
977,1,50071,Parálisis cerebral NOS: Nivel 1,,
556,1,51332,EPOC y bronquiectasias: Nivel 2,,
1063,1,56053,Enfermedades inmunes y leucocitarias: Nivel 3,,
1077,1,2,Historia de enfermedad aguda significativa,,
415,1,61303,Enfermedad cerebrovascular y diabetes: Nivel 3,,
842,1,70144,Insuficiencia cardiaca - Enfermedad vascular periférica - Otra enfermedad crónica dominante: Nivel 4,,
421,1,61133,Insuficiencia cardiaca y enfermedad cerebrovascular: Nivel 3,,
211,1,51343,Otros diagnósticos pulmonares crónicos mayores: Nivel 3,,
238,1,51794,Insuficiencia cardiaca: Nivel 4,,
744,1,56641,Neoplasia genitourinaria: Nivel 1,,
193,1,61426,Diabetes y asma: Nivel 6,,
49,1,61401,Diabetes y enfermedad coronaria avanzada: Nivel 1,,
1032,1,56532,Leucemia no linfática crónica: Nivel 2,,
919,1,86531,Leucemia no linfática crónica: Nivel 1,,
350,1,70205,Diabetes - Enfermedad coronaria avanzada - Otra enfermedad crónica dominante: Nivel 5,,
803,1,80014,Neoplasias dominantes primarias múltiples: Nivel 4,,
978,1,61822,"Historia de fractura de cadera, edad > 64 y otra enfermedad crónica: Nivel 1",,
592,1,57471,trastornos bipolares: Nivel 1,,
479,1,61215,EPOC y enfermedad coronaria avanzada: Nivel 5,,
285,1,61165,Insuficiencia cardiaca y otra enfermedad moderada crónica: Nivel 5,,
255,1,61701,Esquizofrenia y otra enfermedad dominante crónica: Nivel 1,,
860,1,56601,Linfoma de Hodgkin: Nivel 1,,
515,1,90801,Cuadriplejia adquirida o estado vegetativo permanente: Nivel 1,,
608,1,35111,"Enfermedad prostática, infertilidad y neoplasias benignas, varones: Nivel 1",,
864,1,70413,Enfermedad coronaria avanzada - Dos o más enfermedades crónicas dominantes: Nivel 3,,
573,1,86562,Leucemia no linfática aguda: Nivel 2,,
633,1,61715,Esquizofrenia y otra enfermedad moderada crónica: Nivel 5,,
491,1,30782,Glaucoma: Nivel 2,,
1070,1,55883,Retraso mental leve / moderado: Nivel 3,,
198,1,70712,Diabetes - Hipertensión - Otra enfermedad crónica dominante: Nivel 2,,
155,1,62614,Enfermedad dominante crónica y otra enfermedad crónica: Nivel 4,,
5,1,62011,Enfermedad psiquiátrica (excepto esquizofrenia) y otra enfermedad moderada crónica: Nivel 1,,
575,1,61712,Esquizofrenia y otra enfermedad moderada crónica: Nivel 2,,
606,1,80024,Neoplasias no dominantes primarias múltiples: Nivel 4,,
346,1,61423,Diabetes y asma: Nivel 3,,
874,1,53492,"Deformidades de pélvis, cadera y fémur: Nivel 2",,
107,1,61002,Insuficiencia renal crónica y otras enfermedades crónicas dominantes o moderadas: Nivel 2,,
799,1,70162,Insuficiencia cardiaca - Dos o más enfermedades crónicas dominantes: Nivel 2,,
581,1,62314,Otra neoplasia no dominante y otra enfermedad moderada crónica: Nivel 4,,
624,1,62406,Otra enfermedad dominante crónica y asma: Nivel 6,,
186,1,61003,Insuficiencia renal crónica y otras enfermedades crónicas dominantes o moderadas: Nivel 3,,
910,1,50754,"Ceguera, pérdida de visión y diagnósticos oculares crónicos -Mayor/moderado: Nivel 4",,
397,1,86541,Mieloma múltiple: Nivel 1,,
237,1,70704,Diabetes - Enfermedad cerebrovascular - Hipertensión: Nivel 4,,
101,1,62111,Neoplasia de mama y otra enfermedad moderada crónica: Nivel 1,,
734,1,61144,Insuficiencia cardiaca y otra enfermedad dominante crónica: Nivel 4,,
362,1,57502,Trastornos mayores de la personalidad: Nivel 2,,
435,1,54392,Diagnósticos endocrinos y metabólicos crónicos - Mayor: Nivel 2,,
343,1,62503,Otra enfermedad dominante crónica y abuso de drogas crónico moderado: Nivel 3,,
849,1,34102,Diagnósticos crónicos de piel - menor: Nivel 2,,
835,1,86551,Leucemia linfática aguda: Nivel 1,,
56,1,62604,Enfermedad dominante crónica y una o más enfermedades moderadas crónicas: Nivel 4,,
443,1,54391,Diagnósticos endocrinos y metabólicos crónicos - Mayor: Nivel 1,,
441,1,62401,Otra enfermedad dominante crónica y asma: Nivel 1,,
699,1,90101,Diálisis con diabetes: Nivel 1,,
836,1,54052,Diagnósticos significativos de piel y tejido subcutáneo: Nivel 2,,
146,1,61403,Diabetes y enfermedad coronaria avanzada: Nivel 3,,
598,1,61623,Demencia y otra enfermedad crónica: Nivel 3,,
687,1,61111,Insuficiencia cardiaca y diabetes: Nivel 1,,
221,1,86483,Neoplasia de páncreas: Nivel 3,,
34,1,61223,EPOC y otra enfermedad dominante crónica: Nivel 3,,
358,1,57481,"Trastornos de la conducta, del control de los impulsos y del comportamiento : Nivel 1",,
199,1,54423,"Diagnósticos endocrinos, nutricionales, hidroelectrolíticos e inmunes crónicos - Moderado: Nivel 3",,
176,1,90304,Enfermedad HIV: Nivel 4,,
629,1,61102,EPOC e Insuficiencia cardiaca: Nivel 2,,
428,1,90701,"Cuadriplejia, diplejia o hemiplejia congénita: Nivel 1",,
959,1,56522,Leucemia linfática crónica: Nivel 2,,
790,1,61602,Demencia y otra enfermedad dominante crónica: Nivel 2,,
290,1,61152,Insuficiencia cardiaca y demencia: Nivel 2,,
400,1,54792,Diagnósticos genitourinarios crónicos: Nivel 2,,
431,1,61245,EPOC e hipertensión: Nivel 5,,
767,1,55841,Retraso mental severo / profundo: Nivel 1,,
616,1,50132,Enfermedad cerebrovascular sin infarto: Nivel 2,,
516,1,52661,Enfermedad inflamatoria intestinal: Nivel 1,,
539,1,70134,Insuficiencia cardiaca - EPOC - Otra enfermedad crónica dominante: Nivel 4,,
819,1,90903,Espina bífida: Nivel 3,,
437,1,86513,Neoplasia de aparato digestivo: Nivel 3,,
609,1,61816,"Historia de fractura de cadera, edad > 64 y otra enfermedad moderada crónica: Nivel 6",,
727,1,62921,Abuso de drogas crónico moderado y otra enfermedad crónica: Nivel 1,,
388,1,61616,Demencia y otra enfermedad moderada crónica: Nivel 6,,
288,1,62104,Otra enfermedad dominante crónica y neoplasia de mama: Nivel 4,,
725,1,61621,Demencia y otra enfermedad crónica: Nivel 1,,
215,1,54742,Estado de trasplante renal: Nivel 2,,
298,1,62402,Otra enfermedad dominante crónica y asma: Nivel 2,,
792,1,62822,Otra neoplasia no dominante y otra enfermedad crónica: Nivel 2,,
173,1,61445,Diabetes e hipertensión: Nivel 5,,
741,1,20830,Diagnósticos de enfermedad mental mayor o abuso de drogas con otra enfermedad significativa,,
302,1,50064,Enfermedad de Alzheimer y otras demencias: Nivel 4,,
331,1,34452,Hiperlipidemia: Nivel 2,,
736,1,62602,Enfermedad dominante crónica y una o más enfermedades moderadas crónicas: Nivel 2,,
845,1,70305,EPOC - Enfermedad coronaria avanzada - Otra enfermedad crónica dominante: Nivel 5,,
1039,1,57504,Trastornos mayores de la personalidad: Nivel 4,,
970,1,20790,Diagnósticos catastróficos con otra enfermedad significativa,,
850,1,70606,Tres o más enfermedades crónicas dominantes: Nivel 6,,
182,1,90302,Enfermedad HIV: Nivel 2,,
374,1,62014,Enfermedad psiquiátrica (excepto esquizofrenia) y otra enfermedad moderada crónica: Nivel 4,,
230,1,61125,Insuficiencia cardiaca y enfermedad vascular periférica: Nivel 5,,
116,1,62411,Asma y otra enfermedad moderada crónica: Nivel 1,,
294,1,50011,Diagnósticos neurológicos progresivos: Nivel 1,,
940,1,50124,Historia de accidente isquémico transitorio: Nivel 4,,
636,1,61413,Diabetes y otra enfermedad dominante crónica: Nivel 3,,
848,1,51202,Labio leporino y paladar hendido: Nivel 2,,
367,1,10040,Embarazo sin parto sin otra enfermedad significativa,,
632,1,90301,Enfermedad HIV: Nivel 1,,
838,1,86563,Leucemia no linfática aguda: Nivel 3,,
576,1,70603,Tres o más enfermedades crónicas dominantes: Nivel 3,,
378,1,61316,Enfermedad cerebrovascular y otra enfermedad dominante crónica: Nivel 6,,
20,1,51922,Hipertensión: Nivel 2,,
477,1,61806,"Historia de fractura de cadera, edad > 64 y otra enfermedad dominante crónica: Nivel 6",,
694,1,54412,Obesidad: Nivel 2,,
242,1,86524,Leucemia linfática crónica: Nivel 4,,
930,1,61805,"Historia de fractura de cadera, edad > 64 y otra enfermedad dominante crónica: Nivel 15",,
32,1,10160,Diagnósticos de diabetes sin otra enfermedad significativa,,
445,1,86622,Neoplasia de mama: Nivel 2,,
472,1,51892,Historia de ACTP: Nivel 2,,
1042,1,57844,Abuso crónico de alcohol: Nivel 4,,
614,1,61312,Enfermedad cerebrovascular y otra enfermedad dominante crónica: Nivel 2,,
427,1,91001,Distrofia muscular progresiva o atrofia espinal muscular: Nivel 1,,
538,1,61505,Enfermedad coronaria avanzada y otra enfermedad dominante crónica: Nivel 5,,
102,1,70016,Insuficiencia renal crónica - Otra enfermedad crónica dominante: Nivel 6,,
488,1,20720,Parto con complicaciones con otra enfermedad significativa,,
706,1,35101,Hiperplasia benigna de próstata: Nivel 1,,
770,1,56071,Trastornos de la coagulación: Nivel 1,,
232,1,61506,Enfermedad coronaria avanzada y otra enfermedad dominante crónica: Nivel 6,,
265,1,61803,"Historia de fractura de cadera, edad > 64 y otra enfermedad dominante crónica: Nivel 3",,
324,1,56582,Otras neoplasias: Nivel 2,,
467,1,61231,EPOC y otra enfermedad moderada crónica: Nivel 1,,
554,1,36982,Neoplasias de comportamiento incierto: Nivel 2,,
774,1,70106,Insuficiencia cardiaca - Diabetes - EPOC: Nivel 6,,
212,1,53544,Osteoporosis: Nivel 4,,
22,1,62413,Asma y otra enfermedad moderada crónica: Nivel 3,,
843,1,56622,Neoplasia de mama: Nivel 2,,
4,1,70702,Diabetes - Enfermedad cerebrovascular - Hipertensión: Nivel 2,,
127,1,20600,Procedimiento agudo significativo,,
651,1,86643,Neoplasia genitourinaria: Nivel 3,,
371,1,61453,Diabetes y otra enfermedad crónica: Nivel 3,,
574,1,62904,Enfermedad psiquiátrica (excepto esquizofrenia) y otra enfermedad crónica: Nivel 4,,
140,1,54243,Diabetes: Nivel 3,,
177,1,62301,Otra enfermedad dominante crónica y otra neoplasia no dominante: Nivel 1,,
667,1,86514,Neoplasia de aparato digestivo: Nivel 4,,
109,1,51833,Angina y cardiipatía isquémica: Nivel 3,,
584,1,51803,Otros diagnósticos cardiovasculares - mayor: Nivel 3,,
455,1,61142,Insuficiencia cardiaca y otra enfermedad dominante crónica: Nivel 2,,
955,1,20760,Diagnósticos de problema neonatal o congénito mayor con otra enfermedad significativa,,
1041,1,57834,Abuso de opioides: Nivel 4,,
197,1,62512,Abuso de drogas crónico moderado y otra enfermedad moderada crónica: Nivel 2,,
583,1,86533,Leucemia no linfática crónica: Nivel 3,,
585,1,86492,Neoplasia renal: Nivel 2,,
846,1,86564,Leucemia no linfática aguda: Nivel 4,,
361,1,50043,Enfermedad cerebrovascular con infarto o hemorragia intracraneal: Nivel 3,,
798,1,57474,trastornos bipolares: Nivel 4,,
1062,1,55891,Retraso en el desarrollo NOS/NEC/Mixto: Nivel 1,,
345,1,70401,Enfermedad coronaria avanzada -Enfermedad vascular periférica - Otra enfermedad crónica dominante: Nivel 1,,
52,1,70411,Enfermedad coronaria avanzada - Dos o más enfermedades crónicas dominantes: Nivel 1,,
399,1,57823,Abuso de cocaina: Nivel 3,,
530,1,61001,Insuficiencia renal crónica y otras enfermedades crónicas dominantes o moderadas: Nivel 1,,
527,1,61136,Insuficiencia cardiaca y enfermedad cerebrovascular: Nivel 6,,
468,1,70022,Insuficiencia renal crónica - Dos o más enfermedades crónicas dominantes: Nivel 2,,
596,1,61243,EPOC e hipertensión: Nivel 3,,
51,1,61521,Enfermedad coronaria avanzada y otra enfermedad crónica: Nivel 1,,
548,1,-1,NO CONSTA,,
870,1,33561,Dolor crónico: Nivel 1,,
306,1,62212,Neoplasia de próstata y otra enfermedad moderada crónica: Nivel 2,,
207,1,61104,EPOC e Insuficiencia cardiaca: Nivel 4,,
219,1,30181,Migraña: Nivel 1,,
195,1,34091,Psoriasis: Nivel 1,,
947,1,56552,Leucemia linfática aguda: Nivel 2,,
256,1,61116,Insuficiencia cardiaca y diabetes: Nivel 6,,
144,1,86502,Neoplasia de ovario: Nivel 2,,
788,1,57861,Abuso de drogas - Cannabis/NOS/NEC: Nivel 1,,
979,1,50052,Diagnósticos neurodegenerativos excepto esclerosis múltiple y Parkinson: Nivel 2,,
764,1,53513,Discopatía y otros diagnósticos crónicos de espalda: Nivel 3,,
141,1,70215,Diabetes - Enfermedad cerebrovascular - Otra enfermedad crónica dominante: Nivel 5,,
635,1,90602,Historia de trasplante orgánico mayor: Nivel 2,,
257,1,90704,"Cuadriplejia, diplejia o hemiplejia congénita: Nivel 4",,
420,1,61801,"Historia de fractura de cadera, edad > 64 y otra enfermedad dominante crónica: Nivel 1",,
822,1,61724,Esquizofrenia y otra enfermedad crónica: Nivel 4,,
851,1,61824,"Historia de fractura de cadera, edad > 64 y otra enfermedad crónica: Nivel 4",,
590,1,10010,Estado sano - no usuario,,
192,1,80011,Neoplasias dominantes primarias múltiples: Nivel 1,,
190,1,55821,Síndrome de Down: Nivel 1,,
1010,1,53433,"Diagnósticos congénitos mayores de hueso, cartílago y músculo: Nivel 3",,
236,1,33571,Ostroartritis: Nivel 1,,
1009,1,52692,Anomalías gastrointestinales: Nivel 2,,
54,1,61302,Enfermedad cerebrovascular y diabetes: Nivel 2,,
760,1,52411,Varices en piernas con úlceras o inflamación: Nivel 1,,
891,1,35572,"Prematuridad, peso al nacer inferior a 1000 g: Nivel 2",,
293,1,70403,Enfermedad coronaria avanzada -Enfermedad vascular periférica - Otra enfermedad crónica dominante: Nivel 3,,
561,1,53941,Espondiloartropatía y otras artropatías inflamatorias: Nivel 1,,
509,1,51872,Arritmias cardiacas y trastornos de la conducción: Nivel 2,,
115,1,62704,Otras dos enfermedades crónicas moderadas: Nivel 4,,
610,1,86494,Neoplasia renal: Nivel 4,,
447,1,61173,Insuficiencia cardiaca y otra enfermedad crónica: Nivel 3,,
157,1,54411,Obesidad: Nivel 1,,
691,1,70602,Tres o más enfermedades crónicas dominantes: Nivel 2,,
709,1,54421,"Diagnósticos endocrinos, nutricionales, hidroelectrolíticos e inmunes crónicos - Moderado: Nivel 1",,
654,1,86491,Neoplasia renal: Nivel 1,,
567,1,62003,Otra enfermedad dominante crónica y enfermedad psiquiátrica (excepto esquizofrenia): Nivel 3,,
1034,1,57072,Tuberculosis secundaria: Nivel 2,,
241,1,61714,Esquizofrenia y otra enfermedad moderada crónica: Nivel 4,,
1016,1,53534,Sustitución de articulación: Nivel 4,,
658,1,55831,"Anomalías y síndromes cromosómicos, excepto Down: Nivel 1",,
647,1,51171,Anomalías del cráneo y de los huesos faciales: Nivel 1,,
191,1,53543,Osteoporosis: Nivel 3,,
291,1,56611,Neoplasia de proteinas plasmáticas: Nivel 1,,
643,1,70122,Insuficiencia cardiaca - Diabetes - Otra enfermedad crónica dominante: Nivel 2,,
967,1,31961,Diagnósticos cardiovasculares crónicos - menor: Nivel 1,,
14,1,54791,Diagnósticos genitourinarios crónicos: Nivel 1,,
223,1,86583,Otras neoplasias: Nivel 3,,
793,1,10150,"Diagnósticos gastrointestinales, hepáticos, renales o de hernia significativos sin otra enfermedad significativa",,
15,1,20500,Enfermedad aguda significativa de ORL,,
789,1,62606,Enfermedad dominante crónica y una o más enfermedades moderadas crónicas: Nivel 6,,
69,1,53482,Anomalía o curvatura de columna: Nivel 2,,
591,1,86512,Neoplasia de aparato digestivo: Nivel 2,,
908,1,51884,Historia de by-pass coronario: Nivel 1,,
976,1,54783,Anomalías de riñón o tracto urinario: Nivel 3,,
802,1,70503,Enfermedad cerebrovascular -Dos o más enfermedades crónicas dominantes: Nivel 3,,
247,1,56103,Diagnósticos hematológicos crónicos e inmunes - Moderado: Nivel 3,,
841,1,56521,Leucemia linfática crónica: Nivel 1,,
1000,1,51322,Anomalías respiratorias mayores: Nivel 2,,
175,1,70105,Insuficiencia cardiaca - Diabetes - EPOC: Nivel 5,,
529,1,50142,Epilepsia: Nivel 2,,
1075,1,0,Sin Clasificar,,
382,1,61132,Insuficiencia cardiaca y enfermedad cerebrovascular: Nivel 2,,
