cod_prinactivo,Frequency.1,codes,spanish description,english description,comment
1759,1,201341A,DOLUTEGRAVIR + ABACAVIR + LAMIVUDINA,,
7,1,100188A,VARENICLINA,,
659,1,201127A,ADAPALENO + PEROXIDO DE BENZOILO,,
871,1,2329A,FEPRADINOL,,
1187,1,300527A,APOSITOS B OSTOM RES SINT ACOPLAM ADH,,
1285,1,3037A,SOBREROL,,
1883,1,689A,COLISTINA,,
826,1,215A,SIMETICONA,,
2144,1,201043A,"POLISACARIDOS CAPSULARES PNEUMOCOCO SEROTIPOS 4,6B,9V,14,19F,23F + OLIGOSACARIDO 18C",,
75,1,1036A,TROSPIO,,
234,1,1659A,GLICOPIRRONIO,,
847,1,2225A,ROXITROMICINA,,
748,1,201305A,TAMSULOSINA + SOLIFENACINA,,
2121,1,2923A,ATAZANAVIR,,
1211,1,300698A,COMPLETAS POLIMERICAS HIPERPROTEICA HIPOCALORICAS,,
1530,1,73A,GOMENOL*,,
1402,1,471A,BENCIDAMINA,,
92,1,108A,AMOXICILINA,,
1132,1,300325A,INHALADOR,,
611,1,200952A,BECLOMETASONA DIPROPIONATO + FUMARATO FORMOTEROL DIHIDRATO,,
649,1,201114A,PIOGLITAZONA + GLIMEPIRIDE,,
1377,1,3895A,CEFONICID,,
1444,1,583A,CEFAZOLINA,,
1252,1,300779A,APOSITO DE ESPUMA POLIURETANO EXTRAFINO CON SILICONA,,
782,1,201371A,MIOINOSITOL + ACIDO FÓLICO+ VITAMINA D,,
1058,1,2952A,BEVACIZUMAB,,
1094,1,300116A,BOLSAS RESINA SINTETICA  FILTRO,,
500,1,200700A,BECLOMETASONA + CLIOQUINOL,,
76,1,1037A,NITROGLICERINA,,
2118,1,8008A,HIDROETILCELULOSA,,
1320,1,326A,ESPIRONOLACTONA,,
1282,1,3021A,SENOSIDOS A-B,,
1748,1,2442A,ROTAVIRUS,,
370,1,200239A,GRAMICIDINA + NEOMICINA + POLIMIXINA B,,
418,1,200373A,POTASIO CITRATO + CITRICO ACIDO,,
1708,1,300595A,COLECTOR BOLSA RECOGIDA ORINA FEMENINO,,
1897,1,300862A,CAMARA INHALACION + MASCARILLA NEONATOS,,
1019,1,2809A,RACECADOTRILO,,
921,1,2495A,OCTREOTIDA,,
1580,1,8281A,RIVAROXABAN,,
1349,1,365A,TEOFILINA,,
21,1,100275A,PASTA DENTIFRICA,,
30,1,100294A,PROTECTOR DE PIEL,,
2193,1,201022A,"ANTIGENO POLISACARIDO MENINGOCOCO A,C,W,Y",,
1804,1,100325A,JABON LIQUIDO,,
287,1,1909A,MEPIVACAINA,,
562,1,200853A,TRETINOINA + ERITROMICINA,,
2073,1,8290A,USTEKINUMAB,,
1515,1,7298A,APOMORFINA,,
2183,1,200438A,SOLUCION RINGER,,
828,1,2170A,PLANTAGO OVATA,,
1673,1,9999A,AGUA PARA INYECCION,,
218,1,159A,FLUVOXAMINA,,
2064,1,300837A,APOSITO DE CELULOSA CON PETROLATO,,
1643,1,890PR,TESTOSTERONA PROPIONATO,,
856,1,2277A,ALBENDAZOL,,
474,1,200620A,FLUOCINOLONA + GRAMICIDINA + NEOMICINA,,
156,1,1290A,HIDROXOCOBALAMINA,,
1014,1,2794A,CANDESARTAN,,
1180,1,300489A,GASA ESTERIL ALGODON HIDROFILO COMPRESA,,
1191,1,300610A,OBTURADOR ANAL,,
235,1,1660A,GLISENTIDA,,
1431,1,545A,CALAMINA*,,
2015,1,138A,ZINC,,
1126,1,300258A,"FORMULAS ESPECIALES EXENTAS DE FENILALANINA (AA+HC O LIPIDOS, O AMBOS)",,
761,1,201324A,CANAGLIFLOZINA + METFORMINA,,
1277,1,300851A,COMPLETAS POLIMERICAS HIPERPROTEICA HIPOCALORICAS CON FIBRA,,
1755,1,200878A,IODO TINTURA + QUELIDONIO ALCOHOLATURA +AC. SALICILICO + TUYA TINTURA + AC. ACETICO,,
1183,1,300509A,MEDIA COMP NORMAL PREMAMA,,
1472,1,668A,CLOROQUINA,,
2196,1,201240A,ACIDO ASCORBICO + TOCOFEROL + CAFE + CARTAMO + L-CARNITINA + CAYENA,,
2061,1,8019A,FENOTRINA,,
2087,1,300799A,APOSITO DE HIDROGEL CON BORDE,,
1497,1,7153A,MELOXICAM,,
61,1,100419A,GEL PIERNAS CANSADAS,,
2178,1,1735A,MERCUROCROMO,,
2277,1,7159A,MIFEPRISTONA,,
733,1,201275A,CLINDAMICINA + TRETINOINA,,
1664,1,967A,CLARITROMICINA,,
941,1,2574A,POLIVINILICO ALCOHOL,,
1675,1,9A,RETINOL,,
1053,1,2934A,INSULINA DETEMIR,,
126,1,1186A,ALITRETINOINA,,
1194,1,300629A,SONDA VESICAL BAJA FRICCIÓN HOMBRE NELATON CON BOLSA DE RECOGIDA DE ORINA,,
556,1,200841A,LIDOCAINA + CARRAGAHEN  + TITANIO OXIDO,,
1670,1,98A,ACETOHIDROXAMICO ACIDO,,
1780,1,9071A,PEGINTERFERON BETA-1A,,
1421,1,5070A,TERIPARATIDA,,
421,1,200383A,PROPIFENAZONA + CAFEINA + PIRIDOXINA + TIAMINA,,
1496,1,710A,DEFEROXAMINA,,
211,1,1571A,FLUOROMETOLONA,,
238,1,1666A,GLUCOSAMINA,,
744,1,201292A,METILTIONINIO + TETRIZOLINA,,
193,1,1474A,ETILEFRINA,,
2031,1,1401A,ECHINEACEA ANGUSTIFOLIA,,
2239,1,200096A,CINARIZINA + HEPTAMINOL,,
1689,1,8758A,MACITENTAN,,
919,1,2482A,ENOXAPARINA,,
350,1,200168A,DOXICICLINA  + TRIPSINA + QUIMOTRIPSINA,,
1853,1,200939A,EFAVIRENZ + TENOFOVIR + EMTRICITABINA,,
479,1,200636A,ENALAPRIL + NITRENDIPINO,,
1624,1,8653A,NALMEFENO,,
285,1,1906A,PETIDINA,,
1271,1,300806A,LAMINA POLIURETANO TRANSPARENTE,,
860,1,2291A,BUDESONIDA,,
515,1,200741A,TIMOLOL + DORZOLAMIDA,,
608,1,200949A,ESENCIA CLAVO + TETRACAINA CLORHIDRATO + CLORURO BENZALCONIO + FENOL + MENTOL,,
1239,1,300761A,APOSITO DE COLAGENO,,
573,1,200871A,ACIDO SALICILICO + ACIDO ACETICO,,
1791,1,8537A,RILPIVIRINA,,
1070,1,300006A,ACCES SIST IRRIG COLOST,,
1514,1,7283A,ACAMPROSATO,,
198,1,150AD,FLUOCINOLONA ACETONIDO,,
1609,1,84A,CLOROFILA,,
5,1,100166A,FORMULA MAGISTRAL,,
107,1,1137A,LAUROMACROGOL 400 (POLIDOCANOL),,
799,1,2092C,VASELINA LIQUIDA*,,
1944,1,8400A,CORIFOLITROPINA ALFA,,
581,1,200881A,AC. SALICILICO + AC. LACTICO + AC. ACETICO + ACEITE DE RICINO,,
1783,1,957A,ISOPROPILICO ALCOHOL,,
186,1,1434A,ESPIRAMICINA,,
910,1,2452A,PODOFILOTOXINA,,
397,1,200309A,MICONAZOL + INOSINA + GUANOSINA + VITAMINA F,,
1304,1,318A,ALOPURINOL,,
1249,1,300774A,APOSITO DE ESPUMA POLIURETANO CON SILICONA FIBRAS Y BORDE,,
101,1,1121A,EMEDASTINA,,
1647,1,90396A,LACTOBACILLUS PLANTARUM,,
1679,1,2228A,PROTAMINA,,
343,1,200149A,DICLOFENACO + MISOPROSTOL,,
1110,1,300205A,CINTURON OSTOMIA,,
888,1,2370A,GANCICLOVIR,,
441,1,200512A,SULPIRIDA + DIAZEPAM + PIRIDOXINA,,
1595,1,8357A,SAXAGLIPTINA,,
1558,1,8077A,EXENATIDA,,
1974,1,201357A,TESTOSTERONA PROPIONATO + HIDROCORTISONA,,
1250,1,300775A,APOSITO DE ESPUMA POLIURETANO CON VASELINA,,
836,1,21FO,CALCIO FOSFATO*,,
1469,1,64A,MONTELUKAST,,
598,1,200926A,RAMIPRIL + HIDROCLOROTIAZIDA,,
1707,1,2895A,MOROCTOGOC ALFA,,
199,1,1515A,FENILALANINA,,
176,1,138OX,ZINC OXIDO*,,
1671,1,9924A,EPINASTINA,,
1328,1,3341A,SUERO FISIOLOGICO*,,
629,1,201036A,LERCANIDIPINA + ENALAPRIL,,
1337,1,346A,BUSERELINA,,
1640,1,888A,METILPREDNISOLONA,,
1669,1,988A,PROCAINA,,
2258,1,201065A,MONOFLUORURO FOSFATO SODICO+FLUORURO SODICO,,
959,1,263A,LAURILSULFATO,,
790,1,2041A,NORTRIPTILINA,,
1144,1,300353A,PARCHES OCULARES GRANDES,,
400,1,200324A,NEOMICINA + CENTELLA ASIATICA EXTO,,
1793,1,1788A,ISOLEUCINA,,
1426,1,519A,FLUOCORTINA,,
767,1,201332A,L-METIONINA + FITINA,,
1237,1,300759A,APOSITO DE ALGINATO CON HIDROCOLOIDE,,
1818,1,201175A,DRONABINOL + CANNABIDIOL,,
1998,1,200864A,SALICILICO ACIDO + BENZOCAINA,,
2100,1,5036A,FENOXIBENZAMINA,,
516,1,200744A,VIBRIO CHOLERAE + TOXINA COLERA RECOMBINANTE,,
2252,1,200829A,TE VERDE + RIBES NIGRUM EXTO.,,
819,1,2145A,MISOPROSTOL,,
1784,1,100331A,AGUJA INSULINA,,
1814,1,8600A,ENZALUTAMIDA,,
609,1,200950A,PASTA LASSAR,,
388,1,200288A,LISINOPRIL + HIDROCLOROTIAZIDA,,
2191,1,200962A,MANITOL + CLORURO POTASIO + GLUCOSA,,
1438,1,55A,FENOBARBITAL,,
725,1,201262A,COLECALCIFEROL + CALCIO + MAGNESIO + LACTOBACILLUS SPOROGENES + EXTRACTO DE SOJA + EXTRACTO DE MAGNOLIA,,
2020,1,138EW,ZINC DIBUTILDITIOCARBAMATO,,
1506,1,7234A,TERBINAFINA,,
1732,1,1358A,TRIPELENAMINA,,
1332,1,33A,ALPROSTADIL,,
741,1,201286A,ACIDO ALGINICO+BICARNONATO SODICO+BICARBONATO CALCIO,,
302,1,1966A,METRONIDAZOL,,
331,1,200094A,CILAZAPRIL + HIDROCLOROTIAZIDA,,
1214,1,300702A,FORMULAS EXENTAS DE PROTEINAS,,
1561,1,8092A,RUFINAMIDA,,
1787,1,201293A,MENINGOCOCO B VACUNA,,
1878,1,2964A,COMPLEJO HIERRO (III) SACAROSA,,
1039,1,2879A,LEVOFOLINATO DE CALCIO,,
1368,1,3848A,GAMMAGLOBULINA ANTIHEPATITIS B,,
970,1,2684A,LEVODROPROPIZINA,,
2248,1,200476A,VIRUS POLIO TRIVALENTE,,
1725,1,300846A,SONDA GASTROSTOMIA,,
116,1,1167A,LEVETIRACETAM,,
636,1,201076A,NEBIVOLOL + HIDROCLOROTIAZIDA,,
1827,1,2550A,IDARUBICINA,,
1287,1,3100A,TERBUTALINA,,
838,1,2207A,PROCAINAMIDA,,
2154,1,2742A,ROPIVACAINA,,
1869,1,8050A,NATALIZUMAB,,
1547,1,775A,DIHIDROCODEINA,,
694,1,201193A,SULFAMETIZOL + FENAZOPIRIDINA,,
242,1,1693A,HALOPERIDOL,,
1976,1,201366A,AC. RETINOICO + ACETONIDO TRIAMCINOLONA,,
472,1,200618A,"IRBESARTAN + HIDROCLOROTIAZIDA 150/12,5",,
1042,1,2888A,PIMECROLIMUS,,
1397,1,453A,AMBROXOL,,
538,1,200797A,ETONOGESTREL + ETINILESTRADIOL,,
488,1,200664A,ESCOPOLAMINA + AZINTAMIDA,,
2149,1,204A,ICODEXTRINA,,
2237,1,200036A,ANTIGENO HEPATITIS B + ANTIGENO HEPATITIS A,,
1867,1,501283LR,BACTERIAS GENERFARMA,,
770,1,201335A,MELATONINA + B6 + ZINC + L-TRIPTOFANO,,
1744,1,200433A,SOLUCION NITROGENADA HIPOCALORICA,,
265,1,1802A,JALEA REAL,,
1746,1,201197A,LINIMENTO OLEOCALCAREO + OXIDO DE ZINC,,
1726,1,2583A,VINORELBINA,,
22,1,100276A,DESODORANTE,,
651,1,201116A,VALSARTAN + AMLODIPINO + HIDROCLOROTIAZIDA,,
127,1,118A,ATROPINA,,
371,1,200241A,HIDROCLOROTIAZIDA + AMILORIDA,,
1614,1,856A,DIFLUCORTOLONA,,
140,1,123HH,POTASIO HIDROXIDO,,
1829,1,8044A,SORAFENIB,,
1960,1,1110A,INFLIXIMAB,,
667,1,201147A,ACEITE GOMENOLADO,,
2091,1,100389A,APOSITO DE ESPUMA POLIURETANO CON SILICONA Y BORDE,,
455,1,200585A,RUSCOGENINA + TRIMEBUTINA,,
955,1,2604A,QUAZEPAM,,
1550,1,782A,MINOXIDIL,,
585,1,200892A,HIDROCORTISONA SUCCINATO + RIBOFLAVINA+ PIRIDOXINA + ASCORBATO SODICO,,
1819,1,300811A,OXIDO DE ZINC,,
2156,1,300697A,FORMULAS CON CONTENIDO GRASO EN FORMA DE TRIGLICERIDOS DE CADENA MEDIA,,
846,1,2223A,OFLOXACINO,,
1959,1,200812A,SELENIO + BENZALCONIO,,
2024,1,100399A,BACTERIAS DIATER,,
1701,1,7155A,MEROPENEM,,
361,1,200215A,FLUOCINOLONA + ANTIBIOTICOS,,
1953,1,1853A,LIOTIRONINA,,
2280,1,8100A,ANIDULAFUNGINA,,
1255,1,300784A,APOSITO DE HIDROCOLOIDE CON BORDE,,
52,1,100397A,TOALLITA HIGIENE OCULAR,,
2077,1,300839A,APOSITO CON IODOPOVIDONA,,
399,1,200320A,NEOMICINA + BACITRACINA + POLIMIXINA B,,
468,1,200614A,INSULINA HUMANA ACCION RAPIDA,,
596,1,200924A,CLORFENAMINA + DEXTROMETORFANO + EFEDRINA,,
51,1,100395A,BACTERIAS API,,
1634,1,8722A,ALBIGLUTIDA,,
1839,1,9063A,NINTEDANIB,,
1907,1,2907A,CINACALCET,,
306,1,1996A,NAFAZOLINA,,
2141,1,200914A,OXIMETAZOLINA + CLORFENAMINA,,
219,1,160A,ESTRADIOL,,
947,1,2588A,SALMETEROL,,
1413,1,49A,PROMETAZINA,,
1588,1,8312A,ESLICARBAZEPINA,,
1680,1,2862SO,FENILBUTIRATO SODIO,,
979,1,2717A,MODAFINIL,,
141,1,123MJ,POTASIO PERMANGANATO,,
420,1,200376A,PREDNISOLONA + AMINOACRIDINA + BALSAMO PERU,,
1010,1,2788A,LATANOPROST,,
590,1,200906A,ASOCIACION DE TONICOS,,
190,1,1456A,ESTROGENOS CONJUGADOS,,
1379,1,3899A,MITOTANO,,
236,1,1661A,GLIPIZIDA,,
1009,1,2787A,PRAMIPEXOL,,
1678,1,300840A,APOSITO DE ESPUMA CON POLIHEXAMETILENO BIGUANIDA (PHMB),,
1698,1,8055A,DASATINIB,,
54,1,100403A,GEL EXFOLIANTE,,
891,1,2387A,DOXAZOSINA,,
293,1,1939A,HEPARINOIDES,,
1199,1,300658A,COMPLETAS POLIMERICAS NORMOPROTEICA HIPERCALORICA CON FIBRA,,
1866,1,2883A,PEGINTERFERON ALFA-2 A,,
561,1,200851A,HAMAMELIS EXTO FLUIDO + NEFAZOLINA,,
115,1,1165A,INSULINA GLARGINA,,
2143,1,201009A,RINGER LACTATO SIN MAGNESIO,,
691,1,201184A,"LOSARTAN + HIDROCLOROTIAZIDA 100/12,5",,
709,1,201236A,VASELINA + ACIDO SALICILICO,,
1892,1,300808A,APOSITO DE CELULOSA,,
1929,1,2474A,TEICOPLANINA,,
1034,1,2859A,FROVATRIPTAN,,
1172,1,300472A,TIRAS REACTIVAS GLUCOSA SANGRE,,
1563,1,8101A,ALISKIREN,,
647,1,201103A,DIMETICONA+ZINC OXIDO,,
1916,1,8621A,TRAMETINIB,,
191,1,145A,PANTENOL,,
2274,1,613A,CLEMASTINA,,
1192,1,300613A,BOLSAS COLOST SIST DOBLE PLACA ACOPLAMIENTO ADHESIVO,,
643,1,201098A,TRIAMCINOLONA + PENTOSANOPOLISULFURICO + LIDOCAINA,,
967,1,2664A,VENLAFAXINA,,
1381,1,392CH,AMIODARONA CLORHIDRATO,,
1700,1,2696A,VIRUS VIVOS ATENUADOS VARICELA-ZOSTER,,
1179,1,300487A,SONDA VESICAL BAJA FRICCION NELATON ADOLESCENTE,,
1490,1,7019A,AZITROMICINA,,
1981,1,2610A,ACEITE DE PESCADO,,
793,1,2049A,CIPROFLOXACINO,,
1334,1,3404SO,HIALURONATO SODICO,,
15,1,100265A,CREMA HIDRATANTE FACIAL,,
1697,1,300823A,COMPRESA DE CELULOSA,,
2106,1,201234A,ACIDO LINOLEICO+ALOE VERA+CENTELLA ASIATICA+GINKO BILOBA,,
69,1,100458A,BACTERIAS ACIDO LACTICAS + PREBIOTICOS,,
591,1,200908A,DEXTROMETORFAN + DOXILAMINA + PARACETAMOL + EFEDRINA,,
908,1,2446A,GALANTAMINA,,
1128,1,300262A,"FORMULAS ESPECIALES EXENTAS DE LEUCINA, ISOLEUCINA Y VALINA (AA+HC O LIPIDOS, O AMBOS)",,
1384,1,400048EX,JARABE SIMPLE,,
247,1,1713A,HEXETIDINA,,
2114,1,200941A,FOLITROPINA ALFA + LUTROPINA ALFA,,
1583,1,8295A,BILASTINA,,
841,1,220A,ACENOCUMAROL,,
1000,1,2762A,ACIDO IBANDRONICO,,
2195,1,201122A,OTRAS ASOCIACIONES DE TONICOS,,
529,1,200787A,TETRACAINA + NAFAZOLINA,,
1531,1,7400A,ATORVASTATINA,,
2050,1,8466A,RUXOLITINIB,,
73,1,100A,BENAZEPRIL,,
1061,1,2976A,RASAGILINA,,
2245,1,200307A,METOPROLOL + CLORTALIDONA,,
99,1,1119A,MOXIFLOXACINO,,
1894,1,200847A,BENZALCONIO CLORURO + TRICLOSAN + PARAFINA LIQUIDA,,
1522,1,733A,TAMOXIFENO,,
416,1,200371A,POLIVITAMINAS SOLAS,,
2218,1,362A,OXPRENOLOL,,
1842,1,288A,ALBUMINA HUMANA*,,
1946,1,1982CH,MORFINA CLORHIDRATO,,
1359,1,3746A,DESMOPRESINA,,
1724,1,2865A,CASPOFUNGIN,,
626,1,201013A,INSULINA ASPARTA + INSULINA ASPARTA PROTAMINA,,
248,1,1720A,HIDRALAZINA,,
1302,1,3174A,TRIMIPRAMINA,,
1264,1,300797A,APOSITO DE HIDROGEL,,
2046,1,8278A,CERTOLIZUMAB PEGOL,,
597,1,200925A,TOBRAMICINA + DEXAMETASONA,,
390,1,200290A,"LOSARTAN + HIDROCLOROTIAZIDA  50/12,5",,
535,1,200794A,ATOVACUONA + PROGUANIL,,
2131,1,1570A,FLUORESCEINA,,
1146,1,300355A,PINZAS OSTOMIA,,
1373,1,3874A,FOSFOGLICOPEPTICAL,,
2261,1,2467A,INHIBIDOR DE LA C1 ESTERASA,,
2235,1,1769YD,IBUPROFENO ARGININA,,
292,1,1930A,METENOLONA ENANTATO,,
1881,1,8588A,DABRAFENIB,,
1682,1,201140A,SIMETICONA+PROTEASA+LIPASA+CELULASA+AMILASA,,
188,1,1442A,ESTANOZOLOL,,
619,1,200969A,OLMESARTAN + AMLODIPINO,,
697,1,201201A,GINKGO BILOBA + MAGNESIO,,
1817,1,1107A,EFAVIRENZ,,
154,1,1286A,DIMENHIDRINATO,,
595,1,200923A,DEXTROMETORFAN + BENZOATO SODICO,,
201,1,1547A,FERRITINA,,
2264,1,2886A,PARECOXIB,,
1375,1,3882A,KETOCONAZOL,,
1204,1,300688A,ABSORBENTE INCONTINENCIA LIGERA,,
897,1,2402A,TERAZOSINA,,
1705,1,200364A,PIPERACILINA + TAZOBACTAM,,
2224,1,8476A,TELAPREVIR,,
328,1,200088A,CAPTOPRIL + HIDROCLOROTIAZIDA,,
1251,1,300777A,APOSITO DE ESPUMA POLIURETANO EXTRAFINO,,
580,1,200880A,PIRITIONATO DE ZN + ACEITE DE CACAHUETE + ACEITE DE ENEBRO + BREA DE HULLA,,
1599,1,8396A,SILODOSINA,,
1085,1,300065A,BOLSAS ILEOST RESINA SINTETICA MICROPORO FILTRO,,
2093,1,1160A,OCTOCOG ALFA,,
763,1,201326A,ALOGLIPTINA + PIOGLITAZONA,,
732,1,201274A,BACITRACINA + NEOMICINA + HIDROCORTISONA,,
894,1,239A,ESTRAMUSTINA,,
2272,1,300876A,APOSITO ESPUMA POLIURETANO CON ADHESIVO Y BORDE SILICONA,,
2220,1,638A,HALAZEPAM,,
84,1,1071A,LITIO,,
817,1,2142A,ENALAPRIL,,
45,1,100349A,POMADA PROTECTORA,,
1134,1,300338A,MEDIA COMP FUERTE,,
1831,1,201360A,ERITROMICINA + BENZOLIO PEROXIDO + AC. SALICILICO,,
2192,1,201018A,SULFAMETOXAZOL + SULFOGUAYACOL + TRIMETOPRIM,,
124,1,1179A,DEXIBUPROFENO,,
1597,1,836A,CLOBAZAM,,
1487,1,7009A,ALFUZOSINA,,
1722,1,8363A,CANAKINUMAB,,
1903,1,1224A,CAPECITABINA,,
1354,1,3714ZM,AVENA CONCENTRADO COLOIDAL,,
2084,1,656DH,CLORHEXIDINA DIHIDROCLORURO,,
35,1,100301A,POMADA REGENERADORA PH5,,
785,1,2014A,NICERGOLINA,,
1120,1,300221A,DUCHA VAGINAL,,
2017,1,300869A,TIRAS REACTIVAS ACETONA SANGRE,,
208,1,1560A,FLUCLORTOLONA,,
784,1,201400A,ESTRADIOL + DROSPIRENONA,,
1173,1,300473A,TIRAS REACTIVAS GLUC Y ACT.ORINA,,
424,1,200400A,RIFAMPICINA + ISONIAZIDA,,
2199,1,2275A,RITODRINA,,
1343,1,356A,ATENOLOL,,
263,1,1794DT,ISOSORBIDA DINITRATO,,
1727,1,1322A,DROPERIDOL,,
2202,1,2396A,MABUPROFENO,,
1582,1,8293A,AGOMELATINA,,
2223,1,8263A,MICAFUNGINA,,
396,1,200306A,METOPROLOL +  FELODIPINO,,
23,1,100277A,ENJUAGUE BUCAL,,
2082,1,200260A,IMIPENEM + CILASTATINA,,
1156,1,300367A,SUSPENSORIO,,
686,1,201177A,SALBUTAMOL + BECLOMETASONA,,
1227,1,300726A,BOLSAS RECOGIDA ORINA PIERNA MULTICANAL,,
1570,1,8215A,ROSUVASTATINA,,
286,1,1908A,MEPIRAMINA,,
1362,1,37A,ISOTRETINOINA,,
720,1,201254A,RUSCUS ACULEATUS + HESPERIDINA + AC ASCORBICO,,
1072,1,300008A,ALGODON ARROLLADO PURO,,
705,1,201223A,BERBERINA + LEVADURA ROJA + POLICOSANOLES + COENZIMA Q10 + ASTAXANTINA + ACIDO FOLICO,,
1417,1,501A,CEFTRIAXONA,,
1884,1,300758A,APOSITO DE ALGINATO CON CARBON,,
97,1,1115A,PIROXICAM,,
352,1,200171A,DROSERA EXTO FLUIDO + TOMILLO EXTO FLUIDO,,
359,1,200199A,FENILEFRINA + TETRACAINA,,
1405,1,483A,BENZBROMARONA,,
202,1,1548A,FERROCOLINATO,,
951,1,2595A,BAMBUTEROL,,
1610,1,8509A,LINAGLIPTINA,,
268,1,1815A,LACTASA,,
615,1,200958A,ASCORBICO ACIDO + BIOTINA + CIANOCOBALAMINA + NICOTINAMIDA + PANTOTETANO CALCICO + PIRIDOXINA + RIBOFLAVINA + TIAMINA,,
815,1,2138A,NABUMETONA,,
450,1,200576A,BENZALCONIO CLORURO + ALUMINIO,,
1649,1,90496A,MELATONINA,,
964,1,2655A,CITALOPRAM,,
2163,1,7127A,TILUDRONICO ACIDO,,
1904,1,100396A,BACTERIAS EUROFAR,,
269,1,1820A,PILOCARPINA,,
1344,1,360A,METOPROLOL,,
1616,1,8598A,ACLIDINIO,,
309,1,200004A,ACETILSALICILICO ACIDO + CODEINA,,
216,1,158A,NORETISTERONA,,
652,1,201118A,CONDROITINA + GLUCOSAMINA,,
1686,1,1111A,ABACAVIR,,
1193,1,300624A,BOLSAS COLOST DOBLES RES SINC FILTRO,,
1581,1,828A,CEFUROXIMA,,
274,1,1842A,LEVOTIROXINA,,
2113,1,1065A,TEMOZOLOMIDA,,
