cod_est_salud,Frequency.4,codes,spanish description,english description,comment
61443,1,135,Diabetes e hipertensión: Nivel 3,,
56652,1,901,Linfoma no Hodgkin: Nivel 2,,
62516,1,1049,Abuso de drogas crónico moderado y otra enfermedad moderada crónica: Nivel 6,,
34832,1,271,Infecciones recurrentes del tracto urinario: Nivel 2,,
52662,1,243,Enfermedad inflamatoria intestinal: Nivel 2,,
30782,1,491,Glaucoma: Nivel 2,,
62511,1,450,Abuso de drogas crónico moderado y otra enfermedad moderada crónica: Nivel 1,,
70154,1,352,Insuficiencia cardiaca - Enfermedad cerebrovascular - Otra enfermedad crónica dominante: Nivel 4,,
50031,1,817,Hemiplejia adquirida: Nivel 1,,
57431,1,615,Esquizofrenia: Nivel 1,,
86471,1,405,Neoplasia de pulmón: Nivel 1,,
57831,1,249,Abuso de opioides: Nivel 1,,
90103,1,319,Diálisis con diabetes: Nivel 3,,
54421,1,709,"Diagnósticos endocrinos, nutricionales, hidroelectrolíticos e inmunes crónicos - Moderado: Nivel 1",,
62923,1,303,Abuso de drogas crónico moderado y otra enfermedad crónica: Nivel 3,,
90501,1,869,Dependencia de ventilación mecánica: Nivel 1,,
51821,1,133,Historia de Infarto Agudo de Miocardio: Nivel 1,,
70316,1,737,EPOC - Dos o más enfermedades crónicas dominantes: Nivel 6,,
91003,1,206,Distrofia muscular progresiva o atrofia espinal muscular: Nivel 3,,
86524,1,242,Leucemia linfática crónica: Nivel 4,,
50132,1,616,Enfermedad cerebrovascular sin infarto: Nivel 2,,
57833,1,828,Abuso de opioides: Nivel 3,,
70416,1,888,Enfermedad coronaria avanzada - Dos o más enfermedades crónicas dominantes: Nivel 6,,
86474,1,424,Neoplasia de pulmón: Nivel 4,,
70304,1,266,EPOC - Enfermedad coronaria avanzada - Otra enfermedad crónica dominante: Nivel 4,,
54412,1,694,Obesidad: Nivel 2,,
53114,1,807,Enfermedad hepática mayor excepto alcohólica: Nivel 4,,
70025,1,773,Insuficiencia renal crónica - Dos o más enfermedades crónicas dominantes: Nivel 5,,
70103,1,366,Insuficiencia cardiaca - Diabetes - EPOC: Nivel 3,,
57481,1,358,"Trastornos de la conducta, del control de los impulsos y del comportamiento : Nivel 1",,
90401,1,407,Nutrición parenteral total: Nivel 1,,
86573,1,503,Neoplasia de colón: Nivel 3,,
61324,1,147,Enfermedad cerebrovascular y otra enfermedad moderada crónica: Nivel 4,,
61812,1,776,"Historia de fractura de cadera, edad > 64 y otra enfermedad moderada crónica: Nivel 2",,
61423,1,346,Diabetes y asma: Nivel 3,,
61445,1,173,Diabetes e hipertensión: Nivel 5,,
50121,1,387,Historia de accidente isquémico transitorio: Nivel 1,,
56642,1,825,Neoplasia genitourinaria: Nivel 2,,
61516,1,254,Enfermedad coronaria avanzada y otra enfermedad moderada crónica: Nivel 6,,
50042,1,269,Enfermedad cerebrovascular con infarto o hemorragia intracraneal: Nivel 2,,
37542,1,990,Déficit de atención / Hiperactividad: Nivel 2,,
56552,1,947,Leucemia linfática aguda: Nivel 2,,
56611,1,291,Neoplasia de proteinas plasmáticas: Nivel 1,,
62924,1,1050,Abuso de drogas crónico moderado y otra enfermedad crónica: Nivel 4,,
86501,1,270,Neoplasia de ovario: Nivel 1,,
51891,1,458,Historia de ACTP: Nivel 1,,
61804,1,844,"Historia de fractura de cadera, edad > 64 y otra enfermedad dominante crónica: Nivel 4",,
54791,1,14,Diagnósticos genitourinarios crónicos: Nivel 1,,
10080,1,580,Diagnósticos de trauma o infección sin otra enfermedad significativa,,
57444,1,1036,Trastornos de la alimentación: Nivel 4,,
62612,1,313,Enfermedad dominante crónica y otra enfermedad crónica: Nivel 2,,
53514,1,932,Discopatía y otros diagnósticos crónicos de espalda: Nivel 4,,
52411,1,760,Varices en piernas con úlceras o inflamación: Nivel 1,,
70104,1,339,Insuficiencia cardiaca - Diabetes - EPOC: Nivel 4,,
70401,1,345,Enfermedad coronaria avanzada -Enfermedad vascular periférica - Otra enfermedad crónica dominante: Nivel 1,,
70026,1,492,Insuficiencia renal crónica - Dos o más enfermedades crónicas dominantes: Nivel 6,,
34452,1,331,Hiperlipidemia: Nivel 2,,
50012,1,811,Diagnósticos neurológicos progresivos: Nivel 2,,
70313,1,131,EPOC - Dos o más enfermedades crónicas dominantes: Nivel 3,,
61453,1,371,Diabetes y otra enfermedad crónica: Nivel 3,,
56622,1,843,Neoplasia de mama: Nivel 2,,
86523,1,398,Leucemia linfática crónica: Nivel 3,,
86641,1,949,Neoplasia genitourinaria: Nivel 1,,
52692,1,1009,Anomalías gastrointestinales: Nivel 2,,
51783,1,925,Otros diagnósticos cardiacos congénitos mayores excepto valvulares: Nivel 3,,
52372,1,552,Enfermedades arteriales y venosas crónicas - mayor: Nivel 2,,
70716,1,392,Diabetes - Hipertensión - Otra enfermedad crónica dominante: Nivel 6,,
70152,1,655,Insuficiencia cardiaca - Enfermedad cerebrovascular - Otra enfermedad crónica dominante: Nivel 2,,
4,1,1079,Enfermedad crónica menor en múltiples sistemas orgánicos,,
62606,1,789,Enfermedad dominante crónica y una o más enfermedades moderadas crónicas: Nivel 6,,
56572,1,307,Neoplasia de colon: Nivel 2,,
35241,1,442,"Infertilidad, mujer: Nivel 1",,
54744,1,498,Estado de trasplante renal: Nivel 4,,
86412,1,895,Neoplasias secundarias: Nivel 2,,
54242,1,38,Diabetes: Nivel 2,,
62413,1,22,Asma y otra enfermedad moderada crónica: Nivel 3,,
61111,1,687,Insuficiencia cardiaca y diabetes: Nivel 1,,
55843,1,1025,Retraso mental severo / profundo: Nivel 3,,
61121,1,868,Insuficiencia cardiaca y enfermedad vascular periférica: Nivel 1,,
86472,1,587,Neoplasia de pulmón: Nivel 2,,
91001,1,427,Distrofia muscular progresiva o atrofia espinal muscular: Nivel 1,,
62514,1,377,Abuso de drogas crónico moderado y otra enfermedad moderada crónica: Nivel 4,,
34822,1,988,Reflujo vesiculoureteral: Nivel 2,,
52663,1,544,Enfermedad inflamatoria intestinal: Nivel 3,,
62011,1,5,Enfermedad psiquiátrica (excepto esquizofrenia) y otra enfermedad moderada crónica: Nivel 1,,
57073,1,954,Tuberculosis secundaria: Nivel 3,,
61331,1,804,"Enfermedad cerebrovascular y otra enfermedad crónica, Nivel 2",,
90802,1,762,Cuadriplejia adquirida o estado vegetativo permanente: Nivel 2,,
61112,1,459,Insuficiencia cardiaca y diabetes: Nivel 2,,
51333,1,164,EPOC y bronquiectasias: Nivel 3,,
61614,1,151,Demencia y otra enfermedad moderada crónica: Nivel 4,,
35572,1,891,"Prematuridad, peso al nacer inferior a 1000 g: Nivel 2",,
50011,1,294,Diagnósticos neurológicos progresivos: Nivel 1,,
56071,1,770,Trastornos de la coagulación: Nivel 1,,
61503,1,601,Enfermedad coronaria avanzada y otra enfermedad dominante crónica: Nivel 3,,
51913,1,504,Arterioesclerosis coronaria: Nivel 3,,
62811,1,461,Neoplasia de próstata y otra enfermedad crónica: Nivel 1,,
51881,1,384,Historia de by-pass coronario: Nivel 1,,
51334,1,512,EPOC y bronquiectasias: Nivel 4,,
62602,1,736,Enfermedad dominante crónica y una o más enfermedades moderadas crónicas: Nivel 2,,
61122,1,827,Insuficiencia cardiaca y enfermedad vascular periférica: Nivel 2,,
37892,1,991,Diagnósticos relacionados con el abuso de drogas: Nivel 2,,
70156,1,408,Insuficiencia cardiaca - Enfermedad cerebrovascular - Otra enfermedad crónica dominante: Nivel 6,,
70116,1,375,Insuficiencia cardiaca - Diabetes - Enfermedad cerebrovascular: Nivel 6,,
51802,1,487,Otros diagnósticos cardiovasculares - mayor: Nivel 2,,
10060,1,943,Diagnósticos de problema neonatal o congénito mayor sin otra enfermedad significativa,,
86621,1,696,Neoplasia de mama: Nivel 1,,
86581,1,669,Otras neoplasias: Nivel 1,,
91102,1,812,Fibrosis quística: Nivel 2,,
53103,1,898,Enfermedad hepática alcohólica: Nivel 3,,
70234,1,94,Diabetes - Dos o más enfermedades crónicas dominantes: Nivel 4,,
62933,1,148,Otra enfermedad dominante crónica y otra enfermedad crónica: Nivel 3,,
62601,1,23,Enfermedad dominante crónica y una o más enfermedades moderadas crónicas: Nivel 1,,
62411,1,116,Asma y otra enfermedad moderada crónica: Nivel 1,,
57492,1,262,Depresión y otras psicosis: Nivel 2,,
91004,1,380,Distrofia muscular progresiva o atrofia espinal muscular: Nivel 4,,
53443,1,897,"Historia de fractura de cadera, edad > 64 años: Nivel 3",,
61816,1,609,"Historia de fractura de cadera, edad > 64 y otra enfermedad moderada crónica: Nivel 6",,
20400,1,292,"Enfermedad aguda significativa de ORL, duración más de 90 días",,
70714,1,122,Diabetes - Hipertensión - Otra enfermedad crónica dominante: Nivel 4,,
62202,1,161,Otra enfermedad dominante crónica y neoplasia de próstata: Nivel 2,,
35101,1,706,Hiperplasia benigna de próstata: Nivel 1,,
33581,1,481,Diagnósticos articulares y musculoesqueléticos crónicos - menor: Nivel 1,,
61604,1,204,Demencia y otra enfermedad dominante crónica: Nivel 4,,
54244,1,761,Diabetes: Nivel 4,,
70403,1,293,Enfermedad coronaria avanzada -Enfermedad vascular periférica - Otra enfermedad crónica dominante: Nivel 3,,
61716,1,510,Esquizofrenia y otra enfermedad moderada crónica: Nivel 6,,
70112,1,711,Insuficiencia cardiaca - Diabetes - Enfermedad cerebrovascular: Nivel 2,,
30991,1,768,Diagnósticos de oído crónicos excepto pérdida de audición: Nivel 1,,
70405,1,934,Enfermedad coronaria avanzada -Enfermedad vascular periférica - Otra enfermedad crónica dominante: Nivel 5,,
61106,1,365,EPOC e Insuficiencia cardiaca: Nivel 6,,
86564,1,846,Leucemia no linfática aguda: Nivel 4,,
56551,1,722,Leucemia linfática aguda: Nivel 1,,
53442,1,627,"Historia de fractura de cadera, edad > 64 años: Nivel 2",,
53104,1,885,Enfermedad hepática alcohólica: Nivel 4,,
50071,1,977,Parálisis cerebral NOS: Nivel 1,,
61425,1,795,Diabetes y asma: Nivel 5,,
53451,1,721,Estenosis espinal: Nivel 1,,
62505,1,1046,Otra enfermedad dominante crónica y abuso de drogas crónico moderado: Nivel 5,,
70413,1,864,Enfermedad coronaria avanzada - Dos o más enfermedades crónicas dominantes: Nivel 3,,
61505,1,538,Enfermedad coronaria avanzada y otra enfermedad dominante crónica: Nivel 5,,
50143,1,471,Epilepsia: Nivel 3,,
62406,1,624,Otra enfermedad dominante crónica y asma: Nivel 6,,
61434,1,118,Diabetes y otra enfermedad moderada crónica: Nivel 4,,
51782,1,797,Otros diagnósticos cardiacos congénitos mayores excepto valvulares: Nivel 2,,
62301,1,177,Otra enfermedad dominante crónica y otra neoplasia no dominante: Nivel 1,,
90403,1,971,Nutrición parenteral total: Nivel 3,,
91101,1,818,Fibrosis quística: Nivel 1,,
50034,1,831,Hemiplejia adquirida: Nivel 4,,
61454,1,156,Diabetes y otra enfermedad crónica: Nivel 4,,
57864,1,1073,Abuso de drogas - Cannabis/NOS/NEC: Nivel 4,,
51882,1,914,Historia de by-pass coronario: Nivel 2,,
40004,1,674,Categorías de ECP múltiples menores: Nivel 4,,
51813,1,19,Enfermedades valvulares: Nivel 3,,
62603,1,44,Enfermedad dominante crónica y una o más enfermedades moderadas crónicas: Nivel 3,,
50122,1,188,Historia de accidente isquémico transitorio: Nivel 2,,
61436,1,72,Diabetes y otra enfermedad moderada crónica: Nivel 6,,
54783,1,976,Anomalías de riñón o tracto urinario: Nivel 3,,
86463,1,253,Neoplasias de cerebro y SNC: Nivel 3,,
-1,1,548,NO CONSTA,,
54411,1,157,Obesidad: Nivel 1,,
56631,1,61,Neoplasia de próstata: Nivel 1,,
61706,1,806,Esquizofrenia y otra enfermedad dominante crónica: Nivel 6,,
61624,1,169,Demencia y otra enfermedad crónica: Nivel 4,,
57504,1,1039,Trastornos mayores de la personalidad: Nivel 4,,
