cod_serv_homologado,Frequency.1,codes,spanish description,english description,comment
130,1,MPR,MEDICINA PREVENTIVA,,
226,1,EIP,INSPECCIÓN MÉDICA,,
241,1,ACE,ENFERMERÍA ATENCIÓN CONTINUADA,,
139,1,DPN,DIAGNÓSTICO PRENATAL,,
206,1,UTH,UNIDAD DE TERAPIA HIPERBÁRICA,,
166,1,ALE,ALERGIA,,
210,1,DIE,NUTRICIÓN Y DIETÉTICA,,
221,1,UTA,UNIDAD DE TRASTORNOS ALIMENTARIOS,,
199,1,UTP,UNIDAD DE TRASPLANTES PULMONARES,,
246,1,MEM,OTROS ATENCIÓN PRIMARIA,,
121,1,URO,UROLOGÍA,,
249,1,ENFS,ENFERMERÍA PRIMARIA (NO COMPRENDIDO EN OTRAS UNIDADES),,
176,1,-1,[Vacio],,
125,1,MAT,MATRONA ESPECIALIZADA,,
128,1,OTI,ORTOPEDIA INFANTIL,,
191,1,MET,METABOLOPATÍAS,,
172,1,FON,FONIATRÍA-LOGOPEDIA,,
260,1,HMI,HEMATOLOGÍA INFANTIL,,
178,1,GER,GERIATRÍA,,
122,1,ONI,ONCOLOGÍA INFANTIL,,
223,1,PAP,PEDIATRÍA PRIMARIA,,
153,1,CVA,CIRUGÍA VASCULAR,,
187,1,UPM,UNIDAD DE PATOLOGÍA MAMARIA,,
167,1,LAC,LACTANTES,,
229,1,SMP,PSICOLOGÍA SALUD MENTAL,,
165,1,CMI,CIRUGÍA MAXILOFACIAL INFANTIL,,
150,1,OFI,OFTALMOLOGÍA INFANTIL,,
205,1,RHB,REHABILITACIÓN,,
233,1,MFC,MEDICINA FAMILIAR Y COMUNITARIA,,
143,1,UEI,UNIDAD DE ENFERMEDADES INFECCIOSAS,,
203,1,NEF,NEFROLOGÍA,,
234,1,USP,OTROS ATENCIÓN PRIMARIA,,
247,1,MSS,MEDICINA SALUD SEXUAL Y REPRODUCTIVA,,
213,1,REP,REPRODUCCIÓN,,
267,1,PHD,PSICÓLOGO UHD,,
175,1,CGC,CONSEJO GENÉTICO DE CÁNCER,,
152,1,RTE,RADIOTERAPIA,,
250,1,FARA,FARMACIA PRIMARIA,,
264,1,THD,TRABAJADOR SOCIAL UHD,,
133,1,LAB,LABORATORIO,,
185,1,SII,PSIQUIATRÍA INFANTIL,,
142,1,NMI,NEUMOLOGÍA INFANTIL,,
159,1,MHD,MÉDICO UHD,,
245,1,ERE,ENFERMERÍA PRIMARIA (NO COMPRENDIDO EN OTRAS UNIDADES),,
215,1,PSI,PSIQUIATRÍA,,
173,1,-2,[Sin referencia],,
179,1,MIN,MEDICINA INTERNA,,
170,1,UHD,UNIDAD DE HOSPITALIZACIÓN A DOMICILIO,,
162,1,FAR,FARMACIA ESPECIALIZADA,,
163,1,CVI,CARDIOVASCULAR INFANTIL,,
112,1,ORP,ORTÓPTICA-PLEÓPTICA,,
147,1,HDI,HOSPITAL DE DÍA,,
248,1,EGC,ENFERMERA GESTORA DE CASOS COMUNITARIA,,
182,1,GIN,GINECOLOGÍA,,
138,1,RXD,RADIODIAGNÓSTICO,,
209,1,PAL,CUIDADOS PALIATIVOS,,
230,1,FISI,FISIOTERAPIA A. PRIMARIA,,
116,1,CCV,CIRUGÍA CARDIOVASCULAR,,
218,1,FMC,FARMACOLOGÍA CLÍNICA,,
200,1,URD,URODINÁMICA,,
184,1,ACL,ANÁLISIS CLÍNICOS,,
188,1,MDI,MEDICINA DIGESTIVA,,
156,1,NCG,NEUROCIRUGÍA,,
113,1,NRI,NEUROLOGÍA INFANTIL,,
154,1,END,ENDOSCOPIAS,,
201,1,DER,DERMATOLOGÍA,,
151,1,CPL,CIRUGÍA PLÁSTICA,,
214,1,ECR,ENDOCRINOLOGÍA,,
148,1,OFT,OFTALMOLOGÍA,,
217,1,PED,PEDIATRÍA ESPECIALIZADA,,
235,1,PSS,SEXOLOGÍA SALUD SEXUAL Y REPRODUCTIVA,,
242,1,PCA,PSICOLOGÍA CONDUCTAS ADICTIVAS,,
134,1,CAR,CARDIOLOGÍA,,
117,1,CGI,CIRUGÍA PEDIÁTRICA,,
131,1,NEN,NEONATOLOGÍA,,
231,1,RILA,RIESGOS LABORALES,,
135,1,TRI,TRAUMATOLOGÍA INFANTIL,,
