cod_variable_clinic,Frequency.4,codes,spanish description,english description,comment
REFEHERO,1,248,Refiere heroína,refers heroin,
HIPOGO,1,165,Hipogonadismo no tratado,Untreated hypogonadism,
CONTALUC,1,55,Control alucinógenos,hallucinogens Control,
CAVIOJOD,1,38,ALTERACION CAMPO VISUAL O.D.,VISUAL FIELD ALTERATION O.D.,
SSAATABA,1,289,Síntomas de abstinencia,Withdrawal symptoms,
EXT_MURO,1,103,Ext. Musc. Rodilla,Ext. Musc. Knee,
PRONARMU,1,230,Pronacion Art. Muñeca,Pronation Art. Doll,
ROTEBACA,1,266,Rot.Ext.BACA,Rot.Ext.BACA,
TAD-Med,1,297,Tensión Arterial Diastólica Media,Media diastolic blood pressure,
PRONARCO,1,229,Pronacion Artic. Codo,Artic pronation. Elbow,
SUPIARCO,1,292,Supinacion Artic. Codo,Artic supination. Elbow,
LATIBACE,1,183,LAT. IZQ. BAL. CERVICAL,THE T. IZQ. BAL. CERVICAL,
OPO1ARMA,1,204,Oposicion 1º Art. Mano,Opposition 1 Art. Hand,
MOVFET,1,195,Movimientos Fetales,Fetal movements,
ADDBMCA,1,19,Add.BMCA,Add.BMCA,
SEGUJUDI,1,282,Seguimiento judicial,judicial follow-up,
ROEXMUHO,1,262,Rot. Ext. Musc. Hombro,Rot. Ext. Musc. Shoulder,
OXIGE,1,207,Oxigenoterapia,oxygen Therapy,
REDU_LDL,1,239,Reducción colesterol LDL,LDL cholesterol reduction,
EXTEPANA,1,100,Ext. (pared-nariz),Ext. (Wall-nose),
ADD1MUMA,1,16,Add. 1º Musc. Mano,Add. 1 Musc. Hand,
GDISNEA,1,156,Grado de Disnea,Dyspnea grade,
GDXOJOI,1,158,G.D.X. OJO IZQUIERDO,G.D.X. LEFT EYE,
ROTIBACE,1,269,ROT. IZQ. BAL. CERVICAL,ROT. IZQ. BAL. CERVICAL,
FLEXDENA,1,129,Flex.(dedos-suelo),Flex. (Finger-ground),
SUPIMUCO,1,294,Supinacion Musc. Codo,Musc supination. Elbow,
SATABA_7,1,277,Cansancio,Fatigue,
UUC,1,314,Unidad de tiempo del último cigarrillo,Unit time last cigarette,
INVEMUTO,1,176,Inversion Musc. Tobillo,Musc investment. Ankle,
POLIQUIR,1,218,Poliquiuria,Poliquiuria,
FLIFARMA,1,133,Flex. IF. Art. Mano,Flex. IF. Art. Hand,
EXTEBACE,1,99,EXTEN. BALANCE CERVICAL,EXTEN. CERVICAL BALANCE,
EXT1ARMA,1,92,Ext. 1º Art. Mano,Ext. 1 Art. Hand,
LATIDOLU,1,184,Lateralizacion Izq. Artic. Dorso-Lumbar,Left lateralization. Artic. Dorsolumbar,
SEMGES,1,283,Semana Gestación,Gestation week,
TARECTTA,1,300,Tacto rectal (Tamaño),DRE (Size),
FLMCMUMA,1,136,Flex. Mcf. Musc. Mano,Flex. Mcf. MUSC. Hand,
PRMUMUNE,1,222,Pronacion Musc. Muñeca,Musc pronation. Doll,
FRACCADE,1,142,Fractura osteoporótica cadera,hip osteoporotic fracture,
VOLUPROS,1,317,Volumen prostático,prostate volume,
PAISCENT,1,209,País centro,center country,
PROVCENT,1,232,Provincia centro,central province,
CIRPROSP,1,42,Cirugía prostática previa,previous prostate surgery,
FRACHUME,1,144,Fractura osteoporótica proximal de humero,osteoporotic proximal humerus fracture,
REFECAFE,1,244,Refiere cafeína,refers caffeine,
ESMEOJOD,1,79,ESTRATEGIA MEDICACION O.D.,STRATEGY MEDICATION O.D.,
SATABA_8,1,278,Cefalea,headache,
FARMTABA,1,106,Tratamiento farmacológico,Pharmacotherapy,
REFEOPIO,1,251,Refiere otros opiáceos,Refers other opiates,
FLDOMUMA,1,121,Flex. Dorsal Musc. Muñeca,Flex. Dorsal Musc. Doll,
RESIPOMI,1,255,Residuo post-miccional,post-micturition residue,
ADHOMUHO,1,23,Add. Horiz. Musc. Hombro,Add. Horiz. MUSC. Shoulder,
CRITDERI,1,58,Cumple criterios derivación,Meets criteria bypass,
PMC,1,216,Porcentaje de grasa corporal,Body Fat Percentage,
DIURESIS,1,66,Diuresis,Diuresis,
MOTIALTA,1,194,Motivo alta,high reason,
EXT1MUMA,1,93,Ext. 1º Musc. Mano,Ext. 1 Musc. Hand,
PREP-Med,1,221,glucemia capilar prepandrial media,average preprandial blood glucose,
ABD_MUHO,1,9,Abd. Musc. Hombro,Abd. MUSC. Shoulder,
TFNOCENT,1,305,Teléfono centro,phone center,
ADDHMUHO,1,20,Add. Horiz. Art. Hombro,Add. Horiz. Art. Shoulder,
FLEXBACE,1,128,FLEXION BALANCE CERVICAL,BENDING BALANCE CERVICAL,
MED1OJOD,1,187,MEDICACION ELECCION O.D.,CHOOSING MEDICATION O.D.,
TIPOALTA,1,306,Tipo alta,high type,
ABD1MUMA,1,4,Abd. 1º Musc. Mano,Abd. 1 Musc. Hand,
MED1OJOI,1,188,MEDICACION ELECCION O.I.,CHOOSING MEDICATION O.I.,
AMBIGEOG,1,29,Ambito geográfico,geographical coverage,
EDEMAS,1,71,Edemas,edemas,
ESTAPROT,1,83,Estado prótesis,State prosthesis,
ROTIBACA,1,268,Rot.Int.BACA,Rot.Int.BACA,
OBSE1,1,201,Observaciones,Observations,
FCF,1,107,Frecuencia cardiaca fetal,FHR,
ABDBMCA,1,7,Abd.BMCA,Abd.BMCA,
FLDOTOBI,1,123,Flex. Dorsal Tobillo,Flex. dorsal Ankle,
FRACVERT,1,147,Fractura osteoporótica vertebral,vertebral osteoporotic fracture,
NUMECIGA,1,199,Número de cigarrillos,Number of cigarettes,
FLPLMUTO,1,138,Flex. Plantar Musc. Tobillo,Flex. Plantar Musc. Ankle,
FRECCAID,1,150,Frecuencia de caídas,Frequency falls,
ABHOMUHO,1,11,Abd. Horiz. Musc. Hombro,Abd. Horiz. MUSC. Shoulder,
PECOMAMA,1,210,Ecografía mamaria previa,prior breast ultrasound,
TACTRECT,1,295,Tacto rectal,DRE,
ABD_ARHO,1,5,Abd. Art. Hombro,Abd. Art. Shoulder,
CFH,1,40,Nº de cigarrillos fumados hoy,Number of cigarettes smoked today,
NICTURIA,1,196,Nicturia,nocturia,
SATABA_2,1,272,Ansiedad-Nerviosismo,Anxiety-Jitters,
FLE1ARMA,1,124,Flex 1º Art. Mano,Flex 1 Art. Hand,
EDADMENO,1,70,Edad de la Menopausia,Age of menopause,
EXMCARMA,1,90,Ext. Mcf. Art. Mano,Ext. Mcf. Art. Hand,
FLMCARMA,1,135,Flex. Mcf. art. Mano,Flex. Mcf. art. Hand,
FLPLTOBI,1,139,Flex. Plantar Tobillo,Flex. Ankle plantar,
CIRUCONO,1,44,Cirujano conocido,Known surgeon,
INCUMUMA,1,168,Incl. Cubit. Musc. Muñeca,Incl. Cubit. MUSC. Doll,
TFNO,1,304,Teléfono,Phone,
SONDPREV,1,285,Sondaje previo,previous drillhole,
FLIFMUMA,1,134,Flex. IF. Musc. Mano,Flex. IF. MUSC. Hand,
GCB-Med,1,153,glucemia capilar basal media,Baseline mean blood glucose,
ESMEOJOI,1,80,ESTRATEGIA O.I.,STRATEGY O.I.,
ADMCMUMA,1,26,Add. Mcf. Musc. Mano,Add. Mcf. MUSC. Hand,
TIPOPROT,1,308,Tipo de prótesis,Type of prosthesis,
INSOM,1,174,INSOMIO,insomnia,
INRAMUMA,1,173,Incl. Radial Musc. Muñeca,Incl. Radial Musc. Doll,
ABD1ARMA,1,3,Abd. 1º Art. Mano,Abd. 1st Art. Hand,
FLEXMUHO,1,131,Flex. Musc. Hombro,Flex. MUSC. Shoulder,
ROINARHO,1,263,Rot. Int. Art. Hombro,Rot. Int. Art. Shoulder,
UNIDCIGA,1,312,Unidad cigarrillos,cigarette unit,
PRONMUCO,1,231,Pronacion Musc. Codo,Musc pronation. Elbow,
ADISNEA,1,24,Aumento de disnea basal,Increased baseline dyspnea,
QMAX,1,233,Qmax,Qmax,
ROTDBACE,1,265,ROT. DER. BAL. CERVICAL,ROT. DER. BAL. CERVICAL,
REAL_ECO,1,237,Realizar ecografía,perform ultrasound,
SATABA_3,1,273,Insomnio,Insomnia,
DESLTABA,1,59,Desliz,Slip,
IRRI,1,178,Irritativos o de llenado,Irritative or filling,
LATDBACE,1,181,LAT. DER. BAL. CERVICAL,THE T. DER. BAL. CERVICAL,
MED2OJOD,1,189,MEDICACION ASOCIACION O.D.,MEDICATION ASSOCIATION O.D.,
ASISGRUP,1,31,Asistencia a grupos,Support groups,
ADD_ARHO,1,17,Add. Art. Hombro,Add. Art. Shoulder,
ADMCARMA,1,25,Add. Mcf. Art. Mano,Add. Mcf. Art. Hand,
DETE_CO,1,60,determinación CO en aire exalado,CO in air determination exalado,
FLEXMURO,1,132,Flex. Musc. Rodilla,Flex. MUSC. Knee,
DIRECENT,1,63,Dirección centro,center address,
SATABA_T,1,280,TOTAL SSAA,TOTAL SSAA,
FRCR-Med,1,148,Frecuencia Cardiaca Media,HEARTBEAT Media,
FRECRESP,1,151,Frecuencia respirtoria,respirtoria frequency,
CAVIOJOI,1,39,ALTERACION CAMPO VISUAL O.I.,VISUAL FIELD ALTERATION O.I.,
INVETOBI,1,177,Inversion Tobillo,inversion Ankle,
SUPIARMU,1,293,Supinacion Art. Muñeca,Art supination. Wrist,
FIRES,1,118,Fisioterapia respiratoria,Respiratory physiotherapy,
EXIFARMA,1,88,Ext. IF. Art. Mano,Ext. IF. Art. Hand,
SPO2-Med,1,288,Saturación de Oxígeno en Sangre Media,Blood oxygen saturation Media,
ROTIBMCA,1,270,Rot.Itn.BMCA,Rot.Itn.BMCA,
FEV6-Med,1,117,Espirometría: fev6- Media,Spirometry: fev6- Media,
ESTRENI,1,85,ESTREÑIMIENTO,CONSTIPATION,
FRACMUNE,1,145,Fractura osteoporótica muñeca,osteoporotic fracture wrist,
ENFOSTEO,1,74,"Enfermedades osteopenizantes, excluidas hipogonadismo","osteopenizantes diseases, excluding hypogonadism",
FCN,1,108,glucemia capilar nocturna,nocturnal blood glucose,
CALICHOR,1,36,Disminución calibre y fuerza del chorro,Decreased size and jet force,
FLDOMUTO,1,122,Flex. Dorsal Musc. Tobillo,Flex. Dorsal Musc. Ankle,
FRACNOES,1,146,Fractura osteoporótica Sitio no especificado,osteoporotic fracture unspecified site,
EVERTOBI,1,87,Eversion Tobillo,Ankle eversion,
REFEADCO,1,240,Refiere adicciones conductuales,Refers behavioral addictions,
EPOJOI,1,77,E/P O.D.,E / P O.D.,
CIR_RESP,1,43,Cirujano responsable,responsible surgeon,
GLEXARRO,1,159,Flex. Art. Rodilla,Flex. Art. Knee,
FLE_ARHO,1,126,Flex. Art. Hombro,Flex. Art. Shoulder,
EXIFMUMA,1,89,Ext. IF. Musc. Mano,Ext. IF. MUSC. Hand,
FEV1,1,114,Espirometría (fev1),Spirometry (FEV1),
ROTEBMCA,1,267,Rot.Ext.BMCA,Rot.Ext.BMCA,
