cie9p,Frequency.3,codes,spanish description,english description,comment
14.79          ,35034,906,OTRAS OPERACIONES SOBRE EL CUERPO VITREO,,
00.66          ,33827,692,ANGIOPLASTIA CORONARIA TRANSLUMINAL PERCUTANEA [ACTP] O ATERECTOMIA CORONARIA ,,
88.57          ,33773,1652,OTRA ARTERIOGRAFIA CORONARIA Y ARTERGR.CORONARIA NO ESPECIFI,,
88.79          ,33749,Unknown,Unknown,,
45.23          ,32610,588,COLONOSCOPIA,,
81.54          ,32037,755,SUSTITUCION TOTAL DE RODILLA,,
88.19          ,31560,Unknown,Unknown,,
53.05          ,31408,702,"REPARACION DE HERNIA INGUINAL CON INJERTO O PROTESIS,N.E.O.M",,
57.49          ,31270,996,OTRA EXC.O DESTRUC. TRANSURETRAL DE LESION O TEJ. DE VEJIGA,,
88.75          ,30629,Unknown,Unknown,,
00.40          ,30582,Unknown,Unknown,,
37.22          ,30175,934,CATETERISMO CARDIACO DEL LADO IZQUIERDO DEL CORAZON,,
93.90          ,29912,Unknown,Unknown,,
75.33          ,29746,393,BIOPSIA Y TOMA DE SANGRE FETAL,,
57.94          ,27302,1790,INSERCION DE CATETER URINARIO PERMANENTE,,
88.56          ,27029,Unknown,Unknown,,
04.43          ,26988,6,LIBERACION DE TUNEL CARPIANO,,
80.26          ,26326,599,ARTROSCOPIA DE RODILLA,,
99.25          ,25085,308,INYECCION O INFUSION DE SUSTANCIA QUIMIOTERAP. CONTRA CANCER,,
88.77          ,24730,Unknown,Unknown,,
90.59          ,24648,Unknown,Unknown,,
3E033GC        ,24485,Unknown,Unknown,,
89.66          ,24076,Unknown,Unknown,,
72.71          ,24049,Unknown,Unknown,,
88.71          ,23877,Unknown,Unknown,,
88.97          ,23606,Unknown,Unknown,,
96.04          ,23151,Unknown,Unknown,,
00.45          ,23090,834,INSERCION DE UN STENT VASCULAR,,
3E033NZ        ,21973,Unknown,Unknown,,
73.09          ,21914,Unknown,Unknown,,
89.37          ,21614,Unknown,Unknown,,
99.17          ,21512,Unknown,Unknown,,
12.92          ,20665,Unknown,Unknown,,
69.02          ,20530,560,DILATACION Y LEGRADO DESPUES DE PARTO O ABORTO,,
36.07          ,19985,884,INSERCION DE STENT(S) DE ARTERIA CORONARIA LIBERADOR DE FARMACOS,,
4A02X4Z        ,19446,Unknown,Unknown,,
B246ZZZ        ,18944,Unknown,Unknown,,
80.6           ,18370,687,EXCISION DE CARTILAGO SEMILUNAR DE RODILLA,,
BW03ZZZ        ,18085,Unknown,Unknown,,
99.15          ,18062,Unknown,Unknown,,
85.21          ,17975,234,EXCISION LOCAL DE LESION DE MAMA,,
86.22          ,17953,46,"DESBRIDAMIENTO EXCISIONAL DE HERIDA, INFECCION O QUEMADURA",,
81.51          ,17803,947,SUSTITUCION TOTAL DE CADERA,,
91.32          ,17775,Unknown,Unknown,,
08RJ3JZ        ,17578,Unknown,Unknown,,
3E0337Z        ,17458,Unknown,Unknown,,
39.95          ,17151,14,HEMODIALISIS,,
68.29          ,17032,1227,OTRA EXCISION O DESTRUCCION DE LESION DE UTERO,,
38.59          ,16837,48,LIGADURA Y EXTIRPACION DE VARICES V. DE MIEMBROS INFERIORE,,
08RK3JZ        ,16788,Unknown,Unknown,,
59.8           ,16712,352,CATETERISMO URETERAL,,
37.21          ,16632,108,CATETERISMO CARDIACO DEL LADO DERECHO DEL CORAZON,,
BW40ZZZ        ,16181,Unknown,Unknown,,
88.41          ,15908,570,ARTERIOGRAFIA DE ARTERIAS CEREBRALES,,
54.91          ,15637,920,DRENAJE ABDOMINAL PERCUTANEO,,
14.75          ,15419,699,INYECCION DE SUSTITUTO VITREO,,
45.25          ,15418,1823,BIOPSIA CERRADA (ENDOSCOPICA) DEL INTESTINO GRUESO,,
99.11          ,15329,Unknown,Unknown,,
10E0XZZ        ,14956,Unknown,Unknown,,
88.02          ,14785,Unknown,Unknown,,
36.06          ,14628,36,INSERCION DE STENT(S) DE ARTERIA CORONARIA NO LIBERADOR DE FARMACOS,,
79.15          ,14400,Unknown,Unknown,,
68.12          ,13929,864,HISTEROSCOPIA,,
88.73          ,13900,Unknown,Unknown,,
90.52          ,13876,Unknown,Unknown,,
34.91          ,13852,Unknown,Unknown,,
65.91          ,13830,956,ASPIRACION DE OVARIO,,
79.35          ,13782,167,RED. ABIERTA DE FRACT. CON FIJACION INTERNA-FEMUR,,
88.93          ,13724,Unknown,Unknown,,
14.74          ,13663,314,OTRA VITRECTOMIA MECANICA,,
39.97          ,13183,Unknown,Unknown,,
63.73          ,12918,192,VASECTOMIA,,
89.54          ,12808,Unknown,Unknown,,
89.14          ,12730,Unknown,Unknown,,
77.54          ,12627,447,ESCISION DE HALLUX-VALGUS,,
B020ZZZ        ,12594,Unknown,Unknown,,
3E0C3GC        ,12485,Unknown,Unknown,,
34.04          ,12402,Unknown,Unknown,,
99.05          ,12391,Unknown,Unknown,,
45.13          ,12030,750,OTRA ENDOSCOPIA DE INTESTINO DELGADO,,
53.41          ,12028,2,OTRA REPARACION Y REPARACION ABIERTA DE HERNIA UMBILICAL CON INJERTO O PROTESIS,,
53.61          ,11776,376,OTRA REPARACION ABIERTA DE HERNIA INCISIONAL (EVENTRACION) CON INJERTO O PROTESIS,,
89.17          ,11772,367,POLISOMNOGRAMA,,
49.46          ,11684,922,EXCISION DE HEMORROIDES,,
33.24          ,11566,Unknown,Unknown,,
96.70          ,11541,Unknown,Unknown,,
68.49          ,11506,175,OTRA HISTERECTOMIA TOTAL ABDOMINAL Y LA NO ESPECIFICADA,,
39.61          ,11460,1464,CIRCULACION EXTRACORPOREA AUXILIAR PARA CIRUGIA CARDIACA ABI,,
40.11          ,11340,169,BIOPSIA DE ESTRUCTURA LINFATICA,,
79.36          ,11245,675,RED. ABIERTA DE FRACT CON FIJACION INTERNA-TIBIA Y PERONE,,
54.21          ,11204,338,LAPAROSCOPIA,,
47.09          ,11204,277,OTRA APENDICECTOMIA,,
89.50          ,11085,Unknown,Unknown,,
60.29          ,11021,564,OTRA PROSTATECTOMIA TRANSURETRAL,,
30.09          ,10925,1153,OTRA EXCISION O DESTRUCCION DE LESION O TEJIDO DE LARING,,
50.11          ,10851,932,BIOPSIA CERRADA PERCUTANEA [AGUJA] DE HIGADO,,
57.32          ,10848,957,OTRA CISTOSCOPIA,,
81.52          ,10847,358,SUSTITUCION PARCIAL DE CADERA,,
03.31          ,10749,157,PUNCION ESPINAL,,
68.11          ,10683,Unknown,Unknown,,
91.33          ,10534,Unknown,Unknown,,
37.83          ,10512,1831,INSERCION INICIAL DE APARATO DE CAMARA DOBLE,,
51.22          ,10345,290,COLECISTECTOMIA,,
98.51          ,10281,156,"LITOTRICIA ONDAS CHOQUE EXTRACORP.DE RIÑON,URETER Y/O VEJIGA",,
60.11          ,10230,271,BIOPSIA CERRADA (POR AGUJA) (PERCUTANEA) DE PROSTATA,,
51.10          ,10073,134,COLANGIO-PANCREATOGRAFIA RETROGRADA ENDOSCOPICA (CPRE),,
96.71          ,9924,Unknown,Unknown,,
30233N1        ,9917,Unknown,Unknown,,
88.53          ,9894,Unknown,Unknown,,
44.14          ,9864,1820,BIOP.CERR.DE ESTOM.[ENDOSCOPICA],,
88.74          ,9854,Unknown,Unknown,,
88.26          ,9738,Unknown,Unknown,,
37.72          ,9590,Unknown,Unknown,,
89.59          ,9535,Unknown,Unknown,,
80.21          ,9413,1096,ARTROSCOPIA DE HOMBRO,,
81.92          ,9392,1859,INYECCION DE SUSTANCIA TERAPEUTICA EN ARTICULACION O LIGAMEN,,
86.28          ,9369,127,"DESBRIDAMIENTO NO EXCISIONAL DE HERIDA, INFECCION O QUEMADUR",,
86.4           ,9304,370,EXCISION RADICAL DE LESION CUTANEA,,
99.07          ,9284,Unknown,Unknown,,
4A12X45        ,9243,Unknown,Unknown,,
86.07          ,9078,Unknown,Unknown,,
96.07          ,8983,1664,INSERCION DE OTRO TUBO (NASO-)GASTRICO,,
87.62          ,8958,Unknown,Unknown,,
BY4FZZZ        ,8910,Unknown,Unknown,,
99.24          ,8823,Unknown,Unknown,,
00.46          ,8801,796,INSERCION DE DOS STENTS VASCULARES,,
81.62          ,8719,1618,FUSION O REFUSION DE 2-3 VERTEBRAS ,,
65.61          ,8651,523,EXTIRP. DE AMBOS OVARIOS Y TROMPAS EN UN MISMO TIEMPO OPERAT,,
49.01          ,8595,252,INCISION DE ABCESO PERIANAL,,
47.01          ,8581,137,APENDICECTOMIA LAPAROSCOPICA,,
96.6           ,8533,Unknown,Unknown,,
3E033VJ        ,8524,Unknown,Unknown,,
05HY33Z        ,8313,Unknown,Unknown,,
79.32          ,8264,1158,RED. ABIERTA DE FRACT. CON FIJACION INTERNA-RADIO Y CUBITO,,
77.51          ,8244,638,BURSECT.CON CORREC.DE TEJIDO BLANDO Y OSTEOTOMIA DEL 1ER MET,,
88.48          ,8218,Unknown,Unknown,,
3E0333Z        ,8197,Unknown,Unknown,,
99.10          ,8005,Unknown,Unknown,,
68.59          ,7875,60,OTRA HISTERECTOMIA VAGINAL Y LA NO ESPECIFICADA,,
86.21          ,7828,886,EXCISION DE QUISTE O SENO PILONIDAL,,
3E0R3CZ        ,7811,Unknown,Unknown,,
00.41          ,7692,1331,PROCEDIMIENTO SOBRE DOS VASOS,,
80.51          ,7657,629,ESCISION DE DISCO INTERVERTEBRAL,,
03.09          ,7643,770,OTRA EXPLORACION Y DESCOMPRESION DEL CANAL ESPINAL,,
84.51          ,7607,1635,INSERCION DE DISPOSITIVO DE FUSION VERTEBRAL INTERSOMATICO ,,
99.62          ,7565,628,OTRO CHOQUE ELECTRICO AL CORAZON,,
81.83          ,7455,1234,OTRA REPARACION DE HOMBRO,,
69.99          ,7423,508,OTRAS OPERACIONES SOBRE CUELLO UTERINO Y UTERO,,
99.26          ,7415,Unknown,Unknown,,
51.85          ,7343,746,ESFINTERECTOMIA Y PAPILOTOMIA ENDOSCOPICA,,
90.53          ,7343,Unknown,Unknown,,
64.0           ,7278,1144,CIRCUNCISION,,
89.41          ,7264,Unknown,Unknown,,
86.11          ,7191,184,BIOPSIA CERRADA DE PIEL Y TEJIDO SUBCUTANEO,,
0W8NXZZ        ,7184,Unknown,Unknown,,
53.04          ,7134,988,OTRA REPARACION Y REPARACION ABIERTA DE HERNIA INGUINAL INDIRECTA CON INJERTO O PROTESIS,,
57.0           ,7125,727,DRENAJE TRANSURETRAL VESICAL,,
70.51          ,6849,720,REPARACION DE CISTOCELE,,
06.4           ,6832,1237,TIROIDECTOMIA TOTAL,,
88.27          ,6824,Unknown,Unknown,,
96.49          ,6747,Unknown,Unknown,,
54.59          ,6743,Unknown,Unknown,,
59.79          ,6732,80,OTRA REPARACION DE CONTINENCIA URINARIA DE ESFUERZO NCOC,,
53.00          ,6703,304,"REPARACION UNILATERAL DE HERNIA INGUINAL, N. E. O. M.",,
88.92          ,6671,Unknown,Unknown,,
40.23          ,6651,1164,EXCISION DE NODULO LINFATICO AXILAR,,
77.57          ,6645,78,REPARACION DE DEDO DEL PIE EN GARRA,,
38.91          ,6608,1285,CATETERISMO ARTERIAL,,
21.88          ,6565,94,OTRA SEPTOPLASTIA,,
93.59          ,6562,1015,"OTRA INMOVILIZACION,PRESION Y CUIDADO DE HERIDA",,
23.11          ,6549,1815,EXTRACCION DE RAIZ RESIDUAL,,
94.19          ,6524,Unknown,Unknown,,
88.39          ,6503,Unknown,Unknown,,
54.11          ,6424,627,LAPAROTOMIA EXPLORATORIA,,
88.43          ,6411,Unknown,Unknown,,
3E0F7SF        ,6297,Unknown,Unknown,,
4A1HXCZ        ,6245,Unknown,Unknown,,
45.73          ,6236,411,HEMICOLECTOMIA DERECHA ABIERTA Y OTRAS,,
31.1           ,6198,Unknown,Unknown,,
87.49          ,6173,Unknown,Unknown,,
45.42          ,6122,569,POLIPECTOMIA ENDOSCOPICA DEL INTESTINO GRUESO,,
41.31          ,6109,1190,BIOPSIA DE MEDULA OSEA,,
33.22          ,6027,929,BRONCOSCOPIA FIBROOPTICA,,
39.27          ,5994,379,ARTERIOVENOSTOMIA PARA DIALISIS RENAL,,
96.72          ,5990,Unknown,Unknown,,
39.50          ,5981,82,ANGIOPLASTIA O ATERECTOMIA DE OTRO(S) VASO(S) NO CORONARIO(S),,
33.26          ,5959,517,BIOPSIA [PERCUTANEA] CERRADA [AGUJA] DE PULMON,,
4A033R1        ,5917,Unknown,Unknown,,
B030ZZZ        ,5891,Unknown,Unknown,,
77.59          ,5889,761,OTRA BUNIONECTOMIA,,
12.64          ,5878,1030,TRABECULECTOMIA DESDE EL EXTERIOR,,
91.39          ,5859,Unknown,Unknown,,
3E0S3CZ        ,5856,Unknown,Unknown,,
53.49          ,5853,823,OTRA HERNIORRAFIA UMBILICAL ABIERTA,,
72.8           ,5741,Unknown,Unknown,,
10D00Z1        ,5731,Unknown,Unknown,,
78.67          ,5711,642,EXTRA. DISP. SINT. DE TIBIA Y PERONE,,
0T9B70Z        ,5649,Unknown,Unknown,,
85.22          ,5619,1325,RESECCION DE CUADRANTE DE MAMA,,
83.63          ,5597,1117,REPARACION DE MANGUITO DE LOS ROTADORES,,
0FT44ZZ        ,5575,Unknown,Unknown,,
16.91          ,5558,Unknown,Unknown,,
3E0F7GC        ,5508,Unknown,Unknown,,
79.31          ,5463,30,RED. ABIERTA DE FRACT. CON FIJACION INTERNA-HUMERO,,
33.23          ,5461,1678,OTRA BRONCOSCOPIA,,
81.08          ,5450,1613,"FUSION LUMBAR Y LUMBOSACRA DE LA COLUMNA ANTERIOR, TECNICA POSTERIOR",,
37.26          ,5423,1028,ESTUDIO ELECTROFISIOLOGICO INVASIVO POR CATETER,,
77.58          ,5319,35,"OTRA EXCISION, FUSION Y REPARACION DE DEDOS DE LOS PIES",,
51.88          ,5264,1846,EXTRACCION ENDOSCOPICA DE CALCULOS DEL TRACTO BILIAR,,
68.23          ,5129,47,ABLACION ENDOMETRIAL,,
68.16          ,5121,594,BIOPSIA CERRADA DE UTERO,,
74.99          ,5093,1232,OTRA CESAREA DE TIPO NO ESPECIFICADO,,
53.03          ,5091,449,OTRA REPARACION Y REPARACION ABIERTA DE HERNIA INGUINAL DIRECTA CON INJERTO O PROTESIS,,
08.20          ,5075,491,"ELIMINACION DE LESION DE PARPADO, N. E. O. M.",,
86.04          ,5061,1182,OTRA INCISION CON DRENAJE DE PIEL Y TEJIDO SUBCUTANEO,,
49.51          ,5037,1215,ESFINTEROTOMIA ANAL LATERAL IZQUIERDA,,
66.39          ,5018,845,OTRA DESTRUCCION U OCLUSION BILATERAL DE TROMPAS DE FALOPIO,,
B2111ZZ        ,5014,Unknown,Unknown,,
65.25          ,5010,401,OTRA EXCISION LOCAL O DESTRUCCION LAPAROSCOPICA DE OVARIO,,
45.76          ,4995,328,SIGMOIDECTOMIA,,
21.61          ,4968,450,TURBINECTOMIA POR DIATERMIA O CRIOCIRUGIA,,
60.5           ,4882,265,PROSTATECTOMIA RADICAL,,
75.32          ,4859,Unknown,Unknown,,
37.34          ,4844,1156,"ESCISION O DESTRUCCION DE OTRA LESION O TEJIDO DEL CORAZON, ACCESO ENDOVASCULAR",,
86.59          ,4816,1769,CIERRE DE PIEL Y TEJIDO SUBCUTANEO DE OTROS SITIOS,,
89.44          ,4804,Unknown,Unknown,,
93.08          ,4803,Unknown,Unknown,,
69.52          ,4762,166,LEGRADO POR ASPIRACION DESPUES DE PARTO O ABORTO,,
06.2           ,4752,87,LOBECTOMIA TIROIDEA UNILATERAL,,
28.2           ,4748,547,AMIGDALECTOMIA SIN ADENOIDECTOMIA,,
87.54          ,4725,Unknown,Unknown,,
87.79          ,4704,Unknown,Unknown,,
09.81          ,4701,535,DACRIOCISTORINOSTOMIA (DCR),,
74.0           ,4643,302,CESAREA CLASICA,,
67.2           ,4628,967,CONIZACION DE CUELLO UTERINO,,
84.11          ,4610,504,AMPUTACION DE DEDO DE PIE,,
83.13          ,4541,1095,OTRA TENOTOMIA,,
40.51          ,4529,1467,EXCISION RADICAL DE NODULOS LINFATICOS AXILARES,,
38.95          ,4525,1130,CATETERIZACION VENOSA PARA DIALISIS RENAL,,
0WUF0JZ        ,4489,Unknown,Unknown,,
56.0           ,4464,626,EXTIRPACION TRANSURETRAL DE OBSTRUC. DE URETER Y PELVIS RENA,,
96.48          ,4459,Unknown,Unknown,,
43.11          ,4419,Unknown,Unknown,,
37.71          ,4409,Unknown,Unknown,,
11.39          ,4381,941,OTRA EXCISION DE PTERIGION,,
54.25          ,4377,Unknown,Unknown,,
94.11          ,4295,Unknown,Unknown,,
49.12          ,4279,677,FISTULECTOMIA ANAL,,
0DJD8ZZ        ,4273,Unknown,Unknown,,
75.1           ,4269,399,AMNIOCENTESIS DIAGNOSTICA,,
55.51          ,4252,460,NEFROURETERECTOMIA,,
3E0C329        ,4222,Unknown,Unknown,,
79.12          ,4218,Unknown,Unknown,,
08DJ3ZZ        ,4216,Unknown,Unknown,,
01N50ZZ        ,4209,Unknown,Unknown,,
88.47          ,4194,783,ARTERIOGRAFIA DE OTRAS ARTERIAS INTRA-ABDOMINALES,,
99.77          ,4193,Unknown,Unknown,,
21.31          ,4171,680,EXCISION LOCAL O EXTIRPACION DE LESION INTRANASAL,,
45.62          ,4160,636,OTRA RESECCION PARCIAL DE INTESTINO DELGADO,,
75.31          ,4117,Unknown,Unknown,,
14.9           ,4108,1301,"OTRAS OPERACIONES SOBRE RETINA, COROIDES Y CAMARA POSTERIOR",,
93.54          ,4101,1782,APLICACION DE FERULA,,
90.42          ,4094,Unknown,Unknown,,
89.38          ,4092,Unknown,Unknown,,
89.39          ,4047,Unknown,Unknown,,
4A043R1        ,4034,Unknown,Unknown,,
36.15          ,4033,1877,ANASTOMOSIS INTERNA SIMPLE DE ARTERIA MAMARIA-ARTERIA CORONA,,
0DJ68ZZ        ,3995,Unknown,Unknown,,
93.18          ,3984,Unknown,Unknown,,
08DK3ZZ        ,3971,Unknown,Unknown,,
51.87          ,3944,Unknown,Unknown,,
97.62          ,3932,490,EXTRACCION DE TUBO DE URETEROSTOMIA Y DE CATETER URETERAL,,
79.16          ,3924,1763,RED. CERRADA DE FRACT. CON FIJ.INT EN TIBIA Y PERONE,,
90.92          ,3918,Unknown,Unknown,,
65.63          ,3914,293,EXTIRPACION LAPAROSCOPICA DE AMBOS OVARIOS Y TROMPAS EN UN M,,
BW00ZZZ        ,3895,Unknown,Unknown,,
88.94          ,3876,Unknown,Unknown,,
37.23          ,3853,430,CATETERISMO COMBINADO DE LOS LADOS DERECHO E IZQDO DEL CORAZ,,
35.22          ,3708,768,OTRA SUSTITUCION DE VALVULA AORTICA,,
86.05          ,3704,730,INCISION CON RETIRADA DE CUERPO EXTRAÑO O DISPOSITIVO DE PIEL Y TEJIDO SUBCUTANEO,,
42.33          ,3672,Unknown,Unknown,,
55.23          ,3668,1184,BIOPSIA CERRADA PERCUTANEA [AGUJA] DE RIÑON,,
54.4           ,3664,Unknown,Unknown,,
48.63          ,3649,1492,OTRA RESECCION ANTERIOR DE RECTO,,
72.79          ,3648,Unknown,Unknown,,
77.28          ,3631,925,OSTEOTOMIA EN CUÑA DE TARSIANOS Y METATARSIANOS,,
56.31          ,3616,1037,URETEROSCOPIA,,
31.42          ,3615,278,LARINGOSCOPIA Y OTRA TRAQUEOSCOPIA,,
54.51          ,3611,519,LISIS LAPAROSCOPICA DE ADHERENCIAS PERITONEALES,,
88.42          ,3600,Unknown,Unknown,,
39.29          ,3558,Unknown,Unknown,,
49.39          ,3542,1111,OTRA EXCISION LOCAL O DESTRUCCION DE LESION O TEJIDO ANAL,,
87.42          ,3514,Unknown,Unknown,,
0YU50JZ        ,3471,Unknown,Unknown,,
10903Z9        ,3454,Unknown,Unknown,,
04.49          ,3453,1102,OTRA DECOMPR. O LISIS DE ADHERENC. DE NERVIO O GANGLIO PERIF,,
90.43          ,3441,Unknown,Unknown,,
94.25          ,3440,Unknown,Unknown,,
0TBB8ZZ        ,3431,Unknown,Unknown,,
99.28          ,3431,662,INY. O INF. DE MODIFICADORES DE RESPUESTA BIOLOGICA AG.ANTIN,,
81.45          ,3430,538,OTRA REPARACION DE LOS LIGAMENTOS CRUZADOS,,
82.35          ,3415,1044,OTRA FASCIECTOMIA DE MANO,,
88.28          ,3414,Unknown,Unknown,,
BW28ZZZ        ,3407,Unknown,Unknown,,
85.41          ,3402,206,MASTECTOMIA SIMPLE UNILATERAL,,
89.13          ,3394,Unknown,Unknown,,
68.41          ,3394,961,HISTERECTOMIA TOTAL ABDOMINAL LAPAROSCOPICA,,
76.39          ,3390,1788,OSTECTOMIA PARCIAL DE OTRO HUESO FACIAL,,
92.29          ,3385,260,OTRAS TECNICAS RADIOTERAPICAS,,
89.43          ,3368,1690,PRUEBA DE ESFUERZO CARDIOVASC. CON EMPLEO DE ERGOMETRO DE BI,,
83.5           ,3341,1021,BURSECTOMIA,,
4A0HXCZ        ,3339,Unknown,Unknown,,
45.16          ,3335,1479,ESOFAGOGASTRODUODENOSCOPIA [EGD] CON BIOPSIA CERRADA,,
99.20          ,3319,Unknown,Unknown,,
08J0XZZ        ,3314,Unknown,Unknown,,
77.38          ,3311,1571,OSTEOARTROTOMIA DE TARSIANOS Y METATARSIANOS,,
87.37          ,3308,Unknown,Unknown,,
83.39          ,3307,228,EXCISION DE LESION DE OTRO TEJIDO BLANDO,,
49.11          ,3284,129,FISTULOTOMIA ANAL,,
4A05XLZ        ,3281,Unknown,Unknown,,
44.43          ,3279,1476,CONTROL ENDOSCOPICO DE HEMORRAGIA GASTRICA O DUODENAL,,
81.07          ,3255,135,"FUSION LUMBAR Y LUMBOSACRA DE LA COLUMNA POSTERIOR, TECNICA POSTERIOR",,
39.90          ,3246,1923,INSERCION DE STENT(S) NO LIBERADOR(ES) DE FARMACOS EN VASOS PERIFERICOS (NO CORONARIOS),,
46.10          ,3239,Unknown,Unknown,,
21.69          ,3209,1222,OTRA TURBINECTOMIA,,
69.09          ,3208,1316,OTRA DILATACION Y LEGRADO,,
92.27          ,3203,969,IMPLANTACION O INSERCION DE FUENTES RADIACTIVAS,,
79.11          ,3189,874,RED. CERRADA DE FRACT. CON FIJ.INT EN HUMERO,,
85.12          ,3178,296,BIOPSIA ABIERTA DE MAMA,,
10D07Z6        ,3171,Unknown,Unknown,,
53.69          ,3156,693,OTRA REPARACION Y REPARACION ABIERTA DE OTRA HERNIA DE PARED ABDOMINAL ANTERIOR CON INJERTO O PROTESIS,,
88.44          ,3137,Unknown,Unknown,,
78.65          ,3128,140,EXTRA. DISP. INT. DE FEMUR,,
67.32          ,3118,790,DESTRUCCION DE LESION DE CUELLO UTERINO POR CAUTERIZACION,,
08J1XZZ        ,3110,Unknown,Unknown,,
82.91          ,3102,1133,LISIS DE ADHESIONES DE MANO,,
97.64          ,3066,Unknown,Unknown,,
84.17          ,3058,Unknown,Unknown,,
13.59          ,3040,1183,OTRA EXTRACCION EXTRACAPSULAR DE CRISTALINO,,
87.24          ,3020,Unknown,Unknown,,
BW20ZZZ        ,3019,Unknown,Unknown,,
99.22          ,3008,Unknown,Unknown,,
93.39          ,2982,Unknown,Unknown,,
BN20ZZZ        ,2956,Unknown,Unknown,,
57.33          ,2952,3,BIOPSIA TRANSURETERAL CERRADA DE VEJIGA,,
00.47          ,2927,1098,INSERCION DE TRES STENTS VASCULARES,,
24.4           ,2925,1202,"EXCISION DE LESION DE MAXILAR, DE ORIGEN DENTARIO",,
85.43          ,2914,1688,MASTECTOMIA SIMPLE EXTENDIDA UNILATERAL,,
96.59          ,2911,Unknown,Unknown,,
93.83          ,2910,Unknown,Unknown,,
55.03          ,2906,1514,NEFROSTOMIA PERCUTANEA SIN FRAGMENTACION,,
83.64          ,2892,183,OTRA SUTURA DE TENDON,,
99.60          ,2885,Unknown,Unknown,,
94.08          ,2850,Unknown,Unknown,,
85.53          ,2834,944,IMPLANTE MAMARIO UNILATERAL,,
13.72          ,2831,809,INSERCCION SECUNDARIA DE PROTESIS DE CRISTALINO INTRAOCULAR,,
96.39          ,2823,Unknown,Unknown,,
40.3           ,2822,72,EXCISION DE NODULO LINFATICO REGIONAL,,
66.32          ,2804,810,OTRA LIGADURA Y SECCION BILATERAL DE TROMPAS DE FALOPIO,,
0WQNXZZ        ,2802,Unknown,Unknown,,
BW24ZZZ        ,2793,Unknown,Unknown,,
BW21ZZZ        ,2776,Unknown,Unknown,,
0BH17EZ        ,2774,Unknown,Unknown,,
0YU60JZ        ,2773,Unknown,Unknown,,
78.69          ,2770,1828,EXTRA. DISP. INT DE OTRO HUESO,,
33.27          ,2759,1435,BIOPSIA CERRADA ENDOSCOPICA DE PULMON,,
36.19          ,2758,Unknown,Unknown,,
86.74          ,2752,544,FIJACION DE INJERTO DE PEDICULO O COLGAJO A OTROS SITIOS,,
88.21          ,2747,Unknown,Unknown,,
40.29          ,2742,Unknown,Unknown,,
19.4           ,2736,220,MIRINGOPLASTIA,,
94.13          ,2734,Unknown,Unknown,,
94.23          ,2726,Unknown,Unknown,,
37.81          ,2724,Unknown,Unknown,,
75.35          ,2715,Unknown,Unknown,,
66.29          ,2710,1545,OTRA DESTRUCCION U OCLUSION ENDOSCOPICA BILAT. DE T. DE FALO,,
85.19          ,2707,1641,OTRS PROCEDIMIENTOS DIAGNOSTICOS SOBRE MAMA,,
35.21          ,2695,1892,SUSTITUCION DE VALVULA AORTICA CON INJERTO DE TEJIDO,,
BT4JZZZ        ,2694,Unknown,Unknown,,
3E013GC        ,2690,Unknown,Unknown,,
82.21          ,2676,1029,EXCISION DE LESION DE VAINA DE TENDON DE MANO,,
01.59          ,2665,1122,OTRAS ESCISIONES O DESTRUCCIONES DE LESION O TEJIDO CEREBRAL,,
45.93          ,2661,Unknown,Unknown,,
93.01          ,2645,Unknown,Unknown,,
81.91          ,2643,56,ARTROCENTESIS,,
